juego,equipo,nombre,posicion,elemento,FP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts,tecnicas
IE1,Raimon,Mark Evans,PR,tierra,191,184,72,72,70,77,68,69,79,God Hand | Grenade Shot | Majin The Hand | Triple Defence
IE1,Occult,Talisman,DL,bosque,171,165,62,64,56,48,60,62,63,Teleport Shot | Phantom Shot | Freeze Shot | Whirlwind Cut
IE1,Wild,Boar,PR,fuego,217,100,68,44,44,69,60,62,69,Wild Claw | Earthquake | Blazing Knuckle | Super Armadillo
IE1,Wild,Bullford,PR,fuego,171,174,41,68,48,77,31,51,64,Horn Train | Toughness Block | Wild Claw | Sumo Stomp
IE1,Wild,Toad,DF,bosque,167,109,48,52,48,48,54,57,50,Killer Slide | Dash Accelerator | Fake Ball | Rolling Kick
IE1,Wild,Fishman,DF,bosque,167,113,52,64,51,51,51,62,51,Quick Draw | Spinning Cut | Rodeo Clown | Run Ball Run
IE1,Wild,Raccoon,DF,bosque,123,121,53,53,53,44,51,44,47,Super Armadillo | Grenade Shot | Horn Train | About Face
IE1,Wild,Lion,DF,tierra,195,113,78,52,47,64,55,69,68,Super Armadillo | Horn Train | Counter Strike | Run Ball Run
IE1,Wild,Monkey,MC,aire,184,100,54,64,51,48,53,52,54,Monkey Turn | Tarzan Kick | Coil Turn | Moonsault
IE1,Wild,Chameleon,MC,aire,176,101,44,45,45,55,53,60,48,Quick Draw | Afterimage | About Face | Teleport Shot
IE1,Wild,Mouseman,MC,tierra,158,112,42,50,52,44,79,54,45,Fake Ball | Bewildered | Teleport Shot | Afterimage
IE1,Wild,Koala,MC,bosque,132,112,52,45,53,51,48,46,49,Tarzan Kick | Monkey Turn | Run Ball Run | Illusion Ball
IE1,Wild,Chicken,MC,fuego,189,101,44,52,56,46,64,67,54,Dash Accelerator | Hawk Shot | Whirlwind Cut | Boost Glider
IE1,Wild,Eagle,MC,aire,193,148,61,68,62,52,68,71,68,Condor Dive | Hawk Shot | Illusion Ball | Boost Glider
IE1,Wild,Panda,DL,fuego,123,132,52,51,48,52,52,51,46,Killer Slide | Rodeo Clown | Kung Fu Header | Breakthrough
IE1,Wild,Cheetah,DL,aire,195,133,63,47,69,55,79,42,47,Tarzan Kick | Dash Accelerator | Dynamite Shot | Clone Shot
IE1,Wild,Gorilla,DL,tierra,191,108,78,66,49,64,54,52,67,Tarzan Kick | Super Armadillo | Bewildered | Utter Gutsiness Bat
IE1,Wild,Snake,DL,bosque,184,112,55,63,62,49,55,65,45,Snake Shot | Zigzag Spark | Cross Drive | Spider Web
IE1,Brainwashing,Feldt,PR,bosque,206,177,75,69,68,76,75,78,76,Shot Pocket | Rocket Kobushi | Blazing Knuckle | Defence Scan
IE1,Brainwashing,Under,PR,bosque,121,115,44,40,40,69,48,42,70,Attack Scan | Psycho Shot | Defence Scan | Back Tornado
IE1,Brainwashing,Waters,DF,bosque,151,101,52,48,51,52,45,54,45,Sumo Stomp | Defence Scan | Patriot Shot | The Wall
IE1,Brainwashing,Good,DF,bosque,134,117,44,44,48,55,44,48,45,Defence Scan | Attack Scan | Psycho Shot | Earthquake
IE1,Brainwashing,Stronger,DF,fuego,145,121,44,46,46,52,47,52,52,Defence Scan | Attack Scan | Psycho Shot | Kung Fu Header
IE1,Brainwashing,Marvel,DF,tierra,143,108,44,53,52,48,49,50,51,Defence Scan | Dynamite Shot | Attack Scan | Rolling Hell
IE1,Brainwashing,Leading,DF,aire,140,112,52,52,44,47,50,52,48,Defence Scan | About Face | Attack Scan | Patriot Shot
IE1,Brainwashing,Stiller,MC,aire,134,117,53,45,47,52,44,46,53,Attack Scan | Meteor Attack | Quick Draw | Freeze Shot
IE1,Brainwashing,Oughtry,MC,tierra,127,113,55,52,45,45,46,44,48,Psycho Shot | Flurry Dash | Defence Scan | Patriot Shot
IE1,Brainwashing,Tell,MC,bosque,145,109,44,53,48,46,45,44,47,Attack Scan | Psycho Shot | Defence Scan | Shadow Stitch
IE1,Brainwashing,Rock,MC,fuego,149,112,51,46,46,48,48,47,52,Breakthrough | Patriot Shot | Defence Scan | Reflect Buster
IE1,Brainwashing,Kind,MC,bosque,134,109,49,53,48,51,48,53,46,Defence Scan | Psycho Shot | Attack Scan | Twin Boost
IE1,Brainwashing,Buster,MC,fuego,125,113,55,46,52,49,48,50,49,Attack Scan | Dynamite Shot | Defence Scan | Reflect Buster
IE1,Brainwashing,Mooney,DL,fuego,138,101,53,49,54,50,55,53,46,Patriot Shot | Killer Slide | Breakthrough | Utter Gutsiness Bat
IE1,Brainwashing,Seller,DL,aire,132,113,55,50,50,49,55,45,46,Psycho Shot | Attack Scan | Defence Scan | Fire Tornado
IE1,Brainwashing,Turner,DL,fuego,121,108,48,48,52,52,44,50,45,Patriot Shot | Attack Scan | Fire Tornado | Defence Scan
IE1,Otaku,Idol,PR,tierra,165,161,60,58,54,55,58,45,67,Sliding Goal | Pressure Punch | Toughness Block | Fireball Knuckle
IE1,Otaku,Eldorado,PR,fuego,158,144,49,63,61,69,43,28,49,Spinning Shot | Dragon Crash | Horn Train | Breakthrough
IE1,Otaku,Train,DF,fuego,149,152,61,60,53,56,52,41,54,Fake Ball | Psycho Shot | Zigzag Spark | Utter Gutsiness Bat
IE1,Otaku,Vox,DF,aire,162,144,48,55,57,51,44,50,47,Fake Ball | Flurry Dash | Defence Scan | Cyclone
IE1,Otaku,Cosplay,DF,tierra,149,152,59,52,56,58,56,40,62,Utter Gutsiness Bat | Fake Ball | Earthquake | Sliding Goal
IE1,Otaku,Formby,DF,tierra,158,137,54,58,61,45,46,48,51,Doppelganger | Toughness Block | Spider Web | Rocket Kobushi
IE1,Otaku,Net,DF,bosque,143,141,44,62,54,48,44,51,49,Defence Scan | Black Magic | Heat Tackle | Cross Drive
IE1,Otaku,Hero,MC,fuego,158,132,62,62,61,55,56,50,71,Fake Ball | Breakthrough | Comet Shot | Dynamite Shot
IE1,Otaku,Signalman,MC,aire,151,137,54,56,55,52,53,48,59,Bewildered | Coil Turn | Spinning Cut | Patriot Shot
IE1,Otaku,Novel,MC,bosque,154,164,60,55,56,58,61,44,61,Fake Ball | Utter Gutsiness Bat | Dash Accelerator | Bewildered
IE1,Otaku,Online,DL,bosque,158,133,54,56,56,62,55,44,60,Bewildered | Ghost Pull | Defence Scan | Attack Scan
IE1,Otaku,Custom,DL,aire,171,152,58,62,52,61,54,47,59,Breakthrough | Bewildered | Cyclone | Freeze Shot
IE1,Otaku,Gamer,DL,fuego,173,137,58,60,59,52,55,45,69,Utter Gutsiness Bat | Bewildered | Fake Ball | Shine Drive
IE1,Otaku,Artist,DL,aire,143,149,52,56,58,63,53,51,64,Bewildered | Utter Gutsiness Bat | Doppelganger | Blade Attack
IE1,Otaku,Arcade,DL,bosque,147,152,57,57,55,56,52,47,60,Comet Shot | Bewildered | Cross Drive | Utter Gutsiness Bat
IE1,Royal Academy,Joe King,PR,fuego,200,153,72,75,69,72,55,74,60,Power Shield | Full Power Shield | Hawk Shot | Spinning Cut
IE1,Royal Academy,Bob Carlton,PR,bosque,147,170,58,55,63,54,45,62,70,Earthquake | Dash Accelerator | Patriot Shot | Run Ball Run
IE1,Royal Academy,Peter Drent,DF,tierra,165,144,71,54,67,64,44,59,62,Illusion Ball | Earthquake | Reflect Buster | Mega Quake
IE1,Royal Academy,Ben Simmons,DF,bosque,191,169,68,63,72,60,69,70,69,Breakthrough | Cyclone | Illusion Ball | Cross Drive
IE1,Royal Academy,Gus Martin,DF,bosque,189,149,76,67,73,67,63,66,63,Killer Slide | Clone Faker | Defence Scan | Attack Scan
IE1,Royal Academy,Alan Master,MC,aire,165,168,64,64,72,69,64,62,66,Killer Slide | Illusion Ball | Dynamite Shot | Spinning Cut
IE1,Royal Academy,John Bloom,MC,fuego,195,153,61,71,67,70,71,54,62,Killer Slide | Breakthrough | Wrath Shot | Freeze Shot
IE1,Royal Academy,Derek Swing,MC,aire,171,184,70,56,76,59,69,60,61,Killer Slide | Clone Faker | Freeze Shot | Death Zone
IE1,Royal Academy,Herman Waldon,MC,aire,189,188,76,64,72,79,70,57,69,Killer Slide | Breakthrough | Death Zone | Cyclone
IE1,Royal Academy,Barry Potts,MC,aire,171,136,53,52,54,56,52,60,44,Killer Slide | Whirlwind Twister | Super Armadillo | Kung Fu Header
IE1,Royal Academy,Cliff Tomlinson,DL,aire,149,157,53,60,52,61,54,52,53,Grenade Shot | Killer Slide | Breakthrough | Twin Boost
IE1,Royal Academy,Steve Ingham,DL,tierra,169,133,61,53,57,52,47,54,46,Teleport Shot | Ghost Pull | Hawk Shot | Comet Shot
IE1,Royal Academy,Jim Lawrenson,DL,aire,167,137,54,57,57,63,53,56,55,Breakthrough | Spiral Shot | Wrath Shot | Hawk Shot
IE1,Royal Academy,David Samford,DL,bosque,193,193,70,60,78,66,66,67,71,Killer Slide | Clone Faker | Emperor Penguin No.2 | Divine Arrows
IE1,Royal Academy,Daniel Hatch,DL,bosque,184,133,75,69,68,68,78,61,64,Killer Slide | Wrath Shot | Death Zone | Whirlwind Cut
IE1,Shuriken,Hood,PR,bosque,167,164,53,59,44,64,52,55,62,Whirlwind | Clone Faker | Clone Shot | Warp Space
IE1,Shuriken,Castle,PR,aire,156,132,53,60,52,68,52,52,52,Coil Turn | Ghost Pull | Power Shield | Whirlwind
IE1,Shuriken,Bandit,DF,fuego,151,149,54,53,57,56,55,58,63,Sumo Stomp | Shadow Stitch | Fake Ball | Mole Fake
IE1,Shuriken,Crackshot,DF,tierra,169,129,62,61,56,60,55,60,63,Shadow Stitch | Clone Faker | Bewildered | Dirt Ball
IE1,Shuriken,Hopper,DF,tierra,145,136,52,58,62,62,55,61,54,Sumo Stomp | Condor Dive | Meteor Attack | Moonsault
IE1,Shuriken,Hillfort,DF,aire,147,141,55,62,60,53,54,63,61,Afterimage | Spider Web | Shadow Stitch | Clone Shot
IE1,Shuriken,Thunder,DF,tierra,145,153,63,60,63,62,54,57,60,Sumo Stomp | Poison Fog | Shadow Stitch | Spider Web
IE1,Shuriken,Cleats,MC,aire,176,140,56,61,53,56,69,68,59,Monkey Turn | Dirt Ball | Afterimage | Moonsault
IE1,Shuriken,Spook,MC,aire,165,132,56,56,52,63,64,55,62,Doppelganger | Afterimage | Spider Web | Shadow Stitch
IE1,Shuriken,Trops,MC,bosque,145,144,58,61,69,55,59,57,54,Hawk Shot | Twin Boost | Harvest | Rolling Hell
IE1,Shuriken,Star,MC,aire,156,133,53,63,59,56,47,65,60,Clone Faker | Phantom Shot | Doppelganger | Clone Shot
IE1,Shuriken,Hattori,MC,bosque,160,140,60,55,59,44,60,60,56,Afterimage | Clone Shot | Flurry Dash | Shadow Stitch
IE1,Shuriken,Code,MC,tierra,176,152,60,56,60,57,54,68,61,Spider Web | Afterimage | Whirlwind Cut | Hurricane Arrows
IE1,Shuriken,Samurai,DL,bosque,160,176,60,60,60,60,56,60,53,Clone Shot | Quick Draw | Shadow Stitch | Fire Rooster
IE1,Shuriken,Ronin,DL,aire,171,137,62,56,56,53,60,54,57,Dynamite Shot | Flurry Dash | Clone Shot | Afterimage
IE1,Shuriken,Cloak,DL,fuego,180,180,52,61,61,54,60,68,55,Dirt Ball | Poison Fog | Afterimage | Fire Rooster
IE1,Farm,Greeny,PR,fuego,169,109,50,53,60,73,53,64,77,Wood Chopper | Mistral | Infinite Wall | About Face
IE1,Farm,Mower,PR,tierra,189,164,46,56,41,72,62,61,60,Killer Slide | About Face | Super Armadillo | Kung Fu Header
IE1,Farm,Sherman,DF,fuego,176,116,49,60,62,79,52,70,56,Harvest | Grenade Shot | About Face | Infinite Wall
IE1,Farm,Hillvalley,DF,tierra,187,108,40,56,52,79,63,66,53,Harvest | Rolling Hell | Sumo Stomp | Infinite Wall
IE1,Farm,Lively,DF,bosque,182,116,47,57,44,73,56,63,54,Sumo Stomp | Horn Train | Poison Fog | Harvest
IE1,Farm,Hayseed,DF,tierra,193,128,42,56,52,77,58,68,61,About Face | Kung Fu Header | Whirlwind Twister | Run Ball Run
IE1,Farm,Grower,DF,tierra,187,113,53,53,44,76,61,68,61,Mole Fake | Spinning Cut | About Face | Whirlwind Cut
IE1,Farm,Nevis,DF,aire,195,120,52,56,51,70,59,64,53,Teleport Shot | Defence Scan | Tarzan Kick | Whirlwind Cut
IE1,Farm,Work,DF,bosque,171,109,44,57,54,70,54,65,60,About Face | Bamboo Pattern | Flurry Dash | Kung Fu Header
IE1,Farm,Howells,DF,aire,171,117,48,62,54,75,54,60,56,Quick Draw | About Face | Monkey Turn | Cyclone
IE1,Farm,Milky,MC,tierra,178,100,40,54,54,68,56,63,56,Whirlwind Cut | Harvest | Spinning Cut | Killer Blade
IE1,Farm,Dawson,MC,aire,187,108,57,55,56,75,64,66,76,Mole Fake | Run Ball Run | Coil Turn | Blade Attack
IE1,Farm,Spray,MC,fuego,169,125,71,70,46,72,62,66,71,Kung Fu Header | Whirlwind Cut | Wild Claw | Full Power Shield
IE1,Farm,Mother,MC,bosque,180,116,42,55,63,76,53,60,55,Mole Fake | Shine Drive | Killer Slide | Spinning Cut
IE1,Farm,Roast,MC,tierra,193,104,63,58,52,73,71,61,70,Run Ball Run | Whirlwind Twister | Mole Fake | Shine Drive
IE1,Farm,Muffs,DL,bosque,165,101,56,62,62,74,66,63,72,Shine Drive | Whirlwind Cut | Flurry Dash | About Face
IE1,Kirkwood,John Neville,PR,fuego,127,140,78,62,54,79,48,51,44,Toughness Block | Counter Strike | The Wall | Gigant Wall
IE1,Kirkwood,Simon Calier,PR,bosque,112,168,50,41,46,71,45,48,47,Dash Accelerator | Blade Attack | Moonsault | Run Ball Run
IE1,Kirkwood,Malcom Night,DF,fuego,209,180,63,76,68,78,67,64,70,Dash Accelerator | Wrath Shot | Spinning Cut | Cyclone
IE1,Kirkwood,Ricky Clover,DF,tierra,156,137,53,52,56,52,67,45,54,Coil Turn | Hurricane Arrows | Meteor Attack | Back Tornado
IE1,Kirkwood,Alfred Meenan,DF,bosque,169,149,61,55,55,60,55,53,52,Quick Draw | Hurricane Arrows | Moonsault | Illusion Ball
IE1,Kirkwood,Dan Mirthful,DF,bosque,165,129,59,70,49,65,46,51,52,Spinning Cut | Earthquake | Kung Fu Header | Shine Drive
IE1,Kirkwood,Eren Middleton,DF,tierra,140,112,48,44,55,47,55,54,52,Ghost Pull | Blade Attack | Illusion Ball | Utter Gutsiness Bat
IE1,Kirkwood,Peter Wells,DF,aire,121,101,55,52,52,46,47,45,48,Killer Slide | Spinning Cut | Cyclone | Back Tornado
IE1,Kirkwood,Zachary Moore,MC,bosque,149,145,52,60,60,52,63,53,58,Hawk Shot | Illusion Ball | Twin Boost | Boost Glider
IE1,Kirkwood,Toby Damian,MC,aire,173,133,54,56,55,56,57,56,55,Moonsault | Back Tornado | Quick Draw | Spinning Shot
IE1,Kirkwood,York Nashmith,MC,bosque,154,132,52,62,57,61,54,52,56,Boost Glider | Hawk Shot | Monkey Turn | Back Tornado
IE1,Kirkwood,Brody Gloom,MC,tierra,136,125,54,46,48,53,45,52,54,Dash Accelerator | Breakthrough | Ghost Pull | Warp Space
IE1,Kirkwood,Victor Talis,MC,bosque,145,177,55,52,52,46,47,45,48,Whirlwind Twister | Spinning Cut | Dynamite Shot | Hurricane Arrows
IE1,Kirkwood,Tyler Murdock,DL,tierra,167,157,79,64,68,56,60,59,54,Spinning Cut | Back Tornado | Breakthrough | Triangle Z
IE1,Kirkwood,Thomas Murdock,DL,aire,180,152,68,70,65,60,64,62,61,Moonsault | Back Tornado | Killer Slide | Triangle Z
IE1,Kirkwood,Marvin Murdock,DL,fuego,195,161,68,61,61,66,60,60,61,Triangle Z | Illusion Ball | Grenade Shot | Boost Glider
IE1,Zeus,Icarus,PR,aire,182,149,71,67,66,79,44,71,64,Hawk Shot | Whirlwind Twister | Spinning Cut | Heaven's Time
IE1,Zeus,Apollo,DF,bosque,136,144,79,79,62,73,53,48,55,Divine Stamp | Shine Drive | Magic | Dash Storm
IE1,Zeus,Hephestus,DF,fuego,171,156,60,64,78,69,70,64,62,Dash Storm | Psycho Shot | Fire Tornado | Fire Rooster
IE1,Zeus,Ares,DF,tierra,138,153,71,79,70,72,56,57,60,Divine Stamp | Ghost Pull | Breakthrough | Rolling Hell
IE1,Zeus,Dionysus,DF,aire,136,124,62,68,66,79,50,53,64,Mega Quake | Zigzag Spark | Earthquake | Reflect Buster
IE1,Zeus,Heracles,DF,fuego,192,64,63,60,66,79,69,71,65,Sumo Stomp | Earthquake | Breakthrough | Mega Quake
IE1,Zeus,Chronos,DF,bosque,178,169,48,66,62,79,63,61,66,Heaven's Time | Kung Fu Header | Illusion Ball | Dash Accelerator
IE1,Zeus,Artemis,MC,aire,127,184,62,66,76,67,44,45,58,Heaven's Time | Divine Arrows | Illusion Ball | Doppelganger
IE1,Zeus,Medusa,MC,tierra,173,152,69,78,79,67,63,62,62,Spider Web | Rolling Hell | Freeze Shot | Snake Shot
IE1,Zeus,Hera,MC,fuego,193,165,48,68,60,67,64,70,60,Divine Arrows | Reflect Buster | Killer Slide | Breakthrough
IE1,Zeus,Hermes,MC,bosque,162,180,56,69,69,68,57,62,62,Heaven's Time | Divine Stamp | Cyclone | Whirlwind
IE1,Zeus,Athena,DL,bosque,187,132,60,76,64,63,71,64,77,Dash Storm | Reflect Buster | Defence Scan | Attack Scan
IE1,Zeus,Demeter,DL,fuego,151,149,77,64,79,56,68,63,68,Reflect Buster | Dash Storm | Divine Arrows | Horn Train
IE1,Zeus,Achilles,DL,tierra,191,165,78,69,61,50,65,60,70,Black Magic | Blade Attack | Divine Stamp | Divine Arrows
IE1,Raimon Old Boys,Hairtown,DF,aire,202,173,70,65,65,62,73,60,71,Spinning Cut | Fire Rooster | Kung Fu Header | Snake Shot
IE1,Raimon Old Boys,Steaky,DF,tierra,193,173,62,75,78,68,68,67,68,Zigzag Spark | Coil Turn | Horn Train | Killer Blade
IE1,Raimon Old Boys,MacHines,DF,fuego,213,173,68,68,75,71,76,68,73,Killer Slide | Breakthrough | About Face | Poison Fog
IE1,Raimon Old Boys,Foreman,MC,tierra,193,149,76,72,64,64,68,72,70,Whirlwind Twister | Dirt Ball | Mole Fake | Boost Glider
IE1,Raimon Old Boys,Butler,MC,bosque,215,184,72,71,69,70,74,69,78,Blade Attack | Defence Scan | Grenade Shot | Clone Faker
IE1,Raimon Old Boys,Nathaniel,MC,bosque,209,172,64,73,73,75,71,66,65,Zigzag Spark | Utter Gutsiness Bat | Blade Attack | Rocket Kobushi
IE1,Raimon Old Boys,Suffolk,MC,fuego,209,172,71,68,70,69,77,68,68,Zigzag Spark | Dynamite Shot | Breakthrough | About Face
IE1,Raimon Old Boys,Tailor,MC,tierra,200,197,73,72,76,76,79,72,70,Magic | Cross Drive | Shot Pocket | Illusion Ball
IE1,Raimon Old Boys,Gladstone,MC,fuego,187,177,68,66,68,60,72,63,69,Cross Drive | Spinning Cut | Twin Boost | Divine Stamp
IE1,Raimon Old Boys,Heart,DL,aire,209,181,60,62,66,63,72,65,64,Blade Attack | Kung Fu Header | Clone Shot | Wood Chopper
IE1,Raimon Old Boys,Poe,DL,bosque,217,173,64,68,79,70,69,64,69,Blade Attack | Black Magic | Attack Scan | Shadow Stitch
IE1,Raimon Old Boys,Barista,DL,aire,191,189,62,72,72,76,65,72,65,Phantom Shot | Inazuma Drop | Quick Draw | Divine Arrows
IE1,Raimon Old Boys,Builder,DL,fuego,195,173,69,69,64,60,63,77,64,The Wall | Fire Tornado | Heat Tackle | Fire Rooster
IE1,Street Sally's,Yuma,PR,tierra,129,80,44,44,43,56,49,46,45,Toughness Block | Wood Chopper | Blazing Knuckle | Sumo Stomp
IE1,Street Sally's,Holmes,PR,bosque,81,174,34,28,34,64,39,31,77,Grenade Shot | Dash Accelerator | Freeze Shot | Horn Train
IE1,Street Sally's,Daltry,DF,bosque,114,60,44,45,49,51,49,40,43,Coil Turn | Rodeo Clown | Mistral | Fake Ball
IE1,Street Sally's,Lovely,DF,aire,138,85,49,44,44,44,44,51,44,Rodeo Clown | Whirlwind Twister | Illusion Ball | Dirt Ball
IE1,Street Sally's,Fielding,DF,bosque,121,81,44,49,48,51,48,44,40,Black Magic | Afterimage | Shadow Stitch | Bamboo Pattern
IE1,Street Sally's,Knuckles,DF,fuego,136,72,60,52,51,41,41,48,49,Sumo Stomp | Horn Train | Earthquake | Mole Fake
IE1,Street Sally's,Crumb,DF,tierra,121,72,40,44,44,43,44,48,45,Quick Draw | Whirlwind Twister | About Face | Dirt Ball
IE1,Street Sally's,Stager,DF,bosque,129,81,40,49,44,51,49,50,51,Teleport Shot | Fake Ball | Utter Gutsiness Bat | Shadow Stitch
IE1,Street Sally's,Sheldon,DF,tierra,127,84,42,48,45,53,42,40,43,Sumo Stomp | Killer Blade | Wood Chopper | Blade Attack
IE1,Street Sally's,Squirrel,MC,aire,129,137,43,44,50,45,47,45,44,Dash Accelerator | Magic | Killer Slide | Kung Fu Header
IE1,Street Sally's,Sandstone,MC,fuego,125,61,54,58,41,48,45,46,51,Grenade Shot | Dragon Crash | Utter Gutsiness Bat | Breakthrough
IE1,Street Sally's,Riversong,MC,tierra,121,61,40,50,50,48,40,42,47,Grenade Shot | Dash Accelerator | Dynamite Shot | Twin Boost
IE1,Street Sally's,Prentice,DL,tierra,116,73,46,46,56,44,42,48,49,Dynamite Shot | Heat Tackle | Twin Boost | Quick Draw
IE1,Street Sally's,Baughan,DL,aire,116,68,45,41,46,48,40,51,44,Grenade Shot | Kung Fu Header | Patriot Shot | Zigzag Spark
IE1,Inazuma KFC,Herman Muller,PR,aire,143,109,40,50,44,47,44,46,45,Pressure Punch | Rocket Kobushi | Fake Ball | Mistral
IE1,Inazuma KFC,Bart Grantham,PR,bosque,101,180,38,35,29,66,28,29,64,Rodeo Clown | Whirlwind Twister | Toughness Block | Gigant Wall
IE1,Inazuma KFC,Izzy Island,DF,bosque,136,65,42,40,48,41,41,48,44,Whirlwind Twister | Attack Scan | Defence Scan | Spider Web
IE1,Inazuma KFC,Robert Silver,DF,aire,125,73,46,41,51,44,41,48,44,Flurry Dash | Bewildered | Fake Ball | About Face
IE1,Inazuma KFC,Sothern Newman,DF,tierra,127,60,45,44,48,60,43,49,47,The Wall | Super Armadillo | Pressure Punch | Gigant Wall
IE1,Inazuma KFC,Keth Claus,DF,aire,112,84,41,41,48,40,60,40,46,Dash Accelerator | Wrath Shot | Monkey Turn | About Face
IE1,Inazuma KFC,Irwin Hall,MC,bosque,162,69,40,48,51,43,41,40,41,Rodeo Clown | Bewildered | Shine Drive | About Face
IE1,Inazuma KFC,Mitch Grumble,MC,aire,110,65,48,48,43,48,40,46,41,Illusion Ball | Zigzag Spark | Teleport Shot | Shadow Stitch
IE1,Inazuma KFC,Taylor Higgins,MC,aire,134,65,44,43,50,48,40,48,40,Rodeo Clown | Coil Turn | Zigzag Spark | Twin Boost
IE1,Inazuma KFC,Michael Riverside,MC,tierra,138,77,51,46,50,49,40,43,48,Dash Accelerator | Quick Draw | Tarzan Kick | Run Ball Run
IE1,Inazuma KFC,Jamie Cool,MC,aire,162,76,47,40,44,48,52,52,51,Hawk Shot | Flurry Dash | Quick Draw | Whirlwind Cut
IE1,Inazuma KFC,Karl Blue,MC,tierra,114,76,46,48,47,44,51,46,48,Flurry Dash | Black Magic | Fake Ball | About Face
IE1,Inazuma KFC,Theakston Plank,DL,aire,121,80,48,50,42,45,58,41,51,Comet Shot | Whirlwind Twister | Spinning Cut | Kung Fu Header
IE1,Inazuma KFC,Hans Randall,DL,fuego,169,65,64,40,40,51,48,56,44,Dash Accelerator | Comet Shot | Zigzag Spark | Dragon Crash
