juego,nombre,posicion,elemento,tiro,regate,tecnica,defensa,parada,velocidad,aguante,extra
IE1,Ames Shivers,PR,bosque,61,56,58,56,56,55,63,54
IE1,Chris Glover,MC,bosque,67,62,60,76,76,38,67,52
IE1,Thor Toise,MC,tierra,52,54,48,41,41,50,59,53
IE1,Colin Salts,DL,bosque,63,44,46,41,41,44,48,41
IE1,Christian Dear,DF,bosque,59,64,76,64,64,44,52,55
IE1,Iggy Loyaller,DL,bosque,61,62,53,62,62,34,64,53
IE1,Conan Fox,PR,tierra,44,56,56,53,53,62,55,63
IE1,Spike Coiffs,DF,aire,40,60,77,43,43,53,58,52
IE1,Roger Rocket,DF,aire,40,29,35,59,59,78,56,52
IE1,Bill Teller,DF,bosque,44,59,78,63,63,63,57,59
IE1,Billy Nomates,PR,bosque,76,64,64,77,77,40,76,65
IE1,Harry Caine,PR,aire,73,70,60,64,64,64,60,62
IE1,Martin Sheller,DL,fuego,68,57,57,69,69,36,68,62
IE1,Alfie Fine,PR,bosque,66,52,52,69,69,50,68,57
IE1,Cameron Mann,MC,tierra,60,59,58,61,61,52,53,54
IE1,Don Keys,DL,fuego,45,36,32,53,53,64,55,56
IE1,Sonny East,PR,bosque,59,60,50,40,40,49,63,68
IE1,Dan Carpenter,PR,tierra,40,54,60,42,42,52,56,60
IE1,Doug Walker,PR,tierra,45,52,70,42,42,56,57,61
IE1,Joseph King,PR,fuego,72,75,69,72,72,55,74,60
IE1,Frank Drake,DF,aire,57,58,60,57,57,64,66,52
IE1,Chris Massey,DF,bosque,66,58,53,53,53,56,62,59
IE1,Carl Sacks,DL,tierra,60,62,56,61,61,55,52,55
IE1,Biff Beeston,PR,bosque,56,68,41,60,60,55,69,57
IE1,Lou Beigh,PR,bosque,42,53,63,52,52,68,53,60
IE1,Marv Errick,PR,fuego,74,71,64,76,76,43,68,60
IE1,Bob Whittle,DL,aire,60,68,70,64,64,70,64,62
IE1,Bert Neptune,MC,bosque,64,70,64,64,64,62,61,61
IE1,Sol Crater,DL,fuego,53,52,52,56,56,52,57,56
IE1,Percy Coldstair,DF,bosque,42,59,56,52,52,65,64,63
IE1,Dusky Sunfield,MC,aire,59,56,69,51,51,42,60,61
IE1,Rocky Shears,PR,tierra,58,58,60,79,79,63,60,60
IE1,Percy Stent,PR,fuego,76,63,60,62,62,68,69,67
IE1,Art Pendragon,PR,aire,60,65,46,63,63,63,71,59
IE1,Dom Ittory,PR,tierra,51,52,60,44,44,62,62,52
IE1,Chaz Biggins,DL,tierra,63,61,28,63,63,57,64,56
IE1,Peter Drent,DF,tierra,71,54,67,64,64,44,59,62
IE1,Sly O'Hands,PR,aire,56,72,79,79,79,45,61,69
IE1,Sean Lavender,DL,bosque,67,52,56,58,58,62,71,54
IE1,Ace Server,PR,aire,76,69,63,78,78,46,77,68
IE1,Horace Nelson,PR,fuego,65,56,53,57,57,56,71,59
IE1,Rex George,PR,aire,68,68,60,60,60,62,67,66
IE1,Philip Prince,PR,bosque,43,52,52,60,60,68,67,59
IE1,Heath Rower,MC,aire,56,56,53,56,56,59,52,56
IE1,Kim Arite,PR,tierra,55,68,53,79,79,61,55,61
IE1,Jay Archer,DL,fuego,54,69,44,66,66,58,64,60
IE1,Bo Ling,DF,bosque,45,55,79,50,50,56,57,52
IE1,Chuck Hardy,DL,aire,49,57,70,45,45,52,62,62
IE1,Ben Evolent,DL,aire,68,52,60,60,60,52,59,52
IE1,Will Noble,PR,bosque,48,48,54,41,41,52,48,45
IE1,Jack Frosty,DF,aire,65,70,64,65,65,67,60,68
IE1,Larry Helps,DL,bosque,46,54,57,59,59,60,54,55
IE1,Monty Patten,DF,bosque,63,60,63,61,61,52,54,60
IE1,Ben Simmons,DF,bosque,68,63,72,60,60,69,70,69
IE1,Chunk Gorman,DL,tierra,48,56,57,60,60,63,52,52
IE1,Balt Decker,DF,aire,56,46,47,60,60,75,61,67
IE1,Drew Crenshaw,DF,tierra,46,59,69,48,48,61,53,63
IE1,Stan Trum,DL,fuego,48,54,58,56,56,71,59,59
IE1,Sham Spike,MC,tierra,60,58,52,56,56,55,56,58
IE1,Rainier Welkin,PR,fuego,48,60,68,76,76,56,61,52
IE1,Evan Yielding,DL,bosque,53,46,50,60,60,76,65,64
IE1,Phil Anthropic,DL,tierra,77,77,78,78,78,68,43,75
IE1,Fane Club,PR,aire,45,50,44,69,69,48,43,49
IE1,Slim Lanky,PR,aire,44,36,35,58,58,66,55,63
IE1,Doug Lee,DF,fuego,44,36,30,55,55,70,62,57
IE1,Edward Albion,PR,tierra,60,60,69,56,56,68,62,61
IE1,Stu Dent,PR,fuego,68,34,44,29,29,73,62,56
IE1,Barry Straw,DL,aire,38,72,48,38,38,73,41,47
IE1,Bobby Peel,MC,tierra,60,62,55,56,56,59,52,62
IE1,Dan Castella,PR,tierra,60,59,56,52,52,63,56,54
IE1,Alan Master,MC,aire,64,64,72,69,69,64,62,66
IE1,Bill Moony,DL,tierra,79,53,56,60,60,64,61,52
IE1,Buddy Goodman,DF,bosque,47,75,48,48,48,43,45,76
IE1,Dex Territy,PR,tierra,60,52,58,52,52,59,56,56
IE1,Vinny O'Gaines,MC,bosque,46,61,64,52,52,52,52,55
IE1,Ray Deo,PR,aire,60,52,52,54,54,52,61,55
IE1,Archie Meades,PR,bosque,57,54,40,70,70,49,62,53
IE1,Dave Chaucer,MC,bosque,71,59,56,53,53,58,71,56
IE1,Billy Blanc,DL,aire,60,58,48,45,45,48,52,79
IE1,Creed Craving,PR,fuego,61,60,62,60,60,52,58,53
IE1,Phil Rosey,DL,fuego,54,64,56,69,69,57,54,60
IE1,Harry Redcastle,MC,aire,63,60,53,69,69,52,56,60
IE1,Sonny Welkin,MC,fuego,68,62,54,60,60,35,68,54
IE1,Teddy Kodiak,MC,tierra,58,57,60,54,54,55,61,52
IE1,Lloyd Tabb,DF,aire,41,52,62,56,56,62,59,63
IE1,Francis Paine,MC,bosque,47,60,52,56,56,60,56,62
IE1,Griff Strummer,PR,aire,60,52,60,60,60,55,57,57
IE1,Gus Martin,DF,bosque,76,67,73,67,67,63,66,63
IE1,Bryce Bergman,MC,fuego,45,61,59,60,60,64,69,60
IE1,Fingus Inky,MC,bosque,58,71,48,64,64,55,63,52
IE1,Walter Geyser,MC,tierra,63,68,42,60,60,58,60,53
IE1,Les Knightley,PR,fuego,56,64,60,66,66,55,52,52
IE1,Conor Abley,PR,fuego,64,58,62,67,67,38,78,62
IE1,Ainsley Burns,DL,tierra,46,58,68,51,51,60,62,63
IE1,Pete Grimes,PR,fuego,44,53,60,41,41,52,62,52
IE1,Manny Steele,MC,fuego,56,60,43,61,61,60,78,55
IE1,Trey Hugger,PR,fuego,36,73,60,73,73,35,28,58
IE1,Jack Mate,DF,aire,62,68,61,69,69,53,60,56
IE1,Mike Chequer,PR,fuego,63,54,54,53,53,55,53,56
IE1,Berty Adman,PR,tierra,48,52,56,59,59,71,62,55
IE1,Troy Carr,DL,aire,56,56,63,63,63,53,61,63
IE1,Hollis Ticure,DL,fuego,58,60,53,59,59,52,69,52
IE1,Guy Dance,MC,tierra,42,58,63,62,62,60,67,55
IE1,Jack Trumper,DL,aire,40,58,68,44,44,57,57,52
IE1,Herman Waldon,MC,aire,76,64,72,79,79,70,57,69
IE1,John Corder,DL,fuego,56,63,62,61,61,62,56,52
IE1,Nigel Bramel,DF,aire,47,55,60,52,52,70,63,56
IE1,Hank O'Chief,PR,fuego,58,62,48,45,45,46,56,58
IE1,Jess Uplement,MC,tierra,57,60,40,42,42,50,52,52
IE1,Alec Smart,PR,fuego,45,48,50,40,40,51,47,45
IE1,Rob Anchor,DF,aire,61,57,74,53,53,61,71,55
IE1,Brent Cross,MC,fuego,63,52,40,49,49,49,58,57
IE1,Albert Wister,PR,tierra,51,60,61,52,52,64,64,56
IE1,Nev Erin,DL,aire,60,70,71,61,61,76,68,71
IE1,Caz Yewell,PR,fuego,70,53,56,63,63,67,68,60
IE1,Conor Trail,PR,aire,60,60,49,70,70,55,76,59
IE1,Manuel Gere,DF,aire,42,62,70,51,51,52,57,59
IE1,Per Hockside,DL,fuego,42,55,57,54,54,69,67,62
IE1,Lee Gleagle,DF,bosque,49,49,44,50,50,46,40,44
IE1,Paul Pitcher,DF,tierra,45,59,67,46,46,55,54,61
IE1,Turner Fortune,DF,bosque,29,36,50,77,77,40,46,42
IE1,John Bloom,MC,fuego,61,71,67,70,70,71,54,62
IE1,Walter Walken,DF,aire,44,42,48,49,49,50,51,73
IE1,Sal Curie,DF,fuego,48,56,62,51,51,52,62,55
IE1,Silver Platt,DF,fuego,56,58,59,53,53,52,52,63
IE1,Nick Yergrub,DL,aire,62,70,48,76,76,52,76,62
IE1,Mal Inger,DF,tierra,51,56,63,48,48,59,55,60
IE1,Jim Cook,DF,aire,52,61,47,42,42,41,56,56
IE1,Gus Potter,DF,tierra,46,56,58,59,59,67,61,61
IE1,Handel Turnon,PR,fuego,56,52,44,44,44,51,60,60
IE1,Peter Malus,MC,tierra,63,63,56,53,53,60,61,53
IE1,Colin Lection,DF,fuego,56,57,52,60,60,52,62,52
IE1,Brock Twigg,MC,bosque,48,48,51,78,78,45,49,70
IE1,Paddy Rise,DF,fuego,56,69,60,66,66,56,60,60
IE1,Dustin Westend,DL,aire,47,54,60,52,52,68,60,54
IE1,Alfonse Way,MC,tierra,50,32,32,53,53,60,60,60
IE1,Pippin Flowers,DL,fuego,63,71,52,60,60,60,56,60
IE1,Euan Stamper,DF,bosque,75,40,45,51,51,50,44,79
IE1,Derek Swing,MC,aire,70,56,76,59,59,69,60,61
IE1,Paddy Prunus,PR,aire,52,60,48,53,53,48,61,63
IE1,Brian Presser,DL,tierra,59,68,56,65,65,57,55,63
IE1,Pete LeGume,DF,fuego,62,68,62,64,64,67,64,60
IE1,Shylock Watson,DF,bosque,43,42,41,45,45,40,44,49
IE1,Ed Ripp,DF,tierra,42,52,53,60,60,65,70,57
IE1,Hike Basher,DL,bosque,60,60,54,56,56,61,54,63
IE1,Anthony Phinder,DL,fuego,54,53,56,60,60,60,61,56
IE1,Duncan Jump,DF,fuego,40,48,48,40,40,43,76,48
IE1,Lucky Winn,MC,aire,52,66,48,60,60,61,66,56
IE1,Gene Bates,DF,fuego,60,63,61,60,60,35,64,56
IE1,Randolf Finn,PR,tierra,66,63,63,56,56,63,68,63
IE1,Ron Away,DL,fuego,49,29,32,55,55,67,60,60
IE1,Rick Hatter,DL,fuego,60,61,64,65,65,64,62,64
IE1,Grant Mardy,DF,aire,60,55,40,42,42,40,56,60
IE1,Shawn Broker,PR,tierra,40,62,56,52,52,52,70,62
IE1,Anthony Coyne,DF,fuego,55,60,52,60,60,60,53,56
IE1,Daniel Hatch,DL,bosque,75,69,68,68,68,78,61,64
IE1,Healey Proctor,MC,tierra,44,56,70,41,41,52,52,56
IE1,Ade Posting,DL,aire,31,44,47,67,67,60,48,43
IE1,Doug Outon,MC,aire,30,46,60,32,32,44,44,48
IE1,Ebenezer Marner,DF,fuego,42,36,31,56,56,68,63,55
IE1,Davy Johns,DL,aire,68,51,41,60,60,71,56,40
IE1,Bos Horne,DF,tierra,60,61,54,56,56,59,68,55
IE1,Nick Orner,PR,aire,41,46,40,42,42,53,58,56
IE1,Nathin Gaunt,MC,tierra,40,56,52,61,61,76,52,61
IE1,Quentin Quartz,DL,tierra,60,52,57,67,67,31,62,58
IE1,Andrew Meikle,PR,fuego,48,56,61,48,48,63,53,62
IE1,Gary Salmon,PR,tierra,56,53,59,60,60,63,60,58
IE1,Fontaine Tapper,DL,fuego,44,56,63,54,54,65,60,58
IE1,Leon Lawn,DF,tierra,60,55,49,46,46,40,69,52
IE1,Jim Sweatman,PR,aire,40,55,68,48,48,55,52,53
IE1,Cole Coaker,PR,bosque,47,52,60,52,52,62,59,58
IE1,Stu Born,PR,fuego,60,56,40,48,48,46,56,52
IE1,Romeo Montague,PR,fuego,57,60,63,60,60,56,61,55
IE1,Drew Straitedge,PR,tierra,49,46,44,44,44,46,42,47
IE1,Dash Dotter,MC,aire,51,52,61,52,52,65,62,58
IE1,Gill O'Mend,MC,fuego,56,60,56,55,55,57,52,57
IE1,Pay Chance,PR,fuego,59,56,53,59,59,60,56,56
IE1,Bill Aegis,DF,tierra,63,62,40,60,60,56,68,55
IE1,Tosh Coach,DF,tierra,34,70,39,78,78,37,32,32
IE1,Carl Gnu,DL,bosque,42,55,53,62,62,71,72,54
IE1,Paul Sapp,MC,tierra,62,61,44,64,64,55,68,56
IE1,Macky Valley,DL,aire,54,59,43,44,44,47,52,78
IE1,Troy Trucker,DL,aire,66,53,63,58,58,60,79,52
IE1,Haden Seek,DL,fuego,41,63,54,54,54,70,63,62
IE1,Kevin Doors,PR,aire,70,66,68,71,71,62,63,63
IE1,Skip Rooter,MC,fuego,61,55,61,61,61,58,67,61
IE1,Rip Airman,DF,tierra,48,52,54,53,53,65,66,59
IE1,Stu Shiner,PR,aire,59,62,60,52,52,60,58,57
IE1,David Samford,DL,bosque,70,60,78,66,66,66,67,71
IE1,Matt Matickal,PR,bosque,40,36,36,61,61,71,56,57
IE1,Philip Flagg,DF,tierra,40,29,32,53,53,60,33,60
IE1,Alf Groundsman,DF,tierra,60,60,55,68,68,56,62,55
IE1,Ernie Riddell,DL,bosque,44,57,76,44,44,53,53,60
IE1,Len Stint,PR,aire,52,59,60,60,60,57,63,56
IE1,Holly Cricket,MC,fuego,61,70,48,63,63,63,67,56
IE1,Dave Altair,DL,aire,61,63,57,58,58,53,69,60
IE1,Jim Reed,DF,bosque,45,45,42,53,53,54,46,48
IE1,Gwyn Penn,PR,aire,49,57,71,43,43,58,53,61
IE1,Spike Needle,PR,aire,42,32,39,60,60,71,59,54
IE1,Ifan Tassy,MC,tierra,60,51,57,56,56,58,63,60
IE1,Eggbert Heading,DL,bosque,68,53,58,71,71,38,76,62
IE1,Pascal Blaise,DF,bosque,49,56,60,61,61,68,45,57
IE1,Will Whist,PR,fuego,61,36,30,52,52,62,54,53
IE1,Ewan Liner,PR,aire,50,75,63,52,52,65,63,56
IE1,Buster Locke,DF,fuego,56,58,49,43,43,49,56,58
IE1,Bob Carlton,PR,bosque,58,55,63,54,54,45,62,70
IE1,Rex Plorer,DL,bosque,48,53,58,63,63,65,60,53
IE1,Webber Poster,MC,fuego,55,56,46,45,45,40,56,56
IE1,Sid Parting,DF,aire,68,60,63,69,69,47,64,52
IE1,Eaton Rampage,DL,tierra,51,44,48,50,50,73,47,37
IE1,Parker Leaper,PR,aire,54,53,62,60,60,58,56,56
IE1,Hank Halberd,PR,bosque,62,62,59,61,61,37,62,55
IE1,Robin Catching,PR,fuego,48,49,51,48,48,78,49,47
IE1,Trey Spotter,MC,aire,47,54,61,51,51,51,44,52
IE1,Onslow Ball,DF,bosque,58,69,47,70,70,61,63,60
IE1,Tex Tingle,PR,bosque,40,51,54,45,45,60,44,45
IE1,Sam Gale,PR,fuego,48,52,66,44,44,55,60,63
IE1,Ryder Waverly,MC,fuego,49,39,33,62,62,60,62,56
IE1,Leaf Scarlett,DL,aire,56,57,60,56,56,60,53,60
IE1,Horace Coop,DF,bosque,54,59,44,48,48,50,60,53
IE1,Ness Lockley,DF,bosque,44,56,60,63,63,68,52,62
IE1,Olef Tennant,DF,aire,62,54,68,60,60,52,28,57
IE1,Cliff Tomlinson,DL,aire,53,60,52,61,61,54,52,53
IE1,Len Scapp,PR,tierra,41,36,33,56,56,74,56,63
IE1,Monty Hillary,DL,tierra,42,56,59,63,63,65,64,52
IE1,Penfold Pulper,DL,aire,41,52,59,59,59,71,64,62
IE1,Thomas Cott,PR,aire,53,59,53,56,56,63,59,56
IE1,Spike Thorne,DF,bosque,53,64,48,61,61,52,62,56
IE1,Lincoln Hawking,DL,tierra,57,52,62,73,73,54,63,60
IE1,Ted Larkin,MC,bosque,60,59,62,63,63,62,70,58
IE1,Madison Cabinet,PR,fuego,40,52,61,42,42,60,63,57
IE1,Odo Cologne,MC,aire,40,57,52,57,57,60,37,60
IE1,Nester Damus,PR,aire,63,60,63,61,61,53,54,56
IE1,Herb Ivore,DL,tierra,56,61,60,61,61,59,57,60
IE1,Homer Pidgeon,DF,fuego,60,60,56,52,52,60,77,56
IE1,Rob Ottley,MC,bosque,43,53,55,52,52,68,61,56
IE1,Scott Springer,DL,aire,78,59,63,53,53,52,60,54
IE1,Viv Grey,DF,fuego,55,57,42,44,44,47,61,56
IE1,Don Snow,PR,fuego,60,58,60,64,64,35,64,61
IE1,Jim Lawrenson,DL,aire,54,57,57,63,63,53,56,55
IE1,Hal Mullet,MC,aire,43,76,55,60,60,68,68,55
IE1,Isaiah Shutt,DL,tierra,64,68,54,60,60,52,56,52
IE1,Ace Irvin,MC,fuego,43,52,65,51,51,55,60,63
IE1,Spike Pitt,DL,tierra,60,52,55,57,57,61,54,63
IE1,Innes Caving,PR,fuego,44,42,48,57,57,69,57,56
IE1,Keanu Dell,DL,fuego,46,55,68,51,51,61,52,29
IE1,Casey Novak,DF,bosque,60,64,51,69,69,57,62,63
IE1,Ed Halley,MC,aire,44,39,29,54,54,79,30,56
IE1,Burt Mocking,DF,bosque,61,61,51,51,51,45,57,58
IE1,Oscar Petty,PR,fuego,76,71,63,70,70,44,78,82
IE1,Waite Forrit,MC,tierra,61,55,59,58,58,59,68,59
IE1,Bennett Byers,PR,aire,57,63,48,68,68,52,60,54
IE1,Mo Eisner,PR,fuego,48,56,61,56,56,66,60,62
IE1,Miles Seaford,DF,aire,40,35,29,60,60,70,52,56
IE1,Sayer Lemon,DF,fuego,52,61,54,52,52,63,59,53
IE1,Carey Ginu,DL,bosque,40,52,60,62,62,78,55,60
IE1,Barry Potts,MC,aire,53,52,54,56,56,52,60,44
IE1,Cass Crocker,DL,fuego,68,51,64,38,38,44,40,44
IE1,Paul Downs,MC,aire,48,52,71,41,41,53,57,62
IE1,Darrel Jeeling,PR,bosque,47,60,68,46,46,58,59,53
IE1,Nobby Shinn,DL,bosque,57,56,50,41,41,48,58,52
IE1,Theo Broma,DF,fuego,52,54,49,49,49,41,55,53
IE1,Ramsey Faroe,PR,fuego,37,77,32,71,71,30,79,34
IE1,Buster Chopps,PR,fuego,59,56,57,59,59,58,60,79
IE1,Vince Bull,MC,aire,55,56,52,60,60,64,64,57
IE1,Pat Maclean,DL,aire,63,64,62,69,69,60,60,68
IE1,Walter Card,DL,tierra,32,30,79,33,33,39,36,35
IE1,Derek Terr,DL,fuego,50,32,31,61,61,77,58,59
IE1,Alton Oldhat,MC,tierra,60,62,48,40,40,47,60,62
IE1,Cal Cooler,DL,bosque,68,56,61,60,60,55,69,57
IE1,Tom Felix,MC,aire,54,60,71,63,63,71,61,59
IE1,Terry Orr,DF,fuego,50,43,40,44,44,71,79,68
IE1,Rudolph Rainder,DF,fuego,48,33,38,56,56,67,55,58
IE1,Steve Ingham,DL,tierra,61,53,57,52,52,47,54,46
IE1,Nick Swagg,PR,fuego,68,69,71,64,64,64,64,60
IE1,Hal Leeward,MC,bosque,55,71,75,56,56,58,63,56
IE1,Arthur Dox,DL,tierra,60,67,40,66,66,60,68,55
IE1,Reese Ickle,DL,bosque,53,60,62,58,58,52,61,54
IE1,Finn Attick,DF,aire,61,61,68,69,69,60,70,65
IE1,Col Lector,DL,tierra,55,71,59,64,64,57,58,55
IE1,Crispin Shooter,PR,fuego,32,46,72,29,29,51,40,51
IE1,Stu Perstitious,DF,fuego,40,56,69,40,40,63,53,53
IE1,Ashley Fay,DL,aire,62,56,40,51,51,40,57,52
IE1,Luke Raffles,MC,bosque,62,59,56,52,52,63,68,60
IE1,Stu Helmsley,PR,fuego,56,53,62,56,56,63,60,58
IE1,Terrence Anthem,DF,fuego,63,55,56,60,60,63,64,57
IE1,Gene Bottle,DL,aire,62,60,40,68,68,52,69,52
IE1,Sam O'Reilly,MC,fuego,63,54,44,44,44,41,55,56
IE1,Ches Nutcracker,PR,fuego,71,77,69,71,71,78,28,70
IE1,Victor Grand,DF,bosque,66,53,60,52,52,59,60,53
IE1,Ant Hophila,DF,tierra,49,59,55,52,52,71,59,59
IE1,Hunter Glory,MC,bosque,62,70,63,71,71,53,55,60
IE1,Joe Rassock,PR,aire,44,52,66,48,48,60,52,60
IE1,Patch Borgnine,MC,fuego,32,45,51,44,44,53,50,44
IE1,Ted Fast,PR,bosque,52,64,42,70,70,53,61,59
IE1,Clay Modlin,DL,tierra,63,61,61,62,62,36,65,52
IE1,Alan Mode,DF,aire,56,58,48,40,40,47,63,62
IE1,Harry Harper,PR,aire,43,52,60,60,60,60,56,52
IE1,Pascal Richter,MC,tierra,51,60,62,45,45,52,60,57
IE1,Beau Fort,DF,aire,48,48,45,60,60,68,52,54
IE1,Reid Scarlet,DF,fuego,61,62,50,69,69,54,64,57
IE1,Joe Lamkin,MC,bosque,52,60,56,53,53,62,58,56
IE1,Dylan Magpie,PR,aire,48,52,58,59,59,74,66,57
IE1,Gil Rivers,DL,aire,54,61,55,63,63,61,59,59
IE1,Des Tiny,DF,bosque,52,53,53,59,59,53,63,62
IE1,Saul Dowd,DF,tierra,52,56,58,54,54,61,53,63
IE1,Kit Chapman,DL,fuego,69,59,57,54,54,53,62,61
IE1,Fry Vollity,DF,bosque,66,52,52,54,54,61,65,56
IE1,Clark Roach,MC,tierra,66,54,57,60,60,36,63,56
IE1,Samuel Peeps,DF,fuego,55,68,40,67,67,60,62,56
IE1,Dai Hart,DF,fuego,36,39,36,36,36,39,36,28
IE1,Horty Courture,DL,bosque,29,48,43,48,48,60,47,42
IE1,Bob Baggum,PR,tierra,49,53,66,62,62,56,54,62
IE1,Ollie Twister,DL,aire,59,53,60,52,52,52,53,60
IE1,Fred Makepeace,DF,bosque,40,63,29,76,76,42,55,40
IE1,Walker Sleep,PR,tierra,63,61,62,56,56,52,52,60
IE1,Sean Trawler,MC,aire,57,60,62,54,54,52,65,54
IE1,Ken Sewer,PR,bosque,45,47,44,73,73,44,46,48
IE1,Bamber Shoot,DL,tierra,43,63,65,44,44,52,58,58
IE1,Sly Winker,DF,aire,48,34,28,62,62,72,52,52
IE1,Teller Scoap,PR,tierra,49,60,56,62,62,70,71,52
IE1,Sam Firman,PR,fuego,60,54,60,57,57,52,67,52
IE1,Bear Turnbull,DL,bosque,51,54,60,59,59,62,60,52
IE1,Tabor Drummond,PR,tierra,40,34,29,55,55,61,58,57
IE1,Brook Atwater,DF,aire,57,60,54,56,56,53,60,59
IE1,Ike Doerflinger,DL,bosque,53,60,58,61,61,52,56,52
IE1,Aessop Fabel,DF,fuego,64,54,53,53,53,61,63,60
IE1,Grant Slammer,DL,aire,48,57,63,43,43,57,54,58
IE1,Robin Cruise,PR,tierra,64,58,55,68,68,32,61,56
IE1,Mark Perfect,PR,fuego,44,60,61,60,60,68,65,62
IE1,Rolly Kerr,MC,aire,44,62,64,45,45,77,52,56
IE1,Moses Pumper,DL,fuego,63,67,46,70,70,60,68,54
IE1,Knight Reader,DF,tierra,44,48,46,72,72,51,49,47
IE1,Cash Barganier,DL,fuego,43,35,38,52,52,76,37,61
IE1,Brendan Branch,PR,tierra,44,58,60,61,61,68,56,55
IE1,Clark Rain,MC,tierra,44,60,69,42,42,59,52,53
IE1,Luther Rio,PR,aire,46,56,55,52,52,64,69,60
IE1,Florian Hutter,MC,fuego,55,54,52,56,56,59,62,57
IE1,Scamp Shrimplin,PR,bosque,47,58,68,45,45,52,53,60
IE1,Adam Nesiac,DF,tierra,68,70,55,76,76,52,61,55
IE1,Rab Acus,DL,aire,48,63,53,52,52,64,57,58
IE1,Chris Miles,MC,bosque,58,69,60,60,60,52,57,56
IE1,Shemmy Ramis,MC,tierra,60,60,60,60,60,62,63,56
IE1,Lon Grainger,PR,fuego,60,52,55,52,52,63,72,60
IE1,Manny Atom,DL,fuego,67,59,54,68,68,64,61,54
IE1,Bill Tardy,PR,tierra,63,63,56,61,61,52,60,59
IE1,Fox Copier,DL,bosque,60,52,56,54,54,53,56,60
IE1,Cletus Badden,MC,aire,58,56,54,53,53,56,63,56
IE1,Skip Sofrenic,MC,tierra,60,66,49,61,61,54,79,61
IE1,Mat Char,DL,bosque,40,58,52,55,55,70,54,62
IE1,Trey Cultivator,DF,bosque,42,56,73,51,51,61,62,60
IE1,Vinny Trioquist,DL,tierra,60,52,45,45,45,40,57,54
IE1,Ton Nino,MC,aire,66,60,63,56,56,55,71,63
IE1,Oscar Esher,PR,aire,35,31,28,36,36,38,32,32
IE1,Nathan Jones,PR,aire,58,56,70,68,68,56,60,68
IE1,Saul Searcher,DF,aire,46,59,58,62,62,66,52,54
