ID,Type,Name,Tier,Real Tier,Min Power,Kakusei Power,True Power,TP,Element,Secondary type
148,Shoot,Harmonics,SP,Keshin,110.0,120.0,140,80.0,Wood,Normal
164,Shoot,Maou no Ono,SP,Keshin,110.0,120.0,140,80.0,Wood,Normal
1A8,Shoot,Checkmate,SP,Keshin,110.0,120.0,140,80.0,Wood,Normal
1D3,Shoot,Magician's Box,SP,Keshin,110.0,120.0,140,80.0,Wood,Normal
119,Shoot,Justice Wing,SP,Keshin,110.0,120.0,140,80.0,Wind,Normal
163,Shoot,White Breath,SP,Keshin,110.0,120.0,140,80.0,Wind,Normal
178,Shoot,Icicle Road,SP,Keshin,110.0,120.0,140,80.0,Wind,Normal
179,Shoot,Athena Assault,SP,Keshin,110.0,120.0,140,80.0,Wind,Normal
1CD,Shoot,Falco Wing,SP,Keshin,110.0,120.0,140,80.0,Wind,Normal
1D2,Shoot,Heavy Aqua Lance,SP,Keshin,110.0,120.0,140,80.0,Wind,Normal
175,Shoot,Lost Angel,SP,Keshin,110.0,120.0,140,80.0,Fire,Normal
199,Shoot,Sunshine Force,SP,Keshin,110.0,120.0,140,80.0,Fire,Normal
1B3,Shoot,Bakunetsu Storm,SP,Keshin,110.0,120.0,140,80.0,Fire,Normal
158,Shoot,Bushin Renzan,SP,Keshin,110.0,120.0,140,80.0,Earth,Normal
18B,Shoot,Gallop Buster,SP,Keshin,110.0,120.0,140,80.0,Earth,Normal
1DA,Shoot,Raging Claw,SP,Keshin,110.0,120.0,140,80.0,Earth,Normal
1DB,Shoot,Red Prison,SP,Keshin,110.0,120.0,140,80.0,Earth,Normal
1DC,Shoot,Red Prison,SP,Keshin,110.0,120.0,140,80.0,Earth,Normal
FE,Shoot,Gallop Buster,SP,Keshin,110.0,120.0,140,80.0,Earth,Normal
197,Shoot,Saikyou Eleven Hadou,SP,MIX (Co-Op 3P),130.0,140.0,140,20.0,Wind,Normal
FC,Shoot,Chaos Break,SP,Co-Op 3P,120.0,130.0,130,50.0,Wood,Normal
14F,Shoot,Big Bang,SP,Co-Op 3P,120.0,130.0,130,50.0,Fire,Normal
117,Shoot,The Earth,SP,Co-Op 3P,120.0,130.0,130,50.0,Earth,Normal
118,Shoot,Jet Stream,SP,Co-Op 3P,120.0,130.0,130,50.0,Earth,Long Shoot
11E,Shoot,Supernova,SP,Co-Op 3P,120.0,130.0,130,50.0,Wood,Normal
13A,Shoot,Death Break,SP,Co-Op 3P,120.0,130.0,130,50.0,Earth,Normal
18D,Shoot,Great Max Na Ore,Lv. 3,MIX,110.0,120.0,120,60.0,Earth,Normal
184,Shoot,Chaos Meteor,Lv. 3,MIX,110.0,120.0,120,60.0,Earth,Block
1D7,Shoot,Last Death Zone,SP,Co-Op 3P,110.0,120.0,120,40.0,Wood,Long Shoot
101,Shoot,Grand Fenrir,SP,Co-Op 3P,110.0,120.0,120,40.0,Wood,Normal
10A,Shoot,Koutei Penguin 3,SP,Co-Op 3P,110.0,120.0,120,40.0,Wood,Normal
17F,Shoot,Omega Attack,SP,Co-Op 3P,110.0,120.0,120,40.0,Void,Normal
1B8,Shoot,Fire tornado TC,SP,Co-Op 3P,110.0,120.0,120,40.0,Fire,Normal
1B9,Shoot,Fire tornado TC,SP,Co-Op 3P,110.0,120.0,120,40.0,Fire,Normal
1BA,Shoot,Fire tornado TC,SP,Co-Op 3P,110.0,120.0,120,40.0,Fire,Normal
12A,Shoot,Dark Phoenix,SP,Co-Op 3P,110.0,120.0,120,40.0,Wood,Normal
122,Shoot,Space Penguin,SP,Co-Op 3P,110.0,120.0,120,40.0,Wind,Normal
1BB,Shoot,Fire tornado TC,SP,Co-Op 3P,110.0,120.0,120,40.0,Fire,Normal
F9,Shoot,Evolution,SP,Co-Op 3P,110.0,120.0,120,40.0,Earth,Normal
100,Shoot,Grand Fire,SP,Co-Op 3P,110.0,120.0,120.0,40.0,Fire,Long Shoot
9F,Shoot,Gamma Strike (Mixi-Max),Lv. 3,MIX,100.0,100.0,110.0,60.0,Wood,Long Shoot
1A0,Shoot,Setsuna Boost,Lv. 3,MIX,100.0,110.0,110,60.0,Wood,Chain
1AC,Shoot,Tenchi Raimei,Lv. 3,MIX,100.0,110.0,110,60.0,Wind,Normal
18A,Shoot,Kiku Ichimonji,Lv. 3,MIX,100.0,110.0,110,60.0,Fire,Block
17D,Shoot,Ouja No Kiba,Lv. 3,MIX,100.0,110.0,110,60.0,Earth,Normal
11B,Shoot,Shadow Ray,SP,Co-Op 2P,100.0,110.0,110,40.0,Wood,Normal
11C,Shoot,Joker Rains,SP,Co-Op 2P,100.0,110.0,110,40.0,Wood,Normal
1AB,Shoot,Dual Strike,SP,Co-Op 2P,100.0,110.0,110,40.0,Wood,Normal
105,Shoot,Cross Fire,SP,Co-Op 2P,100.0,110.0,110,40.0,Wind,Normal
111,Shoot,The Birth,SP,Co-Op 2P,100.0,110.0,110,40.0,Wind,Normal
154,Shoot,Fire Blizzard,SP,Co-Op 2P,100.0,110.0,110,40.0,Wind,Normal
15A,Shoot,Prime Legend,SP,Co-Op 2P,100.0,110.0,110,40.0,Wind,Normal
123,Shoot,Zero Magnum,SP,Co-Op 2P,100.0,110.0,110,40.0,Void,Normal
18E,Shoot,Great Blaster,SP,Co-Op 2P,100.0,110.0,110,40.0,Void,Normal
104,Shoot,Cross Fire,SP,Co-Op 2P,100.0,110.0,110,40.0,Fire,Normal
153,Shoot,Fire Blizzard,SP,Co-Op 2P,100.0,110.0,110,40.0,Fire,Normal
1B7,Shoot,Fire Tornado DD,SP,Co-Op 2P,100.0,110.0,110,40.0,Fire,Normal
11A,Shoot,Shadow Ray,SP,Co-Op 2P,100.0,110.0,110,40.0,Earth,Normal
1A1,Shoot,Souhi Yuseidan,SP,Co-Op 2P,100.0,110.0,110,40.0,Earth,Normal
137,Shoot,Death Zone 2,SP,Co-Op 3P,100.0,110.0,110,30.0,Wood,Normal
13F,Shoot,Triangle Z,SP,Co-Op 3P,100.0,110.0,110,30.0,Fire,Normal
1AE,Shoot,Triangle ZZ,SP,Co-Op 3P,100.0,110.0,110,30.0,Fire,Normal
19A,Shoot,Shellbit Burst,Lv. 3,Lv. 3,100.0,110.0,110,50.0,Void,Long Shoot
1A7,Shoot,Dimension Storm,Lv. 3,Lv. 3,100.0,110.0,110,60.0,Wood,Block
10F,Shoot,God Break,Lv. 3,Lv. 3,100.0,110.0,110,60.0,Wind,Normal
10C,Shoot,Koutei Penguin X,Lv. 3,Lv. 3,100.0,110.0,110,60.0,Fire,Normal
13D,Shoot,Tenkuu Otoshi,Lv. 3,Lv. 3,100.0,110.0,110,60.0,Fire,Chain
165,Shoot,Maximum Fire,Lv. 3,Lv. 3,100.0,110.0,110,60.0,Fire,Chain
10D,Shoot,God Canon,Lv. 3,Lv. 3,100.0,110.0,110,60.0,Earth,Chain
11F,Shoot,Strike Samba,Lv. 3,Lv. 3,100.0,110.0,110,60.0,Earth,Long Shoot
FA,Shoot,Odin Sword,Lv. 3,Lv. 3,100.0,110.0,110,60.0,Earth,Chain
12B,Shoot,Dark Matter,Lv. 3,Lv. 3,100.0,110.0,110,60.0,Wood,Block
160,Shoot,Heaven Drive,Lv. 3,Lv. 3,100.0,110.0,110,60.0,Earth,Long Shoot
112,Shoot,The Hurricane,SP,Co-Op 2P,90.0,100.0,100,40.0,Wind,Normal
12C,Shoot,Tiger Storm,SP,Co-Op 2P,90.0,100.0,100,40.0,Fire,Normal
1B6,Shoot,Hinawa Bullet,SP,Co-Op 2P,90.0,100.0,100,40.0,Fire,Long Shoot
16D,Shoot,Unicorn Boost,SP,Co-Op 2P,90.0,100.0,100,40.0,Earth,Normal
17A,Shoot,Extreme Rabbit,SP,Co-Op 2P,90.0,100.0,100,40.0,Earth,Normal
136,Shoot,Death Zone,SP,Co-Op 3P,90.0,100.0,100,30.0,Wood,Normal
140,Shoot,Tri Pegasus,SP,Co-Op 3P,90.0,100.0,100,30.0,Wind,Normal
F1,Shoot,Inazuma 1gou Otoshi,SP,Co-Op 3P,90.0,100.0,100,30.0,Wind,Normal
F3,Shoot,Inazuma Break,SP,Co-Op 3P,90.0,100.0,100,30.0,Wind,Normal
113,Shoot,The Phoenix,SP,Co-Op 3P,90.0,100.0,100,30.0,Fire,Normal
146,Shoot,Triple Boost,SP,Co-Op 3P,90.0,100.0,100,30.0,Fire,Long Shoot
FB,Shoot,Gaia Break,SP,Co-Op 3P,90.0,100.0,100,30.0,Earth,Normal
144,Shoot,Dragon Slayer,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Wood,Chain
15B,Shoot,Black Ash,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Wood,Normal
187,Shoot,Gamma Strike,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Wood,Normal
10E,Shoot,God Knows,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Wind,Normal
162,Shoot,White Hurricane,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Wind,Block
1AF,Shoot,Dragon Blaster,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Wind,Chain
1B5,Shoot,Panther Blizzard,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Wind,Chain
F4,Shoot,Wolf Legend,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Wind,Long Shoot
F5,Shoot,Excalibur,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Wind,Long Shoot
13C,Shoot,Devil Burst,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Fire,Normal
14A,Shoot,Bakunetsu Screw,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Fire,Chain
186,Shoot,Gunshot,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Fire,Normal
1A2,Shoot,Double Jaw,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Fire,Chain
ED,Shoot,X Blast,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Fire,Normal
1A5,Shoot,Disaster Break,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Earth,Normal
134,Shoot,Death Spear,Lv. 3,Lv. 3,90.0,100.0,100,60.0,Wood,Long Shoot
F6,Shoot,Extend Zone,Lv. 3,Lv. 3,90.0,100.0,100,60.0,Wood,Chain
106,Shoot,Gungnir,Lv. 3,Lv. 3,90.0,100.0,100,60.0,Wind,Long Shoot
147,Shoot,Northern Impact,Lv. 3,Lv. 3,90.0,100.0,100,60.0,Wind,Chain
195,Shoot,God Wind,Lv. 3,Lv. 3,90.0,100.0,100,60.0,Wind,Normal
19D,Shoot,Sparkle Wave,Lv. 3,Lv. 3,90.0,100.0,100,60.0,Wind,Long Shoot
156,Shoot,Fuurinkazan Destroyer,Lv. 3,Lv. 3,100.0,110.0,110.0,60.0,Void,Chain
198,Shoot,Thousand Arrow,Lv. 3,Lv. 3,90.0,100.0,100,60.0,Void,Normal
13B,Shoot,Death Rain,Lv. 3,Lv. 3,90.0,100.0,100,60.0,Fire,Long Shoot
1D6,Shoot,Yakimochi Screw,Lv. 3,Lv. 3,90.0,100.0,100,60.0,Fire,Long Shoot
EF,Shoot,Atomic Flare,Lv. 3,Lv. 3,90.0,100.0,100,60.0,Fire,Block
13E,Shoot,Denrai Houtou,Lv. 3,Lv. 3,90.0,100.0,100,60.0,Earth,Normal
1B4,Shoot,Ballista Shot,Lv. 3,Lv. 3,90.0,100.0,100,60.0,Earth,Long Shoot
FF,Shoot,Gladius Arch,Lv. 3,Lv. 3,90.0,100.0,100,60.0,Earth,Long Shoot
107,Shoot,Koutei Penguin 1gou,Lv. 3,Lv. 3,90.0,100.0,100,80.0,Wood,Normal
171,Shoot,Revolution V,SP,Co-Op 2P,90.0,100.0,100,40.0,Wind,Normal
16E,Shoot,Universe Blast,SP,Co-Op 2P,80.0,90.0,90,40.0,Wood,Normal
116,Shoot,Thunder Beast,SP,Co-Op 2P,80.0,90.0,90,40.0,Wind,Normal
12E,Shoot,Tatsumaki Otoshi,SP,Co-Op 2P,80.0,90.0,90,40.0,Wind,Normal
177,Shoot,Wyvern Blizzard,SP,Co-Op 2P,80.0,90.0,90,40.0,Wind,Normal
131,Shoot,Twin Boost F,SP,Co-Op 2P,80.0,90.0,90,40.0,Fire,Normal
14C,Shoot,Butterfly Dream,SP,Co-Op 2P,80.0,90.0,90,40.0,Earth,Normal
139,Shoot,Death Drop,Lv. 2,MIX,80.0,90.0,90,50.0,Fire,Chain
194,Shoot,Kodai no Kiba,Lv. 2,MIX,80.0,90.0,90,50.0,Earth,Normal
16C,Shoot,Megalodon,Lv. 2,Lv. 2,80.0,90.0,90,50.0,Wind,Normal
141,Shoot,Dragon Cannon,Lv. 2,Lv. 2,80.0,90.0,90,50.0,Fire,Block
170,Shoot,Ryuusei Blade,Lv. 2,Lv. 2,80.0,90.0,90,50.0,Fire,Block
17E,Shoot,Ogre blade,Lv. 2,Lv. 2,80.0,90.0,90,50.0,Earth,Chain
1D1,Shoot,Floral Despair,Lv. 2,Lv. 2,80.0,90.0,90,50.0,Earth,Normal
15E,Shoot,Pegasus Shot,Lv. 2,Lv. 2,80.0,90.0,90,50.0,Wood,Chain
F0,Shoot,Inazuma 1gou,SP,Co-Op 2P,70.0,80.0,80,30.0,Wind,Normal
F2,Shoot,Inazuma Otoshi,SP,Co-Op 2P,70.0,80.0,80,30.0,Wind,Normal
130,Shoot,Twin Boost,SP,Co-Op 2P,70.0,80.0,80,30.0,Fire,Normal
145,Shoot,Dragon Tornado,SP,Co-Op 2P,70.0,80.0,80,30.0,Fire,Normal
161,Shoot,Honoo no Kazamidori,SP,Co-Op 2P,70.0,80.0,80,30.0,Fire,Long Shoot
108,Shoot,Koutei Penguin 2,SP,Co-Op 3P,70.0,80.0,80,20.0,Wood,Normal
109,Shoot,Koutei Penguin 2,SP,Co-Op 3P,70.0,80.0,80,20.0,Wood,Normal
129,Shoot,Dark Tornado Kai,Lv. 2,Lv. 2,70.0,80.0,80,40.0,Wood,Block
167,Shoot,Maboroshi Shot,Lv. 2,Lv. 2,70.0,80.0,80,40.0,Wood,Normal
168,Shoot,Mirage Shot,Lv. 2,Lv. 2,70.0,80.0,80,40.0,Wood,Chain
173,Shoot,Rose Splash V2,Lv. 2,Lv. 2,70.0,80.0,80,40.0,Wood,Chain
176,Shoot,Wyvern Crash,Lv. 2,Lv. 2,70.0,80.0,80,40.0,Wood,Normal
183,Shoot,Gauss Shot,Lv. 2,Lv. 2,70.0,80.0,80,40.0,Wood,Chain
1A3,Shoot,Double Shot,Lv. 2,Lv. 2,70.0,80.0,80,40.0,Void,Long Shoot
14B,Shoot,Bakunetsu Storm,Lv. 2,Lv. 2,70.0,80.0,80,40.0,Fire,Normal
14E,Shoot,Paladin Strike,Lv. 2,Lv. 2,70.0,80.0,80,40.0,Earth,Chain
143,Shoot,Dragon Crash Kai,Lv. 2,Lv. 2,60.0,70.0,70,30.0,Wood,Chain
152,Shoot,Fire Tornado Kai,Lv. 2,Lv. 2,60.0,70.0,70,30.0,Fire,Chain
157,Shoot,Fortissimo,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Wood,Chain
EE,Shoot,Astro Break,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Wood,Normal
FD,Shoot,Ganimede Proton,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Wood,Block
10B,Shoot,Koutei Penguin 7,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Wind,Long Shoot
110,Shoot,The Typhoon,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Wind,Normal
127,Shoot,Sonic Shot V2,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Wind,Normal
133,Shoot,Divine Arrow,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Wind,Normal
1CF,Shoot,Plasma Ball,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Wind,Long Shoot
1D0,Shoot,Plasma Ball,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Wind,Long Shoot
F7,Shoot,Eternal Blizzard,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Wind,Chain
F8,Shoot,Eternal Blizzard,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Wind,Normal
12F,Shoot,Double Grenade,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Fire,Chain
138,Shoot,Death Drop,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Fire,Chain
1D8,Shoot,Love Arrow,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Fire,Long Shoot
EC,Shoot,RC Shoot,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Fire,Long Shoot
115,Shoot,Sidewinder V2,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Earth,Chain
16F,Shoot,Reflect Buster,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Earth,Normal
189,Shoot,Gigaton Head,Lv. 2,Lv. 2,60.0,70.0,70,40.0,Earth,Chain
16B,Shoot,Megane Crash,SP,Co-Op 2P,50.0,60.0,60,20.0,Earth,Normal
128,Shoot,Dark Tornado,Lv. 1,Lv. 1,50.0,60.0,60,30.0,Wood,Block
172,Shoot,Rose Splash,Lv. 1,Lv. 1,50.0,60.0,60,30.0,Wood,Chain
14D,Shoot,Back Tornado,Lv. 1,Lv. 1,50.0,60.0,60,30.0,Wind,Block
19E,Shoot,Spinning Transam,Lv. 1,Lv. 1,50.0,60.0,60,30.0,Wind,Normal
149,Shoot,Bound Flame,Lv. 1,Lv. 1,50.0,60.0,60,30.0,Fire,Normal
15F,Shoot,Head Bazooka,Lv. 1,Lv. 1,50.0,60.0,60,30.0,Fire,Block
12D,Shoot,Tiger Drive,Lv. 1,Lv. 1,50.0,60.0,60,30.0,Earth,Long Shoot
169,Shoot,Megaton Head,Lv. 1,Lv. 1,50.0,60.0,60,30.0,Earth,Block
142,Shoot,Dragon Crash,Lv. 1,Lv. 1,40.0,50.0,50,20.0,Wood,Chain
155,Shoot,Phantom Shoot,Lv. 1,Lv. 1,40.0,50.0,50,20.0,Wood,Chain
121,Shoot,Spinning Shoot,Lv. 1,Lv. 1,40.0,50.0,50,20.0,Wind,Chain
151,Shoot,Fire Tornado,Lv. 1,Lv. 1,40.0,50.0,50,20.0,Fire,Chain
1B1,Shoot,Bouncer Rabbit,Lv. 1,Lv. 1,40.0,50.0,50,30.0,Wood,Normal
126,Shoot,Sonic Shot,Lv. 1,Lv. 1,40.0,50.0,50,30.0,Wind,Normal
1CE,Shoot,Flying Fish,Lv. 1,Lv. 1,40.0,50.0,50,30.0,Wind,Long Shoot
135,Shoot,Death Sword,Lv. 1,Lv. 1,40.0,50.0,50,30.0,Fire,Normal
114,Shoot,Sidewinder,Lv. 1,Lv. 1,40.0,50.0,50,30.0,Earth,Chain
159,Shoot,Buttobi Jump,Lv. 1,Lv. 1,40.0,50.0,50,30.0,Earth,Block
18C,Shoot,Kurukuru Head,Lv. 1,Lv. 1,40.0,50.0,50,30.0,Earth,Block
150,Shoot,Hyakuretsu Shoot,Lv. 1,Lv. 1,30.0,40.0,40,20.0,Wood,Chain
15D,Shoot,Freeze Shot,Lv. 1,Lv. 1,30.0,40.0,40,20.0,Wood,Normal
174,Shoot,Rolling Kick,Lv. 1,Lv. 1,30.0,40.0,40,20.0,Wood,Chain
103,Shoot,Cross Drive,Lv. 1,Lv. 1,30.0,40.0,40,20.0,Wind,Chain
11D,Shoot,Suisei Shoot,Lv. 1,Lv. 1,30.0,40.0,40,20.0,Wind,Long Shoot
120,Shoot,Spiral Shot,Lv. 1,Lv. 1,30.0,40.0,40,20.0,Wind,Normal
132,Shoot,Tsunami Boost,Lv. 1,Lv. 1,30.0,40.0,40,20.0,Wind,Long Shoot
166,Shoot,Mach Wind,Lv. 1,Lv. 1,30.0,40.0,40,20.0,Wind,Chain
102,Shoot,Grenade Shoot,Lv. 1,Lv. 1,30.0,40.0,40,20.0,Fire,Normal
,,,,,,,,,,
D5,Dribble,Olympus Harmony (Armed),Lv. 3,Armed,100.0,110.0,110,50.0,Wood,Normal
DB,Dribble,Spark Edge Dribble (Armed),Lv. 3,Armed,100.0,110.0,110,50.0,Fire,Normal
DE,Dribble,Dancing Ghost,Lv. 3,Keshin,100.0,110.0,110,60.0,Wood,Normal
C6,Dribble,Pegasus Break,Lv. 3,Keshin,100.0,110.0,110,60.0,Wind,Normal
D3,Dribble,Overdrive,Lv. 3,Keshin,100.0,110.0,110,60.0,Wind,Normal
DD,Dribble,Tsumuji no Yaiba,Lv. 3,Keshin,100.0,110.0,110,60.0,Wind,Normal
C8,Dribble,Machinegun Beat,Lv. 3,Keshin,100.0,110.0,110,60.0,Fire,Normal
E5,Dribble,Machinegun Beat,Lv. 3,Keshin,100.0,110.0,110,60.0,Fire,Normal
E6,Dribble,Machinegun Beat,Lv. 3,Keshin,100.0,110.0,110,60.0,Fire,Normal
D9,Dribble,Scratch Raid,Lv. 3,Keshin,100.0,110.0,110,60.0,Earth,Normal
D2,Dribble,Ou no Tsurugi,Lv. 3,MIX,90.0,100.0,100,50.0,Earth,Normal
9C,Dribble,Sprint Warp (Mixi-Max),Lv. 3,MIX,90.0,100.0,100,60.0,Void,Normal
D7,Dribble,Kuroshio Ride,Lv. 3,MIX,90.0,100.0,100,50.0,Earth,Normal
AF,Dribble,Judge Through 3,Lv. 3,Lv. 3 (Co-Op 2P),90.0,100.0,100,40.0,Fire,Normal
A7,Dribble,Killer Fields,Lv. 3,Lv. 3 (Co-Op 2P),90.0,100.0,100,30.0,Wood,Normal
E8,Dribble,Muei Souha,Lv. 3,Lv. 3 (Co-Op 3P),90.0,100.0,100,30.0,Void,Normal
B9,Dribble,Devil Ball,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Wood,Normal
A5,Dribble,Angel Ball,Lv. 3,Lv. 3,90.0,100.0,100,50.0,Wind,Normal
D1,Dribble,Air Ride,Lv. 3,Lv. 3,90.0,100.0,100,40.0,Wind,Normal
DF,Dribble,Decoy Release,Lv. 3,Lv. 3,90.0,100.0,100,40.0,Void,Normal
B0,Dribble,Super Elastico,Lv. 3,Lv. 3,90.0,100.0,100,40.0,Earth,Normal
AA,Dribble,The Ikaros,Lv. 3,Lv. 3 (Co-Op 2P),80.0,90.0,90,40.0,Fire,Normal
D6,Dribble,Kazaana Drive,Lv. 3,Lv. 3,80.0,90.0,90,40.0,Wind,Normal
C1,Dribble,Britannia Cross,Lv. 3,Lv. 3,80.0,90.0,90,40.0,Fire,Normal
A6,Dribble,Olympus Harmony,Lv. 3,Lv. 3,80.0,90.0,90,50.0,Wood,Normal
CC,Dribble,Melody Wave,Lv. 3,Lv. 3,80.0,90.0,90,50.0,Wood,Normal
