Name (JPN romaji),Name (FR),Element,Gender,TeamID,Position,TP,Kick,Body,Control,Guard,Speed,Catch,Key bonus,Kakusei
Shishido Sakichi (Raimon 1),Sam Kincaid (Raimon 1),Fire,Male,1.0,MF,180.0,70.0,80.0,80.0,70.0,80.0,100.0,Catch +2/Body +2,2.0
Desarm,Dvalin,Fire,Male,5.0,GK,170.0,80.0,80.0,80.0,70.0,80.0,100.0,Body +2/Speed +2,2.0
Kazemaru Ichirouta (Dark Emperors),Nathan Swift (Empereurs Noirs),Wind,Male,7.0,FW,180.0,90.0,80.0,90.0,80.0,100.0,60.0,Kick +2/Speed +2,2.0
Kurama Norihito ,Michael Balzack,Earth,Male,14.0,FW,180.0,110.0,80.0,90.0,80.0,80.0,60.0,Kick +2/Control +2,2.0
Ryuu Skell ,Li Leug,Wind,Male,16.0,MF,180.0,90.0,80.0,70.0,80.0,90.0,70.0,Catch +2/Speed +2,2.0
Gouenji Masato ,Syon Blaze,Fire,Male,88.0,FW,180.0,110.0,80.0,100.0,80.0,80.0,70.0,Kick +2/Guard +2,2.0
Narukami Kenya (Teikoku),Alan Master (Royal Academy),Wind,Male,2.0,MF,170.0,70.0,80.0,80.0,80.0,90.0,80.0,Speed +4,2.0
Jimon Daiki (Teikoku),Daniel Hatch (Royal Academy),Wood,Male,2.0,FW,160.0,90.0,80.0,80.0,80.0,80.0,80.0,Kick +4,2.0
Arute Saneki ,Artie Mishman,Wind,Male,3.0,MF,150.0,80.0,80.0,100.0,80.0,60.0,80.0,Guard +2/Control +2,2.0
Demete Yutaka (Zeus),Jonas Demetrius (Zeus),Fire,Male,3.0,FW,180.0,90.0,80.0,80.0,80.0,80.0,80.0,Kick +2/Body +2,2.0
Ichinose Kazuya (Raimon 2),Erik Eagle (Raimon 2),Wood,Male,4.0,MF,180.0,90.0,80.0,100.0,80.0,80.0,80.0,Body +2/Control +2,2.0
Reize,Janus,Wood,Male,5.0,MF,160.0,80.0,80.0,90.0,80.0,100.0,80.0,Speed +4,2.0
Bomber,Bomber,Fire,Male,6.0,MF,190.0,90.0,80.0,80.0,80.0,80.0,80.0,Catch +2/Body +2,2.0
Guel ,Gaeiel,Wind,Female,11.0,FW,170.0,90.0,80.0,80.0,80.0,110.0,80.0,Control +4,2.0
Sein ,Sael,Wood,Male,11.0,FW,180.0,90.0,80.0,100.0,80.0,100.0,80.0,Guard +4,2.0
Demete Yutaka (Neo Japan),Jonas Demetrius (Neo Japon),Fire,Male,9.0,FW,180.0,90.0,80.0,90.0,80.0,80.0,90.0,Catch +2/Body +2,2.0
Ichinose Kazuya (Mondial Selection),Erik Eagle (Mondial Selection),Wood,Male,10.0,MF,180.0,100.0,80.0,90.0,80.0,80.0,90.0,Kick +2/Control +2,2.0
Coyote ,Avinash Chowhury,Wind,Male,10.0,FW,190.0,100.0,80.0,80.0,80.0,80.0,90.0,Catch +2/Control +2,2.0
Gojou Masaru (Teikoku),Gus Martin (Royal Academy),Wood,Male,2.0,DF,170.0,80.0,80.0,90.0,80.0,80.0,80.0,Catch +2/Speed +2,2.0
Ottorino Nobili ,Ottorino Nobili,Wood,Male,17.0,DF,180.0,70.0,80.0,70.0,80.0,70.0,110.0,Body +2/Guard +2,2.0
Kazemaru Ichirouta (Raimon 1),Nathan Swift (Raimon 1),Wind,Male,1.0,DF,170.0,80.0,80.0,80.0,80.0,110.0,60.0,Speed +4,2.0
Otonashi Haruna ,Celia Hills,Wind,Female,13.0,MF,180.0,70.0,80.0,100.0,80.0,100.0,60.0,Body +2/Speed +2,2.0
Matsuno Kuusuke (Raimon 1),Maxwell Carson (Raimon 1),Wind,Male,1.0,FW,180.0,80.0,80.0,90.0,80.0,80.0,70.0,Kick +2/Guard +2,2.0
Mukata Tsutomu ,Tyler Murdock,Earth,Male,9.0,FW,170.0,90.0,80.0,100.0,80.0,80.0,70.0,Body +2/Control +2,2.0
Miyasaka Ryou ,Miles Ryan,Wind,Male,88.0,DF,180.0,80.0,80.0,80.0,80.0,110.0,70.0,Catch +2/Speed +2,2.0
Kurimatsu Teppei (Raimon 1),Tod Ironside (Raimon 1),Fire,Male,1.0,DF,170.0,80.0,80.0,70.0,80.0,90.0,80.0,Body +2/Control +2,2.0
Tsunami Jousuke (Raimon 2),Hurley Kane (Raimon 2),Wind,Male,4.0,DF,180.0,90.0,80.0,60.0,80.0,80.0,80.0,Kick +2/Catch +2,2.0
Quill,Kiwill,Wood,Female,5.0,MF,170.0,80.0,80.0,90.0,80.0,90.0,80.0,Control +2/Speed +2,2.0
Pandora,Pandora,Wind,Female,5.0,MF,160.0,80.0,80.0,90.0,80.0,80.0,80.0,Catch +2/Speed +2,2.0
Araya Konko ,Kerry Bootgaiter,Wind,Female,13.0,MF,150.0,70.0,80.0,80.0,80.0,80.0,90.0,Body +2/Control +2,2.0
Hyoudou Tsukasa ,Alessandro il Grande,Earth,Male,21.0,GK,180.0,80.0,80.0,90.0,80.0,80.0,100.0,Catch +4,3.0
Midou Reika ,Lily Willow,Wood,Female,13.0,FW,150.0,90.0,80.0,90.0,80.0,70.0,80.0,Kick +2/Catch +2,2.0
Daniele Sanctis ,Daniele Sanctis,Fire,Male,17.0,GK,190.0,70.0,80.0,70.0,80.0,80.0,100.0,Catch +4,2.0
Sorano Aoi ,Skie Blue,Wood,Female,89.0,GK,180.0,80.0,80.0,90.0,80.0,80.0,110.0,Catch +4,2.0
Kageno Jin (Raimon 1),Jim Wraith (Raimon 1),Wood,Male,1.0,DF,160.0,80.0,80.0,90.0,90.0,70.0,70.0,Catch +2/Control +2,2.0
Barra,Baller,Wood,Female,6.0,DF,170.0,70.0,80.0,80.0,90.0,90.0,70.0,Guard +2/Speed +2,2.0
Hepai En ,Jeff Iron,Fire,Male,3.0,DF,150.0,80.0,80.0,90.0,90.0,80.0,80.0,Body +2/Speed +2,2.0
Kogure Yuuya (Raimon 2),Scott Banyan (Raimon 2),Wood,Male,4.0,DF,170.0,70.0,80.0,80.0,90.0,90.0,80.0,Guard +2/Speed +2,2.0
Kiyama Hiroto ,Xavier Foster,Fire,Male,8.0,FW,180.0,110.0,80.0,90.0,90.0,90.0,80.0,Kick +2/Control +2,2.0
Gouin Takeshi ,Argie Bargie,Wood,Male,9.0,DF,200.0,80.0,80.0,70.0,90.0,80.0,80.0,Kick +2/Catch +2,2.0
Oono Densuke ,Peter Drent,Earth,Male,2.0,DF,180.0,80.0,80.0,80.0,90.0,60.0,90.0,Catch +4,2.0
Banjou Kazumichi ,Ben Simmons,Wood,Male,2.0,DF,170.0,80.0,80.0,80.0,90.0,80.0,90.0,Catch +2/Guard +2,2.0
Kageno Jin (Dark Emperors),Jim Wraith (Empereurs Noirs),Wood,Male,7.0,DF,170.0,80.0,80.0,100.0,90.0,70.0,90.0,Catch +2/Guard +2,2.0
Segata Ryuuichirou ,Zeke Valanche,Wind,Male,9.0,FW,180.0,80.0,80.0,60.0,90.0,80.0,90.0,Control +2/Speed +2,2.0
Bjorn Kyle ,Bilal Kalil,Wood,Male,10.0,DF,170.0,80.0,80.0,90.0,90.0,90.0,90.0,Catch +2/Speed +2,2.0
Lagarto Carlos ,Carlos Lagarto,Wood,Male,10.0,DF,170.0,70.0,80.0,80.0,90.0,80.0,90.0,Catch +2/Body +2,2.0
Endou Canon/Kanon,Canon Evans,Wind,Male,88.0,FW,180.0,100.0,80.0,80.0,90.0,80.0,90.0,Catch +2/Control +2,2.0
Shinsuke x Bei ,J.P. x Bei,Earth,Male,102.0,GK,160.0,60.0,80.0,90.0,90.0,90.0,100.0,Speed +4,2.0
Kirino x Jeanne ,Gabi x Jeanne,Wood,Male,102.0,DF,180.0,70.0,80.0,100.0,90.0,90.0,70.0,Guard +4,2.0
Burn,Torch,Fire,Male,6.0,FW,170.0,100.0,80.0,80.0,90.0,80.0,90.0,Kick +2/Body +2,2.0
Nishigaki Mamoru (Dark Emperors),Malcolm Night (Empereurs Noirs),Fire,Male,7.0,DF,160.0,80.0,80.0,80.0,90.0,90.0,90.0,Kick +2/Catch +2,2.0
Nishizono Shinsuke ,Jean-Pierre Lapin,Earth,Male,14.0,GK,160.0,60.0,80.0,90.0,90.0,90.0,100.0,Speed +4,3.0
Kirino Ranmaru ,Gabriel Garcia,Wood,Male,14.0,DF,180.0,70.0,80.0,100.0,90.0,90.0,70.0,Guard +4,3.0
Matoro Juka ,Joaquine Downtown,Fire,Female,13.0,DF,160.0,80.0,80.0,90.0,90.0,80.0,80.0,Catch +2/Speed +2,2.0
Kushida Katsuyo ,Esther Greenland,Fire,Female,13.0,DF,170.0,80.0,80.0,80.0,90.0,80.0,80.0,Catch +4,2.0
Torahama Kouko ,Alexia Sand,Wood,Female,13.0,DF,160.0,80.0,80.0,80.0,90.0,80.0,80.0,Body +2/Speed +2,2.0
Genda Koujirou (Teikoku),Joseph King (Royal Academy),Fire,Male,2.0,GK,180.0,80.0,80.0,80.0,90.0,70.0,90.0,Body +2/Control +2,2.0
Endou Mamoru (Raimon 2),Mark Evans (Raimon 2),Earth,Male,4.0,GK,180.0,80.0,80.0,90.0,90.0,60.0,90.0,Kick +2/Guard +2,3.0
Senguuji Yamato ,Quentin Cinquedea,Fire,Male,22.0,GK,180.0,80.0,80.0,90.0,90.0,90.0,110.0,Kick +2/Catch +2,3.0
Shuten ,Eka,Wind,Male,23.0,GK,170.0,80.0,80.0,90.0,90.0,90.0,110.0,Catch +2/Body +2,2.0
Tachimukai Yuuki (Raimon 2),Darren LaChance (Raimon 2),Wood,Male,4.0,GK,170.0,80.0,80.0,90.0,90.0,70.0,90.0,Guard +2/Control +2,2.0
Grent,Grent,Fire,Male,6.0,GK,160.0,80.0,80.0,80.0,90.0,60.0,100.0,Body +2/Guard +2,2.0
Fox ,Cyril Fox,Earth,Male,10.0,GK,180.0,70.0,80.0,80.0,90.0,90.0,100.0,Kick +2/Guard +2,2.0
Endou Mamoru (Raimon 1),Mark Evans (Raimon 1),Earth,Male,1.0,GK,180.0,70.0,80.0,70.0,90.0,60.0,110.0,Body +2/Guard +2,3.0
Nero,Nero,Wind,Male,5.0,GK,180.0,60.0,80.0,90.0,90.0,80.0,110.0,Body +2/Control +2,2.0
Matchos ,Balèze,Wood,Male,19.0,GK,160.0,90.0,80.0,90.0,90.0,80.0,110.0,Body +2/Guard +2,2.0
Shinoyama Mitsuru (NEW),Aum Nirvana (NOUVEAU),Wind,Male,22.0,GK,180.0,70.0,80.0,80.0,90.0,80.0,110.0,Body +2/Guard +2,2.0
Miyabino Reiichi ,Preston Princeton,Wood,Male,89.0,GK,190.0,80.0,80.0,90.0,90.0,90.0,110.0,Catch +4,2.0
Kino Aki ,Silvia,Earth,Female,13.0,GK,150.0,60.0,80.0,90.0,90.0,70.0,110.0,Kick +2/Control +2,2.0
Fubuki Shirou (Inazuma Japan),Shawn Froste (Inazuma Japon),Wind,Male,8.0,FW,180.0,100.0,80.0,90.0,100.0,110.0,60.0,Kick +2/Guard +2,2.0
Amagi Daichi ,Wanli Changcheng,Earth,Male,14.0,DF,160.0,70.0,80.0,90.0,100.0,70.0,70.0,Catch +2/Guard +2,2.0
Narukami Kenya (Neo Japan),Alan Master (Neo Japon),Wind,Male,9.0,MF,170.0,80.0,80.0,80.0,100.0,90.0,80.0,Catch +2/Speed +2,2.0
Nenel ,Nenel,Fire,Male,11.0,DF,180.0,80.0,80.0,80.0,100.0,90.0,90.0,Catch +2/Control +2,2.0
Giuseppe Cannavaro ,Giuseppe Cannavaro,Wind,Male,17.0,DF,180.0,70.0,80.0,90.0,100.0,70.0,90.0,Guard +2/Speed +2,2.0
Wally ,Futé,Wood,Male,19.0,DF,140.0,90.0,80.0,90.0,100.0,70.0,90.0,Catch +2/Guard +2,2.0
Deboon ,Trapu,Wood,Male,19.0,DF,130.0,90.0,80.0,90.0,100.0,80.0,90.0,Guard +2/Control +2,2.0
Gaura ,Golf,Wind,Male,20.0,DF,150.0,90.0,80.0,80.0,100.0,80.0,90.0,Catch +2/Guard +2,2.0
Genda Koujirou (Neo Japan),Joseph King (Neo Japon),Fire,Male,9.0,GK,180.0,80.0,80.0,90.0,100.0,70.0,100.0,Control +2/Speed +2,2.0
Domon Asuka (Mondial Selection),Bobby Shearer (Mondial Selection),Wood,Male,10.0,DF,180.0,80.0,80.0,90.0,100.0,80.0,90.0,Guard +2/Control +2,2.0
Bubo Torangas ,Bump Trungus,Wind,Male,12.0,DF,180.0,80.0,80.0,80.0,100.0,80.0,90.0,Kick +2/Catch +2,2.0
Vento Gagliano ,Vento Galliano,Wind,Male,17.0,DF,170.0,70.0,80.0,70.0,100.0,100.0,90.0,Body +2/Speed +2,2.0
Tobitaka Seiya ,Archer Hawkins,Wind,Male,8.0,DF,180.0,100.0,80.0,80.0,100.0,80.0,70.0,Catch +2/Guard +2,2.0
Jimon Daiki (Neo Japan),Daniel Hatch (Neo Japon),Wood,Male,9.0,FW,160.0,90.0,80.0,80.0,100.0,80.0,90.0,Kick +2/Speed +2,2.0
Shinti Hanpa ,Quint Hampton,Wind,Male,16.0,MF,160.0,80.0,80.0,80.0,100.0,80.0,90.0,Catch +2/Body +2,2.0
Astaroth ,Astaroth,Fire,Male,11.0,GK,190.0,90.0,80.0,70.0,100.0,80.0,100.0,Guard +2/Speed +2,2.0
Sugimori Takeshi (Mikage Sennou),Feldt (Cybertech),Wood,Male,88.0,GK,190.0,70.0,80.0,70.0,100.0,70.0,100.0,Body +2/Guard +2,2.0
Tachimukai Yuuki (Inazuma Japan),Darren LaChance (Inazuma Japon),Wood,Male,8.0,GK,180.0,80.0,80.0,90.0,100.0,70.0,110.0,Guard +2/Speed +2,2.0
Endou Mamoru (ILJ),Mark Evans (ILJ),Earth,Male,18.0,GK,190.0,80.0,80.0,110.0,100.0,90.0,110.0,Guard +2/Speed +2,2.0
Lotus ,Lotus,Earth,Male,24.0,GK,170.0,70.0,80.0,100.0,100.0,90.0,110.0,Guard +2/Control +2,2.0
IC,Icer,Wind,Female,5.0,MF,170.0,80.0,80.0,80.0,110.0,90.0,70.0,Body +2/Guard +2,2.0
Kiya Kouji ,Blake Obscura,Wood,Male,15.0,DF,200.0,80.0,80.0,110.0,110.0,90.0,70.0,Guard +2/Control +2,2.0
Gojou Masaru (ZERO),Gus Martin (ZERO),Wood,Male,89.0,DF,190.0,80.0,80.0,90.0,110.0,80.0,80.0,Guard +2/Speed +2,2.0
Oogu ,Catvari,Earth,Male,23.0,DF,150.0,90.0,80.0,80.0,110.0,80.0,90.0,Kick +2/Guard +2,2.0
Yasha ,Tyrah,Fire,Female,23.0,DF,170.0,80.0,80.0,90.0,110.0,100.0,90.0,Speed +4,2.0
Chuuri ,Tulipe,Earth,Female,24.0,DF,180.0,80.0,80.0,90.0,110.0,100.0,90.0,Guard +2/Control +2,2.0
Teres Tolue ,Thiago Torres,Fire,Male,10.0,DF,180.0,70.0,80.0,90.0,110.0,70.0,100.0,Catch +4,2.0
Zagomel Zande ,Lars Luceafar,Earth,Male,12.0,GK,200.0,80.0,80.0,70.0,110.0,80.0,110.0,Guard +2/Control +2,2.0
Anton Gattuso ,Anton Grazioso,Fire,Male,17.0,DF,170.0,70.0,80.0,80.0,110.0,80.0,80.0,Body +2/Control +2,2.0
Ejima Kazuya ,Dwight Whittaker,Earth,Male,15.0,DF,160.0,80.0,80.0,90.0,110.0,70.0,90.0,Catch +2/Body +2,2.0
Kabeyama Heigorou (ILJ),Jack Wallside (ILJ),Earth,Male,18.0,DF,160.0,80.0,80.0,90.0,110.0,70.0,90.0,Kick +2/Guard +2,2.0
Maagaru ,Aloes,Fire,Male,24.0,DF,170.0,80.0,80.0,100.0,110.0,100.0,90.0,Kick +2/Body +2,2.0
Mokuren ,Magnolia,Wood,Male,24.0,DF,160.0,80.0,80.0,90.0,110.0,100.0,90.0,Guard +4,2.0
Kudou Fuyuka ,Camellia Travis,Wood,Female,13.0,DF,160.0,60.0,80.0,80.0,110.0,80.0,90.0,Catch +2/Guard +2,2.0
Kidou Yuuto (Raimon 2),Jude Sharp (Raimon 2),Wind,Male,4.0,MF,180.0,80.0,90.0,90.0,60.0,90.0,80.0,Guard +2/Control +2,2.0
Raimon Natsumi ,Nelly Raimon,Fire,Female,13.0,FW,170.0,110.0,90.0,90.0,60.0,80.0,80.0,Kick +4,2.0
Sakuma Jirou (Shin Teikoku),David Samford (Nouv. Royal Academy),Wood,Male,88.0,FW,180.0,100.0,90.0,90.0,60.0,90.0,80.0,Kick +2/Body +2,2.0
Afuro Terumi (Zeus),Byron Love (Zeus),Wood,Male,3.0,MF,160.0,100.0,90.0,90.0,70.0,80.0,60.0,Control +4,2.0
Fubuki Shirou (Atsuya - Raimon 2),Shawn Froste (Aiden - Raimon 2),Wind,Male,4.0,FW,170.0,90.0,90.0,70.0,70.0,110.0,60.0,Kick +4,2.0
Gouenji Shuuya (Raimon 2),Axel Blaze (Raimon 2),Fire,Male,4.0,FW,180.0,100.0,90.0,90.0,70.0,80.0,70.0,Kick +2/Control +2,2.0
Dylan Keith ,Dylan Keats,Fire,Male,10.0,FW,180.0,110.0,90.0,80.0,70.0,90.0,80.0,Kick +4,2.0
Drago Hill ,Drago Hill,Wood,Male,16.0,FW,170.0,100.0,90.0,90.0,70.0,70.0,80.0,Kick +2/Body +2,2.0
Satanathos ,Thanatos,Wood,Male,11.0,FW,180.0,90.0,90.0,90.0,70.0,80.0,90.0,Catch +2/Guard +2,2.0
Fei x Tyrano ,Fey x Tyrano,Wood,Male,19.0,FW,170.0,100.0,90.0,90.0,70.0,100.0,90.0,Kick +2/Speed +2,2.0
Fei x Big ,Fei x Big,Wood,Male,102.0,FW,170.0,100.0,90.0,90.0,70.0,100.0,90.0,Kick +2/Speed +2,2.0
Edgar Valtinas ,Edgar Partinus,Wood,Male,10.0,FW,180.0,110.0,90.0,80.0,70.0,80.0,80.0,Kick +2/Control +2,2.0
Fei Rune ,Fei Rune,Wood,Male,19.0,FW,170.0,100.0,90.0,90.0,70.0,100.0,90.0,Kick +2/Speed +2,3.0
Gouenji Shuuya (Raimon 1),Axel Blaze (Raimon 1),Fire,Male,1.0,FW,170.0,90.0,90.0,80.0,70.0,70.0,50.0,Kick +2/Body +2,3.0
Hayami Tsurumasa ,Eugène Peabody,Wind,Male,14.0,MF,170.0,70.0,90.0,80.0,70.0,100.0,60.0,Control +2/Speed +2,2.0
Kidou Yuuto (Teikoku),Jude Sharp (Royal Academy),Wind,Male,2.0,MF,170.0,70.0,90.0,90.0,70.0,90.0,70.0,Kick +2/Control +2,2.0
Sakiyama Shuuji ,John Bloom,Fire,Male,2.0,MF,170.0,70.0,90.0,90.0,70.0,90.0,80.0,Kick +2/Speed +2,2.0
Kirigakure Saiji ,Sail Bluesea,Fire,Male,9.0,FW,170.0,70.0,90.0,100.0,70.0,90.0,80.0,Speed +4,2.0
Tateno Mai ,Marge Fielding,Wind,Female,13.0,MF,180.0,80.0,90.0,80.0,70.0,90.0,80.0,Catch +2/Control +2,2.0
Yumu Rinji ,Yasir Haddad,Wood,Male,16.0,MF,170.0,80.0,90.0,90.0,70.0,70.0,80.0,Control +2/Speed +2,2.0
Crypto,Krypto,Wind,Female,5.0,MF,160.0,80.0,90.0,80.0,80.0,80.0,60.0,Guard +2/Speed +2,2.0
Kazemaru Ichirouta (Inazuma Japan),Nathan Swift (Inazuma Japon),Wind,Male,8.0,DF,180.0,90.0,90.0,90.0,80.0,110.0,60.0,Control +2/Speed +2,2.0
Demonio Strada ,Julio Acuto,Fire,Male,10.0,MF,170.0,90.0,90.0,100.0,80.0,90.0,60.0,Catch +2/Speed +2,2.0
Namikawa Rensuke ,Davy Jones,Wind,Male,22.0,FW,170.0,100.0,90.0,100.0,80.0,90.0,60.0,Kick +2/Control +2,3.0
Keeve,Kiburn,Fire,Female,5.0,DF,170.0,80.0,90.0,100.0,80.0,80.0,70.0,Body +2/Control +2,2.0
