personaje,pos_DS,version_DS,ATT_DS,CTL_DS,DEF_DS,pos_STR,version_STR,ATT_STR,CTL_STR,DEF_STR
Celia Hills,MC,IE3 Special Players,52,62,53,MC,Celia Hills,63,76,57
Clear,DF,IE2 The Chaos,55,62,74,DF,Clear,53,65,73
Daisy Fields,PR,IE2 Triple C,32,39,66,PR,Daisy Fields,32,42,86
Daniel Hatch,DL,IE1 Royal Academy,73,76,50,DL,Daniel Hatch (Neo Japon),71,67,61
Danny Wood,DF,IE2 Zeus,50,59,72,DF,Danny Wood,61,59,81
Darren Lachance,PR,IE2 Fauxshore,32,41,76,PR,Darren LaChance (Inazuma Japon),41,40,87
David Samford,DL,IE2 Royal Academy,70,72,51,DL,David Samford (ILJ),86,84,56
Derek Swing,MC,IE1 Royal Academy,71,64,54,MC,Derek Swing,70,79,57
Diam,DL,IE2 Gemini Storm,75,69,46,DL,Diam,79,68,36
Dora Delight,MC,IE2 Mary Times Memorial,59,56,49,MC,Dora Delight,65,67,73
Droll,MC,IE2 The Chaos,76,72,61,MC,Droll,68,76,64
Erik Eagle,MC,IE1 Special Scouting,79,65,57,MC,Erik Eagle (Mondial Selection),83,69,57
Esther Greenland,DF,IE2 Triple C,50,61,57,DF,Esther Greenland,57,59,70
Feldt,PR,IE1 Brainwashing,39,42,74,PR,Feldt (Empereurs Noirs),44,41,73
Ganymede,DF,IE2 Gemini Storm,51,63,58,DF,Ganymede,54,59,78
Gazelle,DL,IE2 The Chaos,77,84,59,DL,Gazelle,66,78,49
Gocker,DF,IE2 The Chaos,62,63,67,DF,Gocker,57,59,70
Grent,PR,IE2 The Chaos,40,40,74,PR,Grent,40,38,79
Gus Martin,DF,IE1 Royal Academy,60,63,66,DF,Gus Martin (ZERO),59,62,87
Heat,MC,IE2 The Chaos,72,76,56,MC,Heat,67,76,57
Hellen Hearth,DF,IE2 Triple C,49,51,54,DF,Hellen Hearth,59,59,70
Henry House,MC,IE2 Zeus,51,65,58,MC,Henry House (Neo Japon),70,74,71
Herman Waldon,MC,IE1 Royal Academy,76,68,66,MC,Herman Waldon,75,84,59
Hurley Kane,DF,IE2 Mary Times Memorial,57,66,70,DF,Hurley Kane (ILJ),70,67,87
Icer,MC,IE2 Diamond Dust,59,67,53,MC,Icer,67,70,80
Jack Wallside,DF,IE1 Raimon,49,58,62,DF,Jack Wallside (ILJ),60,59,87
Janus,MC,IE2 Gemini Storm,66,67,55,MC,Janus,68,74,57
Jeff Iron,DF,IE2 Zeus,50,64,67,DF,Jeff Iron,59,62,70
Jim Wraith,DF,IE2 Dark Emperors,58,72,87,DF,Jim Wraith (Empereurs Noirs),60,61,72
Joaquine Downtown,DF,IE2 Alpine,47,55,58,DF,Joaquine Downtown,59,62,70
John Bloom,MC,IE1 Royal Academy,62,70,59,MC,John Bloom,63,76,50
Jonas Demetrius,DL,IE2 Zeus,76,74,45,DL,Jonas Demetrius (Neo Japon),72,70,49
Jordan Greenway,MC,IE3 Inazuma Japan,65,67,52,MC,Jordan Greenway (Inazuma Japon),70,81,64
Joseph King,PR,IE2 Royal Academy Redux,37,41,70,PR,Joseph King (Nouv. Royal Academy),41,38,87
Jude Sharp,MC,IE1 Raimon,66,78,68,MC,Jude Sharp (ILJ),85,89,64
Kerry Bootgaiter,MC,IE2 Alpine,62,60,53,MC,Kerry Bootgaiter,60,68,57
Kevin Dragonfly,DL,IE2 Dark Emperors,89,76,57,DL,Kevin Dragonfly (ILJ),88,82,49
Kiburn,DF,IE2 The Genesis,47,62,56,DF,Kiburn,60,68,62
Kiwill,MC,IE2 The Genesis,58,63,52,MC,Kiwill,69,72,57
Krypto,MC,IE2 Epsilon,60,69,50,MC,Krypto,67,71,59
Lane War,DF,IE2 Zeus,56,66,68,DF,Lane War,57,61,70
Lily Willow,DL,IE2 Triple C,65,65,47,DL,Lily Willow,73,67,49
Lump Trungus,DF,IE3 Ogre,39,59,68,DF,Lump Trungus,59,66,70
Malcolm Night,DF,IE2 Dark Emperors,69,75,89,DF,Malcolm Night (Kirkwood),57,65,70
Marge Fielding,MC,IE2 Secret Service,61,62,49,MC,Marge Fielding,67,74,50
Mark Evans,PR,IE1 Raimon,38,42,75,PR,Mark Evans (ILJ),43,45,87
Mark Hillvalley,DF,IE2 Farm,34,53,71,DF,Mark Hillvalley,62,50,86
Maxwell Carson,MC,IE2 Dark Emperors,77,89,72,MC,Maxwell Carson (Empereurs Noirs),65,76,64
Mercury,DL,IE2 Epsilon,67,67,40,DL,Mercury,73,71,43
Metron,DL,IE2 Epsilon,69,69,48,DL,Metron,73,71,44
Miles Ryan,DF,IE1 Special Scouting,47,51,64,DF,Miles Ryan,57,65,62
Nathan Swift,DL,IE2 Dark Emperors,89,87,56,DF,Nathan Swift (ILJ),66,74,86
Neil Turner,DL,IE2 Brainwashing,48,52,38,DL,Neil Turner,79,74,49
Nelly Raimon,DL,IE3 Special Players,67,64,41,DL,Nelly Raimon,87,73,36
Neppten,DL,IE2 The Chaos,69,82,53,DL,Neppten,74,82,49
Nero,PR,IE2 The Genesis,39,38,62,PR,Nero,33,42,85
Pandora,MC,IE2 Gemini Storm,62,66,51,MC,Pandora,68,69,57
Paul Peabody,DF,IE1 Special Scouting,52,65,68,DF,Paul Peabody,51,56,70
Paul Siddon,PR,IE2 Zeus,41,41,77,PR,Paul Siddon,40,37,81
Peter Drent,DF,IE1 Royal Academy,56,51,62,DF,Peter Drent,57,56,70
Rhine,MC,IE2 The Chaos,71,76,57,MC,Rhine,60,81,64
Rihm,DL,IE2 Gemini Storm,60,70,47,DL,Rihm,70,68,36
Sail Bluesea,DL,IE2 Shuriken,53,65,42,DL,Sail Bluesea,61,78,43
Sam Kincaid,MC,IE2 Dark Emperors,77,72,78,MC,Sam Kincaid (Empereurs Noirs),74,72,57
Scott Banyan,DF,IE3 Inazuma Japan,37,55,61,DF,Scott Banyan (Inazuma Japon),59,69,80
Shawn Froste,DL,IE3 Inazuma Japan,61,72,45,DL,Shawn Froste (ILJ),89,81,62
Steve Grim,MC,IE2 Dark Emperors,86,85,68,MC,Steve Grim (Empereurs Noirs),75,76,59
Sue Sparrow,MC,IE2 Royal Academy Redux,59,63,49,MC,Sue Sparrow,70,77,57
Suzette Hartland,DL,IE2 Triple C,63,72,47,DL,Suzette Hartland,67,73,49
Syon Blaze,DL,IE2 Special Players,70,72,51,DL,Syon Blaze,87,71,50
Thor Stoutberg,DL,IE2 Special Players,70,70,55,MC,Thor Stoutberg,73,74,64
Tim Saunders,MC,IE2 Dark Emperors,81,78,80,MC,Tim Saunders (Empereurs Noirs),67,76,73
Tod Ironside,MC,IE2 Dark Emperors,82,80,69,MC,Tod Ironside (Empereurs Noirs),68,74,57
Torch,DL,IE2 The Chaos,75,83,55,DL,Torch,78,68,55
Tyler Murdock,DL,IE1 Kirkwood,75,69,43,DL,Tyler Murdock,74,72,49
Victoria Vanguard,MC,IE2 Secret Service,71,67,60,MC,Victoria Vanguard,71,78,64
Wesley Knox,MC,IE2 Zeus,63,72,57,MC,Wesley Knox,60,74,57
Xavier Foster,DL,IE3 Inazuma Japan,69,70,44,DL,Xavier Foster (ILJ),86,84,55
Xene,DL,IE2 The Genesis,76,79,49,DL,Xene,78,75,49
