Name (JPN romaji),Name (FR),posicion,Element,ATT,CTL,DEF,Kick,Body,Control,Guard,Speed,Catch
Miyasaka Ryou ,Miles Ryan,DF,Wind,57,65,62,80.0,80.0,80.0,80.0,112.0,72.0
Kurimatsu Teppei (Raimon 1),Tod Ironside (Raimon 1),DF,Fire,56,61,62,80.0,82.0,72.0,80.0,90.0,80.0
Tsunami Jousuke (Raimon 2),Hurley Kane (Raimon 2),DF,Wind,61,56,62,92.0,80.0,60.0,80.0,80.0,82.0
Quill,Kiwill,MC,Wood,69,72,57,80.0,80.0,92.0,80.0,92.0,80.0
Pandora,Pandora,MC,Wind,68,69,57,80.0,80.0,90.0,80.0,82.0,82.0
Araya Konko ,Kerry Bootgaiter,MC,Wind,60,68,57,70.0,82.0,82.0,80.0,80.0,90.0
Hyoudou Tsukasa ,Alessandro il Grande,PR,Earth,41,41,80,80.0,80.0,90.0,80.0,80.0,104.0
Midou Reika ,Lily Willow,DL,Wood,73,67,49,92.0,80.0,90.0,80.0,70.0,82.0
Daniele Sanctis ,Daniele Sanctis,PR,Fire,35,39,80,70.0,80.0,70.0,80.0,80.0,104.0
Sorano Aoi ,Skie Blue,PR,Wood,41,41,86,80.0,80.0,90.0,80.0,80.0,114.0
Kageno Jin (Raimon 1),Jim Wraith (Raimon 1),DF,Wood,59,60,70,80.0,80.0,92.0,90.0,70.0,72.0
Barra,Baller,DF,Wood,51,62,72,70.0,80.0,80.0,92.0,92.0,70.0
Hepai En ,Jeff Iron,DF,Fire,59,62,70,80.0,82.0,90.0,90.0,82.0,80.0
Kogure Yuuya (Raimon 2),Scott Banyan (Raimon 2),DF,Wood,51,62,72,70.0,80.0,80.0,92.0,92.0,80.0
Kiyama Hiroto ,Xavier Foster,DL,Fire,86,71,55,112.0,80.0,92.0,90.0,90.0,80.0
Gouin Takeshi ,Argie Bargie,DF,Wood,57,58,70,82.0,80.0,70.0,90.0,80.0,82.0
Oono Densuke ,Peter Drent,DF,Earth,57,56,70,80.0,80.0,80.0,90.0,60.0,94.0
Banjou Kazumichi ,Ben Simmons,DF,Wood,57,59,72,80.0,80.0,80.0,92.0,80.0,92.0
Kageno Jin (Dark Emperors),Jim Wraith (Empereurs Noirs),DF,Wood,60,61,72,80.0,80.0,100.0,92.0,70.0,92.0
Segata Ryuuichirou ,Zeke Valanche,DL,Wind,61,63,55,80.0,80.0,62.0,90.0,82.0,90.0
Bjorn Kyle ,Bilal Kalil,DF,Wood,59,63,70,80.0,80.0,90.0,90.0,92.0,92.0
Lagarto Carlos ,Carlos Lagarto,DF,Wood,51,60,70,70.0,82.0,80.0,90.0,80.0,92.0
Endou Canon/Kanon,Canon Evans,DL,Wind,77,67,55,100.0,80.0,82.0,90.0,80.0,92.0
Shinsuke x Bei ,J.P. x Bei,PR,Earth,33,43,79,60.0,80.0,90.0,90.0,94.0,100.0
Kirino x Jeanne ,Gabi x Jeanne,DF,Wood,54,65,73,70.0,80.0,100.0,94.0,90.0,70.0
Burn,Torch,DL,Fire,78,68,55,102.0,82.0,80.0,90.0,80.0,90.0
Nishigaki Mamoru (Dark Emperors),Malcolm Night (Empereurs Noirs),DF,Fire,58,61,70,82.0,80.0,80.0,90.0,90.0,92.0
Nishizono Shinsuke ,Jean-Pierre Lapin,PR,Earth,33,43,79,60.0,80.0,90.0,90.0,94.0,100.0
Kirino Ranmaru ,Gabriel Garcia,DF,Wood,54,65,73,70.0,80.0,100.0,94.0,90.0,70.0
Matoro Juka ,Joaquine Downtown,DF,Fire,59,62,70,80.0,80.0,90.0,90.0,82.0,82.0
Kushida Katsuyo ,Esther Greenland,DF,Fire,57,59,70,80.0,80.0,80.0,90.0,80.0,84.0
Torahama Kouko ,Alexia Sand,DF,Wood,57,61,70,80.0,82.0,80.0,90.0,82.0,80.0
Genda Koujirou (Teikoku),Joseph King (Royal Academy),PR,Fire,40,39,73,80.0,82.0,82.0,90.0,70.0,90.0
Endou Mamoru (Raimon 2),Mark Evans (Raimon 2),PR,Earth,42,39,73,82.0,80.0,90.0,92.0,60.0,90.0
Senguuji Yamato ,Quentin Cinquedea,PR,Fire,42,42,87,82.0,80.0,90.0,90.0,90.0,112.0
Shuten ,Eka,PR,Wind,41,43,87,80.0,82.0,90.0,90.0,90.0,112.0
Tachimukai Yuuki (Raimon 2),Darren LaChance (Raimon 2),PR,Wood,41,40,73,80.0,80.0,92.0,92.0,70.0,90.0
Grent,Grent,PR,Fire,40,38,79,80.0,82.0,80.0,92.0,60.0,100.0
Fox ,Cyril Fox,PR,Earth,37,41,79,72.0,80.0,80.0,92.0,90.0,100.0
Endou Mamoru (Raimon 1),Mark Evans (Raimon 1),PR,Earth,35,37,86,70.0,82.0,70.0,92.0,60.0,110.0
Nero,Nero,PR,Wind,33,42,85,60.0,82.0,92.0,90.0,80.0,110.0
Matchos ,Balèze,PR,Wood,45,42,86,90.0,82.0,90.0,92.0,80.0,110.0
Shinoyama Mitsuru (NEW),Aum Nirvana (NOUVEAU),PR,Wind,36,40,86,70.0,82.0,80.0,92.0,80.0,110.0
Miyabino Reiichi ,Preston Princeton,PR,Wood,41,42,88,80.0,80.0,90.0,90.0,90.0,114.0
Kino Aki ,Silvia,PR,Earth,34,40,85,62.0,80.0,92.0,90.0,70.0,110.0
Fubuki Shirou (Inazuma Japan),Shawn Froste (Inazuma Japon),DL,Wind,79,75,62,102.0,80.0,90.0,102.0,110.0,60.0
Amagi Daichi ,Wanli Changcheng,DF,Earth,53,59,80,70.0,80.0,90.0,102.0,70.0,72.0
Narukami Kenya (Neo Japan),Alan Master (Neo Japon),MC,Wind,67,69,71,80.0,80.0,80.0,100.0,92.0,82.0
Nenel ,Nenel,DF,Fire,57,62,78,80.0,80.0,82.0,100.0,90.0,92.0
Giuseppe Cannavaro ,Giuseppe Cannavaro,DF,Wind,53,60,80,70.0,80.0,90.0,102.0,72.0,90.0
Wally ,Futé,DF,Wood,64,59,80,90.0,80.0,90.0,102.0,70.0,92.0
Deboon ,Trapu,DF,Wood,65,62,80,90.0,80.0,92.0,102.0,80.0,90.0
Gaura ,Golf,DF,Wind,63,59,80,90.0,80.0,80.0,102.0,80.0,92.0
Genda Koujirou (Neo Japan),Joseph King (Neo Japon),PR,Fire,41,40,81,80.0,80.0,92.0,100.0,72.0,100.0
Domon Asuka (Mondial Selection),Bobby Shearer (Mondial Selection),DF,Wood,59,62,80,80.0,80.0,92.0,102.0,80.0,90.0
Bubo Torangas ,Bump Trungus,DF,Wind,58,59,78,82.0,80.0,80.0,100.0,80.0,92.0
Vento Gagliano ,Vento Galliano,DF,Wind,50,62,78,70.0,82.0,70.0,100.0,102.0,90.0
Tobitaka Seiya ,Archer Hawkins,DF,Wind,69,59,80,100.0,80.0,80.0,102.0,80.0,72.0
Jimon Daiki (Neo Japan),Daniel Hatch (Neo Japon),DL,Wood,71,67,61,92.0,80.0,80.0,100.0,82.0,90.0
Shinti Hanpa ,Quint Hampton,MC,Wind,67,68,71,80.0,82.0,80.0,100.0,80.0,92.0
Astaroth ,Astaroth,PR,Fire,43,39,81,90.0,80.0,70.0,102.0,82.0,100.0
Sugimori Takeshi (Mikage Sennou),Feldt (Cybertech),PR,Wood,35,38,81,70.0,82.0,70.0,102.0,70.0,100.0
Tachimukai Yuuki (Inazuma Japan),Darren LaChance (Inazuma Japon),PR,Wood,41,40,87,80.0,80.0,90.0,102.0,72.0,110.0
Endou Mamoru (ILJ),Mark Evans (ILJ),PR,Earth,43,45,87,80.0,80.0,110.0,102.0,92.0,110.0
Lotus ,Lotus,PR,Earth,38,44,87,70.0,80.0,102.0,102.0,90.0,110.0
IC,Icer,MC,Wind,67,70,80,80.0,82.0,80.0,112.0,90.0,70.0
Kiya Kouji ,Blake Obscura,DF,Wood,62,67,87,80.0,80.0,112.0,112.0,90.0,70.0
Gojou Masaru (ZERO),Gus Martin (ZERO),DF,Wood,59,62,87,80.0,80.0,90.0,112.0,82.0,80.0
Oogu ,Catvari,DF,Earth,64,59,87,92.0,80.0,80.0,112.0,80.0,90.0
Yasha ,Tyrah,DF,Fire,59,66,86,80.0,80.0,90.0,110.0,104.0,90.0
Chuuri ,Tulipe,DF,Earth,59,65,87,80.0,80.0,92.0,112.0,100.0,90.0
Teres Tolue ,Thiago Torres,DF,Fire,53,59,86,70.0,80.0,90.0,110.0,70.0,104.0
Zagomel Zande ,Lars Luceafar,PR,Earth,39,39,89,80.0,80.0,72.0,112.0,80.0,110.0
Anton Gattuso ,Anton Grazioso,DF,Fire,52,61,86,70.0,82.0,82.0,110.0,80.0,80.0
Ejima Kazuya ,Dwight Whittaker,DF,Earth,59,60,86,80.0,82.0,90.0,110.0,70.0,92.0
Kabeyama Heigorou (ILJ),Jack Wallside (ILJ),DF,Earth,60,59,87,82.0,80.0,90.0,112.0,70.0,90.0
Maagaru ,Aloes,DF,Fire,61,68,86,82.0,82.0,100.0,110.0,100.0,90.0
Mokuren ,Magnolia,DF,Wood,59,65,89,80.0,80.0,90.0,114.0,100.0,90.0
Kudou Fuyuka ,Camellia Travis,DF,Wood,46,59,87,60.0,80.0,80.0,112.0,80.0,92.0
Kidou Yuuto (Raimon 2),Jude Sharp (Raimon 2),MC,Wind,69,76,44,80.0,90.0,92.0,62.0,90.0,80.0
Raimon Natsumi ,Nelly Raimon,DL,Fire,87,73,36,114.0,90.0,90.0,60.0,80.0,80.0
Sakuma Jirou (Shin Teikoku),David Samford (Nouv. Royal Academy),DL,Wood,79,76,36,102.0,92.0,90.0,60.0,90.0,80.0
Afuro Terumi (Zeus),Byron Love (Zeus),MC,Wood,82,74,50,100.0,90.0,94.0,70.0,80.0,60.0
Fubuki Shirou (Atsuya - Raimon 2),Shawn Froste (Aiden - Raimon 2),DL,Wind,71,75,43,94.0,90.0,70.0,70.0,110.0,60.0
Gouenji Shuuya (Raimon 2),Axel Blaze (Raimon 2),DL,Fire,80,73,43,102.0,90.0,92.0,70.0,80.0,70.0
Dylan Keith ,Dylan Keats,DL,Fire,85,73,43,114.0,90.0,80.0,70.0,90.0,80.0
Drago Hill ,Drago Hill,DL,Wood,79,72,43,102.0,92.0,90.0,70.0,70.0,80.0
Satanathos ,Thanatos,DL,Wood,72,73,44,90.0,90.0,90.0,72.0,80.0,92.0
Fei x Tyrano ,Fey x Tyrano,DL,Wood,79,78,43,102.0,90.0,90.0,70.0,102.0,90.0
Fei x Big ,Fei x Big,DL,Wood,79,78,43,102.0,90.0,90.0,70.0,102.0,90.0
Edgar Valtinas ,Edgar Partinus,DL,Wood,85,71,43,112.0,90.0,82.0,70.0,80.0,80.0
Fei Rune ,Fei Rune,DL,Wood,79,78,43,102.0,90.0,90.0,70.0,102.0,90.0
Gouenji Shuuya (Raimon 1),Axel Blaze (Raimon 1),DL,Fire,71,70,43,92.0,92.0,80.0,70.0,70.0,50.0
Hayami Tsurumasa ,Eugène Peabody,MC,Wind,60,76,50,70.0,90.0,82.0,70.0,102.0,60.0
Kidou Yuuto (Teikoku),Jude Sharp (Royal Academy),MC,Wind,63,76,50,72.0,90.0,92.0,70.0,90.0,70.0
Sakiyama Shuuji ,John Bloom,MC,Fire,63,76,50,72.0,90.0,90.0,70.0,92.0,80.0
Kirigakure Saiji ,Sail Bluesea,DL,Fire,61,78,43,70.0,90.0,100.0,70.0,94.0,80.0
Tateno Mai ,Marge Fielding,MC,Wind,67,74,50,80.0,90.0,82.0,70.0,90.0,82.0
Yumu Rinji ,Yasir Haddad,MC,Wood,69,72,50,80.0,90.0,92.0,70.0,72.0,80.0
Crypto,Krypto,MC,Wind,67,71,59,80.0,90.0,80.0,82.0,82.0,60.0
Kazemaru Ichirouta (Inazuma Japan),Nathan Swift (Inazuma Japon),DF,Wind,65,71,62,90.0,90.0,92.0,80.0,112.0,60.0
Demonio Strada ,Julio Acuto,MC,Fire,77,78,57,90.0,90.0,100.0,80.0,92.0,62.0
Namikawa Rensuke ,Davy Jones,DL,Wind,81,78,49,102.0,90.0,102.0,80.0,90.0,60.0
Keeve,Kiburn,DF,Fire,60,68,62,80.0,92.0,102.0,80.0,80.0,70.0
Gran,Xene,DL,Fire,78,75,49,102.0,90.0,80.0,80.0,102.0,70.0
Handa Shinichi (Dark Emperors),Steve Grim (Empereurs Noirs),MC,Wind,75,76,59,90.0,90.0,92.0,82.0,90.0,70.0
Shimozuru Arata ,Neil Turner,DL,Fire,79,74,49,100.0,90.0,94.0,80.0,80.0,70.0
Eska Bamel ,Escavan Malice,DL,Earth,81,75,49,104.0,90.0,90.0,80.0,90.0,70.0
Kurumada Gouichi ,Subaru Honda,DF,Fire,57,64,62,80.0,92.0,80.0,80.0,82.0,70.0
Goushu Flare ,Gareth Flare,DL,Fire,75,69,51,100.0,90.0,70.0,84.0,80.0,70.0
Taki Sousuke ,Langford Ash,DL,Earth,86,78,49,112.0,92.0,90.0,80.0,100.0,70.0
Yukimura Hyouga ,Njord Snio,DL,Wind,86,80,49,112.0,90.0,90.0,80.0,112.0,70.0
Atena Tomo ,Wesley Knox,MC,Wood,60,74,57,70.0,90.0,82.0,80.0,92.0,80.0
IQ,Arkew,DF,Wind,53,65,62,70.0,90.0,92.0,80.0,80.0,82.0
Kurimatsu Teppei (Inazuma Japan),Tod Ironside (Inazuma Japon),DF,Fire,59,66,64,80.0,92.0,90.0,82.0,80.0,80.0
Rasetsu ,Dasan,DL,Fire,86,76,49,112.0,92.0,90.0,80.0,90.0,80.0
Shura ,Navan,DL,Wind,80,78,49,100.0,90.0,102.0,80.0,92.0,80.0
Kurimatsu Teppei (Dark Emperors),Tod Ironside (Empereurs Noirs),MC,Fire,68,74,57,80.0,92.0,90.0,80.0,82.0,90.0
Shishido Sakichi (Dark Emperors),Sam Kincaid (Empereurs Noirs),MC,Fire,74,72,57,90.0,92.0,82.0,80.0,80.0,90.0
Saginuma Osamu (Neo Japan),Dave Quagmire (Neo Japon),MC,Fire,82,74,59,100.0,92.0,90.0,82.0,80.0,90.0
Skid Wu ,Jazzy Hedgeers,DL,Fire,69,67,49,90.0,90.0,70.0,80.0,72.0,102.0
Tsurugi Kyousuke ,Victor Blade,DL,Fire,87,77,49,114.0,90.0,90.0,80.0,100.0,70.0
Gazel,Gazelle,DL,Wind,66,78,49,80.0,90.0,92.0,80.0,102.0,80.0
Afuro Terumi (Mondial Selection),Byron Love (Sélection Mondiale),MC,Wood,77,76,57,90.0,90.0,102.0,80.0,82.0,80.0
Yamino Kageto (Raimon),Shadow (Raimon),DL,Wood,73,73,50,92.0,90.0,90.0,82.0,80.0,60.0
Doumen Shuuichirou ,Derek Swing,MC,Wind,70,79,57,80.0,94.0,100.0,80.0,90.0,70.0
Utsunomiya Toramaru ,Austin Hobbes,DL,Wood,86,75,49,112.0,90.0,92.0,80.0,90.0,70.0
Takanashi Shinobu ,Sue Sparrow,MC,Wind,70,77,57,80.0,94.0,100.0,80.0,80.0,70.0
Isozaki Kenma ,Infinity Beyond,DL,Fire,87,75,49,114.0,90.0,90.0,80.0,90.0,70.0
Tsurugi x Okita ,Victor x Okita,DL,Fire,87,77,49,114.0,90.0,90.0,80.0,100.0,70.0
Urabe Rika ,Suzette Hartland,DL,Wood,67,73,49,82.0,90.0,90.0,80.0,82.0,80.0
Hamano Kaiji ,Adé Kébé,MC,Wind,68,75,59,80.0,90.0,90.0,82.0,90.0,82.0
Ichino Nanasuke ,Hugues Baudet,MC,Wind,75,76,57,90.0,90.0,90.0,80.0,92.0,82.0
Yorozu Hiromi ,Bela Bluebells,MC,Wind,75,74,59,90.0,90.0,90.0,82.0,82.0,60.0
Seto Midori ,Jade Greene,DL,Fire,87,75,49,114.0,90.0,90.0,80.0,90.0,70.0
Fudou Akio (Inazuma Japan),Caleb Stonewall (Inazuma Japon),MC,Fire,70,79,64,80.0,94.0,100.0,90.0,90.0,70.0
Shindou Takuto ,Riccardo Di Rigo,MC,Wood,77,78,64,90.0,90.0,104.0,90.0,90.0,70.0
Marron Ian ,Ian Ferrum,DF,Fire,51,64,70,72.0,92.0,70.0,90.0,90.0,70.0
Kurosaki Makoto ,Cronus Fourseasons,MC,Fire,85,79,66,102.0,90.0,100.0,92.0,100.0,70.0
Hayabusa Hideki ,Zaphod Riker,MC,Wind,75,78,64,90.0,90.0,90.0,90.0,104.0,70.0
Matsuno Kuusuke (Dark Emperors),Maxwell Carson (Empereurs Noirs),MC,Wind,65,76,64,72.0,90.0,102.0,90.0,80.0,80.0
Gebo Torangas ,Lump Trungus,DF,Fire,59,66,70,80.0,92.0,90.0,90.0,80.0,82.0
Nishigaki Mamoru (Kirkwood),Malcolm Night (Kirkwood),DF,Fire,57,65,70,80.0,90.0,82.0,90.0,90.0,82.0
Ishido Shuuji ,Alex Zabel ,DL,Fire,86,77,56,112.0,90.0,90.0,92.0,100.0,80.0
Aporo Hikaru ,Apollo Light,DF,Wood,63,62,70,90.0,90.0,80.0,90.0,72.0,92.0
Gocker,Gocker,DF,Earth,57,59,70,80.0,90.0,80.0,90.0,60.0,94.0
Kurakake Clara ,Clear,DF,Wind,53,65,73,70.0,90.0,90.0,94.0,80.0,90.0
Reiza ,Juliet,DL,Wind,78,76,55,100.0,92.0,90.0,90.0,92.0,90.0
Aresu Ran ,Lane War,DF,Earth,57,61,70,80.0,90.0,80.0,90.0,70.0,104.0
Shindou x Nobunaga ,Riccardo x Nobunaga,MC,Wood,77,78,64,90.0,90.0,104.0,90.0,90.0,70.0
Someoka Ryuugo (Inazuma Japan),Kevin Dragonfly (Inazuma Japon),DL,Wood,79,73,55,102.0,90.0,90.0,90.0,80.0,82.0
Inaba Taian ,Inaba,DL,Wind,82,77,55,104.0,90.0,100.0,90.0,90.0,80.0
Hera Tadashi (Zeus),Henry House (Zeus),MC,Fire,61,73,64,72.0,90.0,80.0,90.0,90.0,72.0
Sakuma Jirou (Inazuma Japan),Jordan Greenway (Inazuma Japon),MC,Wood,70,81,64,80.0,92.0,100.0,90.0,102.0,70.0
Kita Ichiban ,Jimmy Kyrk,DL,Wood,78,79,55,100.0,94.0,90.0,90.0,100.0,70.0
Einamu ,Mike,DL,Wood,78,75,57,100.0,90.0,90.0,94.0,90.0,80.0
Sugimori Takeshi (Dark Emperors),Feldt (Empereurs Noirs),PR,Wood,44,41,73,90.0,90.0,82.0,92.0,70.0,90.0
Desuta ,Destra,DL,Earth,83,73,55,110.0,94.0,80.0,90.0,80.0,90.0
Engiru ,Panca,MC,Wind,68,76,64,80.0,92.0,90.0,90.0,90.0,92.0
Zanark Avalonic (Unused),Zanark Avalonic (Inutilisé),PR,Wind,45,45,73,90.0,90.0,90.0,90.0,90.0,90.0
Sorano Aoi (Manager),Skie Blue (Manager),PR,Wind,45,45,73,90.0,90.0,90.0,90.0,90.0,90.0
Yamana Akane (Manager),Rosie Redd (Manager),PR,Wind,45,45,73,90.0,90.0,90.0,90.0,90.0,90.0
Seto Midori (Manager),Jade Greene (Manager),PR,Wind,45,45,73,90.0,90.0,90.0,90.0,90.0,90.0
San (Unused),Sterne (Inutilisé),PR,Wind,45,45,73,90.0,90.0,90.0,90.0,90.0,90.0
Afuro Terumi (Coach),Byron Love  (Coach),PR,Wind,45,45,73,90.0,90.0,90.0,90.0,90.0,90.0
Ishido Shuuji (Coach),Alex Zabel (Coach),PR,Wind,45,45,73,90.0,90.0,90.0,90.0,90.0,90.0
Hikita Goushirou (Unused),Flint Charcoal (Inutilisé),PR,Wind,45,45,73,90.0,90.0,90.0,90.0,90.0,90.0
Ookazeya Giichi (Unused),Glaucous Gull (Inutilisé),PR,Wind,45,45,73,90.0,90.0,90.0,90.0,90.0,90.0
Rinno Tenki (Unused),Ashley Silverwood (Inutilisé),PR,Wind,45,45,73,90.0,90.0,90.0,90.0,90.0,90.0
Mutou Satoshi (Unused),Cinereous Slate (Inutilisé),PR,Wind,45,45,73,90.0,90.0,90.0,90.0,90.0,90.0
Zaizen Touko ,Victoria Vanguard,MC,Wind,71,78,64,80.0,90.0,104.0,90.0,90.0,80.0
Zanou ,Hotel,PR,Earth,45,44,80,90.0,90.0,92.0,90.0,80.0,102.0
Dosu Koi ,Daisy Fields,PR,Fire,32,42,86,60.0,92.0,80.0,92.0,70.0,110.0
Kariya Masaki ,Aitor Cazador,DF,Wood,53,67,78,70.0,90.0,90.0,100.0,92.0,72.0
