juego,equipo,nombre,posicion,elemento,ATT,CTL,DEF,Kick,Body,Control,Guard,Speed,Stamina,Guts
IE1,Brainwashing,Good,DF,bosque,41,46,56,44,44,48,55,44,48,45
IE1,Brainwashing,Stronger,DF,fuego,41,46,55,44,46,46,52,47,52,52
IE1,Brainwashing,Marvel,DF,tierra,42,49,53,44,53,52,48,49,50,51
IE1,Brainwashing,Leading,DF,aire,46,48,52,52,52,44,47,50,52,48
IE1,Brainwashing,Stiller,MC,aire,53,51,46,53,45,47,52,44,46,53
IE1,Brainwashing,Oughtry,MC,tierra,55,52,43,55,52,45,45,46,44,48
IE1,Brainwashing,Tell,MC,bosque,46,53,43,44,53,48,46,45,44,47
IE1,Brainwashing,Rock,MC,fuego,51,51,44,51,46,46,48,48,47,52
IE1,Brainwashing,Kind,MC,bosque,49,54,46,49,53,48,51,48,53,46
IE1,Brainwashing,Buster,MC,fuego,56,52,45,55,46,52,49,48,50,49
IE1,Brainwashing,Mooney,DL,fuego,59,49,32,53,49,54,50,55,53,46
IE1,Brainwashing,Seller,DL,aire,61,49,32,55,50,50,49,55,45,46
IE1,Brainwashing,Turner,DL,fuego,54,47,33,48,48,52,52,44,50,45
IE1,Otaku,Idol,PR,tierra,41,51,64,60,58,54,55,58,45,67
IE1,Otaku,Eldorado,PR,fuego,31,53,87,49,63,61,69,43,28,49
IE1,Otaku,Train,DF,fuego,59,56,58,61,60,53,56,52,41,54
IE1,Otaku,Vox,DF,aire,44,50,55,48,55,57,51,44,50,47
IE1,Otaku,Cosplay,DF,tierra,57,52,63,59,52,56,58,56,40,62
IE1,Otaku,Formby,DF,tierra,51,54,52,54,58,61,45,46,48,51
IE1,Otaku,Net,DF,bosque,42,54,53,44,62,54,48,44,51,49
IE1,Otaku,Hero,MC,fuego,74,76,55,62,62,61,55,56,50,71
IE1,Otaku,Signalman,MC,aire,57,59,48,54,56,55,52,53,48,59
IE1,Otaku,Novel,MC,bosque,67,63,54,60,55,56,58,61,44,61
IE1,Otaku,Online,DL,bosque,64,54,43,54,56,56,62,55,44,60
IE1,Otaku,Custom,DL,aire,69,59,41,58,62,52,61,54,47,59
IE1,Otaku,Gamer,DL,fuego,72,62,35,58,60,59,52,55,45,69
IE1,Otaku,Artist,DL,aire,62,54,46,52,56,58,63,53,51,64
IE1,Otaku,Arcade,DL,bosque,68,53,37,57,57,55,56,52,47,60
IE1,Royal Academy,Joe King,PR,fuego,51,76,94,72,75,69,72,55,74,60
IE1,Royal Academy,Bob Carlton,PR,bosque,41,46,61,58,55,63,54,45,62,70
IE1,Royal Academy,Peter Drent,DF,tierra,74,53,81,71,54,67,64,44,59,62
IE1,Royal Academy,Ben Simmons,DF,bosque,73,83,80,68,63,72,60,69,70,69
IE1,Royal Academy,Gus Martin,DF,bosque,77,84,89,76,67,73,67,63,66,63
IE1,Royal Academy,Alan Master,MC,aire,77,91,77,64,64,72,69,64,62,66
IE1,Royal Academy,John Bloom,MC,fuego,71,96,76,61,71,67,70,71,54,62
IE1,Royal Academy,Derek Swing,MC,aire,83,87,64,70,56,76,59,69,60,61
IE1,Royal Academy,Herman Waldon,MC,aire,87,93,83,76,64,72,79,70,57,69
IE1,Royal Academy,Barry Potts,MC,aire,53,55,51,53,52,54,56,52,60,44
IE1,Royal Academy,Cliff Tomlinson,DL,aire,60,56,41,53,60,52,61,54,52,53
IE1,Royal Academy,Steve Ingham,DL,tierra,72,50,33,61,53,57,52,47,54,46
IE1,Royal Academy,Jim Lawrenson,DL,aire,63,55,45,54,57,57,63,53,56,55
IE1,Royal Academy,David Samford,DL,bosque,94,82,54,70,60,78,66,66,67,71
IE1,Royal Academy,Daniel Hatch,DL,bosque,95,87,53,75,69,68,68,78,61,64
IE1,Shuriken,Hood,PR,bosque,33,45,81,53,59,44,64,52,55,62
IE1,Shuriken,Castle,PR,aire,33,49,85,53,60,52,68,52,52,52
IE1,Shuriken,Bandit,DF,fuego,52,52,65,54,53,57,56,55,58,63
IE1,Shuriken,Crackshot,DF,tierra,63,61,73,62,61,56,60,55,60,63
IE1,Shuriken,Hopper,DF,tierra,49,61,76,52,58,62,62,55,61,54
IE1,Shuriken,Hillfort,DF,aire,53,66,61,55,62,60,53,54,63,61
IE1,Shuriken,Thunder,DF,tierra,66,65,76,63,60,63,62,54,57,60
IE1,Shuriken,Cleats,MC,aire,59,79,56,56,61,53,56,69,68,59
IE1,Shuriken,Spook,MC,aire,60,64,64,56,56,52,63,64,55,62
IE1,Shuriken,Trops,MC,bosque,64,83,54,58,61,69,55,59,57,54
IE1,Shuriken,Star,MC,aire,57,67,56,53,63,59,56,47,65,60
IE1,Shuriken,Hattori,MC,bosque,66,65,45,60,55,59,44,60,60,56
IE1,Shuriken,Code,MC,tierra,68,63,59,60,56,60,57,54,68,61
IE1,Shuriken,Samurai,DL,bosque,73,64,43,60,60,60,60,56,60,53
IE1,Shuriken,Ronin,DL,aire,77,58,35,62,56,56,53,60,54,57
IE1,Shuriken,Cloak,DL,fuego,61,70,38,52,61,61,54,60,68,55
IE1,Farm,Greeny,PR,fuego,34,47,94,50,53,60,73,53,64,77
IE1,Farm,Mower,PR,tierra,29,45,92,46,56,41,72,62,61,60
IE1,Farm,Sherman,DF,fuego,46,62,96,49,60,62,79,52,70,56
IE1,Farm,Hillvalley,DF,tierra,40,57,95,40,56,52,79,63,66,53
IE1,Farm,Lively,DF,bosque,43,51,89,47,57,44,73,56,63,54
IE1,Farm,Hayseed,DF,tierra,41,54,95,42,56,52,77,58,68,61
IE1,Farm,Grower,DF,tierra,48,50,93,53,53,44,76,61,68,61
IE1,Farm,Nevis,DF,aire,47,54,86,52,56,51,70,59,64,53
IE1,Farm,Work,DF,bosque,42,54,88,44,57,54,70,54,65,60
IE1,Farm,Howells,DF,aire,44,60,92,48,62,54,75,54,60,56
IE1,Farm,Milky,MC,tierra,46,58,71,40,54,54,68,56,63,56
IE1,Farm,Dawson,MC,aire,64,66,81,57,55,56,75,64,66,76
IE1,Farm,Spray,MC,fuego,82,82,77,71,70,46,72,62,66,71
IE1,Farm,Mother,MC,bosque,47,63,80,42,55,63,76,53,60,55
IE1,Farm,Roast,MC,tierra,74,74,78,63,58,52,73,71,61,70
IE1,Farm,Muffs,DL,bosque,70,76,57,56,62,62,74,66,63,72
IE1,Kirkwood,John Neville,PR,fuego,52,50,96,78,62,54,79,48,51,44
IE1,Kirkwood,Simon Calier,PR,bosque,30,40,85,50,41,46,71,45,48,47
IE1,Kirkwood,Malcom Night,DF,fuego,68,88,97,63,76,68,78,67,64,70
IE1,Kirkwood,Ricky Clover,DF,tierra,49,57,55,53,52,56,52,67,45,54
IE1,Kirkwood,Alfred Meenan,DF,bosque,59,53,67,61,55,55,60,55,53,52
IE1,Kirkwood,Dan Mirthful,DF,bosque,55,63,74,59,70,49,65,46,51,52
IE1,Kirkwood,Eren Middleton,DF,tierra,44,48,53,48,44,55,47,55,54,52
IE1,Kirkwood,Peter Wells,DF,aire,50,48,51,55,52,52,46,47,45,48
IE1,Kirkwood,Zachary Moore,MC,bosque,55,78,49,52,60,60,52,63,53,58
IE1,Kirkwood,Toby Damian,MC,aire,57,61,52,54,56,55,56,57,56,55
IE1,Kirkwood,York Nashmith,MC,bosque,54,70,60,52,62,57,61,54,52,56
IE1,Kirkwood,Brody Gloom,MC,tierra,55,51,48,54,46,48,53,45,52,54
IE1,Kirkwood,Victor Talis,MC,bosque,56,54,44,55,52,52,46,47,45,48
IE1,Kirkwood,Tyler Murdock,DL,tierra,97,78,39,79,64,68,56,60,59,54
IE1,Kirkwood,Thomas Murdock,DL,aire,89,84,45,68,70,65,60,64,62,61
IE1,Kirkwood,Marvin Murdock,DL,fuego,88,70,50,68,61,61,66,60,60,61
IE1,Zeus,Icarus,PR,aire,51,63,98,71,67,66,79,44,71,64
IE1,Zeus,Apollo,DF,bosque,78,85,90,79,79,62,73,53,48,55
IE1,Zeus,Hephestus,DF,fuego,64,86,91,60,64,78,69,70,64,62
IE1,Zeus,Ares,DF,tierra,74,87,92,71,79,70,72,56,57,60
IE1,Zeus,Dionysus,DF,aire,65,76,96,62,68,66,79,50,53,64
IE1,Zeus,Heracles,DF,fuego,67,78,98,63,60,66,79,69,71,65
IE1,Zeus,Chronos,DF,bosque,46,78,96,48,66,62,79,63,61,66
IE1,Zeus,Artemis,MC,aire,74,84,71,62,66,76,67,44,45,58
IE1,Zeus,Medusa,MC,tierra,83,98,75,69,78,79,67,63,62,62
IE1,Zeus,Hera,MC,fuego,51,89,73,48,68,60,67,64,70,60
IE1,Zeus,Hermes,MC,bosque,62,91,75,56,69,69,68,57,62,62
IE1,Zeus,Athena,DL,bosque,81,88,50,60,76,64,63,71,64,77
IE1,Zeus,Demeter,DL,fuego,98,85,44,77,64,79,56,68,63,68
IE1,Zeus,Achilles,DL,tierra,98,82,35,78,69,61,50,65,60,70
IE1,Raimon Old Boys,Hairtown,DF,aire,74,83,80,70,65,65,62,73,60,71
IE1,Raimon Old Boys,Steaky,DF,tierra,68,88,91,62,75,78,68,68,67,68
IE1,Raimon Old Boys,MacHines,DF,fuego,73,88,94,68,68,75,71,76,68,73
IE1,Raimon Old Boys,Foreman,MC,tierra,87,95,72,76,72,64,64,68,72,70
IE1,Raimon Old Boys,Butler,MC,bosque,85,97,79,72,71,69,70,74,69,78
IE1,Raimon Old Boys,Nathaniel,MC,bosque,77,98,81,64,73,73,75,71,66,65
IE1,Raimon Old Boys,Suffolk,MC,fuego,84,96,78,71,68,70,69,77,68,68
IE1,Raimon Old Boys,Tailor,MC,tierra,86,98,82,73,72,76,76,79,72,70
IE1,Raimon Old Boys,Gladstone,MC,fuego,82,94,66,68,66,68,60,72,63,69
IE1,Raimon Old Boys,Heart,DL,aire,78,81,49,60,62,66,63,72,65,64
IE1,Raimon Old Boys,Poe,DL,bosque,88,87,56,64,68,79,70,69,64,69
IE1,Raimon Old Boys,Barista,DL,aire,83,87,58,62,72,72,76,65,72,65
IE1,Raimon Old Boys,Builder,DL,fuego,91,82,47,69,69,64,60,63,77,64
IE1,Street Sally's,Yuma,PR,tierra,28,41,58,44,44,43,56,49,46,45
IE1,Street Sally's,Holmes,PR,bosque,28,40,77,34,28,34,64,39,31,77
IE1,Street Sally's,Daltry,DF,bosque,41,46,53,44,45,49,51,49,40,43
IE1,Street Sally's,Lovely,DF,aire,43,46,50,49,44,44,44,44,51,44
IE1,Street Sally's,Fielding,DF,bosque,41,47,53,44,49,48,51,48,44,40
IE1,Street Sally's,Knuckles,DF,fuego,56,47,50,60,52,51,41,41,48,49
IE1,Street Sally's,Crumb,DF,tierra,40,46,50,40,44,44,43,44,48,45
IE1,Street Sally's,Stager,DF,bosque,40,47,54,40,49,44,51,49,50,51
IE1,Street Sally's,Sheldon,DF,tierra,40,46,54,42,48,45,53,42,40,43
IE1,Street Sally's,Squirrel,MC,aire,46,51,43,43,44,50,45,47,45,44
IE1,Street Sally's,Sandstone,MC,fuego,53,54,44,54,58,41,48,45,46,51
IE1,Street Sally's,Riversong,MC,tierra,45,52,44,40,50,50,48,40,42,47
IE1,Street Sally's,Prentice,DL,tierra,54,46,31,46,46,56,44,42,48,49
IE1,Street Sally's,Baughan,DL,aire,52,45,31,45,41,46,48,40,51,44
IE1,Inazuma KFC,Herman Muller,PR,aire,28,41,52,40,50,44,47,44,46,45
IE1,Inazuma KFC,Bart Grantham,PR,bosque,28,40,79,38,35,29,66,28,29,64
IE1,Inazuma KFC,Izzy Island,DF,bosque,40,45,50,42,40,48,41,41,48,44
IE1,Inazuma KFC,Robert Silver,DF,aire,42,46,51,46,41,51,44,41,48,44
IE1,Inazuma KFC,Sothern Newman,DF,tierra,42,46,63,45,44,48,60,43,49,47
IE1,Inazuma KFC,Keth Claus,DF,aire,40,46,50,41,41,48,40,60,40,46
IE1,Inazuma KFC,Irwin Hall,MC,bosque,45,51,43,40,48,51,43,41,40,41
IE1,Inazuma KFC,Mitch Grumble,MC,aire,48,51,44,48,48,43,48,40,46,41
IE1,Inazuma KFC,Taylor Higgins,MC,aire,46,51,44,44,43,50,48,40,48,40
IE1,Inazuma KFC,Michael Riverside,MC,tierra,51,51,45,51,46,50,49,40,43,48
IE1,Inazuma KFC,Jamie Cool,MC,aire,48,51,45,47,40,44,48,52,52,51
IE1,Inazuma KFC,Karl Blue,MC,tierra,47,52,43,46,48,47,44,51,46,48
IE1,Inazuma KFC,Theakston Plank,DL,aire,54,48,30,48,50,42,45,58,41,51
IE1,Inazuma KFC,Hans Randall,DL,fuego,74,45,32,64,40,40,51,48,56,44
IE1,Inazuma KFC,Ken Cake,DL,tierra,54,45,30,49,40,40,40,51,49,46
IE1,Umbrella,Ingram,PR,fuego,30,61,96,44,71,52,74,47,57,78
IE1,Umbrella,Banker,PR,aire,33,41,79,50,45,51,63,50,45,75
IE1,Umbrella,Sefton,DF,aire,50,56,60,53,49,61,54,67,54,55
IE1,Umbrella,Caperock,DF,aire,48,49,51,54,50,46,45,58,48,53
IE1,Umbrella,Strike,DF,fuego,45,53,54,48,50,64,47,56,51,53
IE1,Umbrella,Chops,DF,bosque,60,62,51,62,63,55,44,53,55,49
IE1,Umbrella,Porter,DF,tierra,41,48,63,45,56,44,60,44,52,46
IE1,Umbrella,Molehill,DF,aire,50,53,54,53,48,68,48,55,49,46
IE1,Umbrella,Most,DF,tierra,68,70,86,65,60,60,68,63,61,64
IE1,Umbrella,Chaney,MC,bosque,48,55,43,46,48,48,45,66,48,49
IE1,Umbrella,Rhymes,MC,aire,49,52,47,47,48,52,53,46,45,48
IE1,Umbrella,Tunk,MC,fuego,56,54,57,55,53,44,62,55,47,54
IE1,Umbrella,Morefield,MC,aire,68,58,50,59,56,58,52,48,52,72
IE1,Umbrella,Scott,MC,bosque,46,54,45,44,52,47,50,55,52,44
IE1,Umbrella,Cyborg,DL,bosque,58,55,35,49,55,63,51,51,56,65
IE1,Top-Left Panel,Balt Decker,DF,aire,53,51,71,56,46,47,60,75,61,67
IE1,Top-Left Panel,Art Pendragon,PR,aire,39,59,79,60,65,46,63,63,71,59
IE1,Top-Left Panel,Nev Erin,DL,aire,81,88,49,60,70,71,61,76,68,71
IE1,Top-Left Panel,Christian Dear,DF,bosque,61,73,80,59,64,76,64,44,52,55
IE1,Top-Left Panel,Jeeves Dropper,MC,aire,48,82,50,45,61,58,53,68,60,54
IE1,Top-Left Panel,Iggy Loyaller,DL,bosque,73,50,44,61,62,53,62,34,64,53
IE1,Top-Left Panel,Spike Needle,PR,aire,28,40,64,42,32,39,60,71,59,54
IE1,Top-Left Panel,Chaz Biggins,DL,tierra,71,49,42,63,61,28,63,57,64,56
IE1,Top-Left Panel,Macky Valley,DL,aire,71,50,31,58,59,45,44,47,52,78
IE1,Top-Left Panel,Percy Coldstair,DF,bosque,42,67,60,42,59,56,52,65,64,63
IE1,Top-Left Panel,Hank Halberd,PR,bosque,47,48,74,66,62,61,61,37,62,55
IE1,Top-Left Panel,Don Keys,DL,fuego,52,45,33,45,36,32,53,64,55,56
IE1,Top-Left Panel,Berty Adman,PR,tierra,33,53,67,52,52,56,59,71,64,55
IE1,Top-Left Panel,Joe Straiter,PR,fuego,36,46,90,56,53,52,71,58,58,59
IE1,Top-Left Panel,Rocky Shears,PR,tierra,39,59,97,58,58,60,79,63,60,60
IE1,Top-Left Panel,Sham Spike,MC,tierra,73,60,53,64,58,52,56,55,58,58
IE1,Top-Left Panel,Colin Salts,DL,bosque,72,46,30,63,44,46,41,44,48,41
IE1,Top-Left Panel,Tony Hacker,MC,bosque,58,90,78,52,60,67,69,76,75,64
IE1,Top Panel,Andrew Meikle,PR,fuego,31,57,54,48,56,61,48,63,53,62
IE1,Top Panel,Arthur Dox,DL,tierra,69,62,47,60,67,40,66,60,68,55
IE1,Top Panel,Len Scapp,PR,tierra,28,41,60,41,36,33,56,74,56,63
IE1,Top Panel,Penfold Pulper,DL,aire,52,62,43,41,52,59,59,71,64,62
IE1,Top Panel,Carl Gnu,DL,bosque,51,62,46,42,55,53,62,71,72,54
IE1,Top Panel,Scean Spector,DF,aire,42,45,57,47,30,28,56,62,56,60
IE1,Top Panel,Bo Ling,DF,bosque,44,72,58,45,55,79,50,56,57,52
IE1,Top Panel,Troy Trucker,DL,aire,85,58,44,66,53,63,58,60,79,52
IE1,Top Panel,Drew Straitedge,PR,tierra,30,41,50,49,46,44,44,46,42,47
IE1,Top Panel,Bos Horne,DF,tierra,59,63,64,61,61,54,56,59,68,55
IE1,Top Panel,Pete Grimes,PR,fuego,29,46,50,44,53,60,41,52,62,52
IE1,Top Panel,Homer Pidgeon,DF,fuego,58,64,61,60,60,56,52,60,77,56
IE1,Top Panel,Kit Chapman,DL,fuego,89,58,37,69,59,57,54,53,62,61
IE1,Top Panel,Joe Nalist,PR,bosque,44,42,85,63,53,55,68,38,68,58
IE1,Top Panel,Davy Johns,DL,aire,82,51,37,68,51,41,60,71,56,40
IE1,Top Panel,Phil Anthropic,DL,tierra,98,88,58,77,77,78,78,68,43,75
IE1,Top Panel,Florian Hutter,MC,fuego,58,58,53,55,54,52,56,59,62,57
IE1,Top Panel,Peter Malus,MC,tierra,70,77,50,63,63,56,53,60,61,53
IE1,Top Panel,Dom Ittory,PR,tierra,32,50,51,51,52,60,44,62,62,52
IE1,Top Panel,Sol Crater,DL,fuego,61,49,37,53,52,52,56,52,57,56
IE1,Top Panel,Dex Territy,PR,tierra,40,47,56,60,52,58,52,59,56,56
IE1,Top-Right Panel,Ramsey Faroe,PR,fuego,28,46,90,37,77,32,71,30,79,34
IE1,Top-Right Panel,Tim Piece,DL,aire,55,69,43,47,61,54,60,66,60,62
IE1,Top-Right Panel,Hike Basher,DL,bosque,74,63,38,60,60,54,56,61,54,63
IE1,Top-Right Panel,Madison Cabinet,PR,fuego,28,49,50,40,52,61,42,60,63,57
IE1,Top-Right Panel,Viv Grey,DF,fuego,50,48,51,55,57,42,44,47,61,56
IE1,Top-Right Panel,Dan Drobium,DL,bosque,61,66,36,52,60,62,53,56,62,57
IE1,Top-Right Panel,Walter Mendip,DL,aire,71,49,33,61,62,40,51,42,54,59
IE1,Top-Right Panel,Cal Cooler,DL,bosque,88,58,45,68,56,61,60,55,69,57
IE1,Top-Right Panel,Shirley Ladyman,DF,bosque,45,45,56,51,31,30,53,68,60,62
IE1,Top-Right Panel,Callan Trens,DL,fuego,78,62,47,62,61,57,65,55,52,57
IE1,Top-Right Panel,Grant Slammer,DL,aire,57,62,31,48,57,63,43,57,54,58
IE1,Top-Right Panel,Pascal Richter,MC,tierra,54,69,45,51,60,62,45,52,60,57
IE1,Top-Right Panel,Florian Selles,DL,bosque,60,66,44,52,60,59,63,59,52,52
IE1,Top-Right Panel,Oscar Esher,PR,aire,28,40,50,35,31,28,36,38,32,32
IE1,Top-Right Panel,Perry Pincher,DL,tierra,70,56,35,58,56,55,52,59,63,61
IE1,Top-Right Panel,Bill Phee,PR,bosque,49,46,71,70,52,52,60,60,69,60
IE1,Top-Right Panel,Sonny Rentman,DL,tierra,67,82,52,56,71,60,69,62,63,57
IE1,Top-Right Panel,Rod Entwhistle,PR,aire,47,45,87,66,58,56,68,39,79,60
IE1,Top-Right Panel,Alec Dote,PR,aire,29,55,50,41,55,64,40,60,58,60
IE1,Top-Right Panel,Pay Chance,PR,fuego,38,49,68,59,56,53,59,60,56,56
IE1,Left Panel,John Corder,DL,fuego,67,75,43,56,63,62,61,62,56,52
IE1,Left Panel,Carey Ginu,DL,bosque,51,69,45,40,52,60,62,78,55,60
IE1,Left Panel,Jack Trumper,DL,aire,51,68,32,40,58,68,44,57,57,52
IE1,Left Panel,Colin Lection,DF,fuego,52,52,69,56,57,52,60,52,62,52
IE1,Left Panel,Conor Abley,PR,fuego,46,46,85,64,58,62,67,38,78,62
IE1,Left Panel,Rick Hatter,DL,fuego,77,75,50,60,61,64,65,64,62,64
IE1,Left Panel,Percy Stent,PR,fuego,53,69,79,76,63,60,62,68,69,67
IE1,Left Panel,Luke Raffles,MC,bosque,70,72,51,62,59,56,52,63,68,60
IE1,Left Panel,Trey Spotter,MC,aire,49,59,47,47,54,61,51,51,44,52
IE1,Left Panel,Hollis Ticure,DL,fuego,68,56,41,58,60,53,59,52,69,52
IE1,Left Panel,Dash Dotter,MC,aire,54,66,50,51,52,61,52,65,62,58
IE1,Left Panel,Guy Dance,MC,tierra,47,74,66,42,58,63,62,60,67,55
IE1,Left Panel,Brendan Branch,PR,tierra,29,63,73,44,58,60,61,68,56,55
IE1,Left Panel,Slim Lanky,PR,aire,28,40,63,44,36,35,58,66,55,63
IE1,Left Panel,Bob Whittle,DL,aire,78,86,50,60,68,70,64,70,64,62
IE1,Left Panel,Ringo Stagg,DF,aire,60,70,83,60,65,57,67,56,56,63
IE1,Left Panel,Sam O'Reilly,MC,fuego,69,52,44,63,54,44,44,41,55,56
IE1,Left Panel,Theo Broma,DF,fuego,46,48,54,52,54,49,49,41,55,53
IE1,Left Panel,Gwyn Penn,PR,aire,33,62,51,49,57,71,43,58,53,61
IE1,Left Panel,Thor Toise,MC,tierra,52,54,43,52,54,48,41,50,59,53
IE1,Left Panel,Nick Yergrub,DL,aire,77,68,57,62,70,48,76,52,76,62
IE1,Left Panel,Don Snow,PR,fuego,41,45,80,60,58,60,64,35,64,61
IE1,Left Panel,Walter Card,DL,tierra,50,46,30,32,30,79,33,39,36,35
IE1,Middle Panel,Sonny Welkin,MC,fuego,77,56,61,68,62,54,60,35,68,54
IE1,Middle Panel,Joe Lamkin,MC,bosque,54,73,50,52,60,56,53,62,58,56
IE1,Middle Panel,Bud Hunter,PR,bosque,30,55,56,47,56,59,52,63,64,56
IE1,Middle Panel,Crane Clawson,MC,aire,68,79,71,60,64,60,68,56,52,61
IE1,Middle Panel,Ernest Byer,DL,fuego,66,57,42,56,57,52,57,61,78,61
IE1,Middle Panel,Thomas Cott,PR,aire,33,55,63,53,59,53,56,63,59,56
IE1,Middle Panel,Bo Luger,DL,bosque,96,53,38,78,56,54,56,54,58,61
IE1,Middle Panel,Rory Polisher,PR,fuego,31,58,51,47,59,61,43,58,61,62
IE1,Middle Panel,Willow Withers,MC,bosque,48,66,58,42,56,59,55,60,62,76
IE1,Middle Panel,Stu Perstitious (Lucky),DF,fuego,41,71,51,40,56,69,40,63,53,53
IE1,Middle Panel,Hal Leeward,MC,bosque,61,95,58,55,71,75,56,58,63,56
IE1,Middle Panel,Den Taligene,MC,fuego,83,53,45,72,49,50,48,50,40,70
IE1,Middle Panel,Isaiah Shutt,DL,tierra,80,69,41,64,68,54,60,52,56,52
IE1,Middle Panel,Sandy Hope,DF,tierra,70,48,87,68,58,52,70,32,60,63
IE1,Middle Panel,Gill O'Mend,MC,fuego,60,68,51,56,60,56,55,57,52,57
IE1,Middle Panel,Tim Mittus,DF,tierra,71,57,67,68,56,62,56,53,65,60
IE1,Middle Panel,Vince Bull,MC,aire,58,64,60,55,56,52,60,64,64,57
IE1,Middle Panel,Ches Nutcracracker (Gnashers),PR,fuego,52,78,94,71,71,69,71,78,28,70
IE1,Middle Panel,Cody Barani,PR,tierra,29,40,66,47,35,32,61,68,61,52
IE1,Right Panel,John Demi,DF,tierra,57,72,89,59,62,60,71,62,60,57
IE1,Right Panel,Bud Dahman,DL,bosque,62,49,32,54,56,51,48,43,59,54
IE1,Right Panel,Les Tarrant,PR,aire,32,45,52,52,63,40,44,47,53,56
IE1,Right Panel,Buck Teachey,DF,tierra,50,62,68,54,60,54,60,60,52,56
IE1,Right Panel,Monty Burrows,PR,tierra,28,41,50,29,32,65,38,60,57,64
IE1,Right Panel,Ryder Wheeling,DF,tierra,55,49,51,60,55,49,44,48,56,49
