nombre,posicion,juegos,ATT,CTL,DEF
Anna Mole,DF,IE3,57,66,70
Anne Sestral,DL,GO1 GO2 GO3,75,66,41
Anne Somnia,DF,GO2 IE2 IE3,44,54,71
Anne Tenney,MC,GO1 GO2 GO3,70,71,68
Anorel,PR,GO1 GO2 GO3 IE3,30,32,79
Ant Anomy,MC,IE2 IE3,75,74,64
Ant Hophila,DF,IE1 IE2 IE3,48,63,66
Anthea Tussore,MC,GO1 GO2 GO3,71,74,58
Anthony Coyne,DF,IE1 IE2 IE3,52,60,70
Anthony Phinder,DL,IE1 IE2 IE3,68,67,47
Anthony Phinder,PR,GO2,33,37,83
Anton Donce,MC,IE2 IE3,62,62,68
Anton Graziuso,DF,IE3,58,58,84
Anton Nortje,MC,IE3,69,77,53
Antonio Bagre,DF,IE3,47,60,78
Antonio Gallego,DF,IE3,51,60,74
Antwa Arry,MC,GO3,61,77,51
Aoba Gyr,PR,GO3,35,38,79
Aock,MC,GO3,56,71,54
Apas Muran,DF,GO3,55,62,79
Apex Paradiso,PR,GO1 GO2 GO3,30,31,75
Aphrodite,MC,GO2 GO3,80,82,62
Apnus Braithwaite,PR,GO1 GO2 GO3,27,26,76
Apollo Light,DF,GO1 GO2 IE1 IE2 IE3,62,64,76
Apollo.,DF,GO3,48,60,78
Apra Chabel,DL,GO1 GO2 GO3,75,66,46
Aquilina Schiller,DL,GO3,77,73,49
Ar Ecks,MC,GO2 GO3,74,78,58
Arachne,MC,GO1 GO2 IE3,71,77,48
Arakuné,MC,GO3,66,77,56
Aran Cheeks,PR,IE1 IE2 IE3,32,38,61
Arata,DL,GO3,81,78,41
Archer Hawkins,DF,GO1 GO2 GO3 IE3,59,58,74
Archie Meades,PR,IE1 IE2 IE3,32,30,76
Archie Medes,DF,GO1 GO2 GO3,47,61,67
Archie Rider,DL,IE3,76,70,43
Archie Tate,PR,IE1 IE2 IE3,25,25,66
Archie Valry,MC,GO1 GO2 GO3,68,78,56
Archy Medez,PR,IE1 IE2 IE3,33,38,67
Archy Seago,DL,IE2 IE3,76,76,46
Arculus Orbes,DL,GO3,86,81,51
Ardel Kernel,DF,IE2 IE3,43,60,68
Ares,DF,GO2 GO3,48,52,78
Argento Salvage,DF,IE2 IE3,56,66,74
Argie Bargie,DF,IE2 IE3,62,68,76
Argo Burgess,PR,GO3,30,36,79
Argyr,DF,GO2 GO3,52,62,82
Arion Matlock,MC,GO1 GO2 IE1 IE2 IE3,68,75,65
Arion SherAire,MC,GO2,73,79,61
Arion Sherwind,MC,GO1 GO3,69,82,60
Aris Tottle,DF,GO1 GO3,48,57,74
Ark,MC,GO2 GO3 IE2,64,76,55
Arkew,DF,GO2 GO3 IE2,52,60,75
Armand Sedate,MC,GO1 GO2 GO3,61,71,41
Armstrong Peck,PR,IE1 IE2 IE3,32,29,69
Arnan Wheelie,MC,IE2 IE3,64,68,60
Arno,DL,GO3,77,72,48
Art Izan,DF,GO1 GO2 GO3,53,57,83
Art Pendragon,PR,IE1 IE2 IE3,35,37,73
Art Teest,DF,GO2,49,60,84
Art Teest,MC,IE1 IE2 IE3,63,71,69
Art Tundra,MC,GO1 GO2 GO3,65,73,56
Art Turner,PR,GO1 GO2 GO3,30,31,76
Artemis,MC,GO2 GO3,62,75,48
Arthur Ascot,DF,GO1 GO2,46,66,70
Arthur Crabbe,DF,IE3,55,64,76
Arthur Dox,DL,IE1 IE2 IE3,69,71,50
Arthur Easley,DF,IE2 IE3,56,60,68
Arthur Easley,MC,GO2,65,78,57
Arthur Myrddin,DF,IE1 IE2 IE3,57,61,72
Arthur Sweet,DF,IE1 IE2 IE3,62,73,78
Artie Mishman,MC,GO1 IE1 IE2 IE3,72,73,60
Artie Xan,MC,IE3,60,65,52
Arturo,DL,GO3,82,74,55
Arty Xerxes,DF,GO1 GO2 GO3,50,64,70
Arvin Inkwell,DF,IE2 IE3,52,58,70
Asbe Stostumi,DF,GO2 GO3,42,45,75
Ash Cagger,DF,GO1 GO2 GO3,52,56,86
Ash Cloud,DL,IE1 IE2 IE3,62,71,50
Ashleigh Salpara,MC,GO3,74,82,51
Ashley Dale,DL,IE1 IE2 IE3,70,78,49
Ashley Fay,DL,IE1 IE2 IE3,69,60,39
Ashley Silverwood,DF,GO1 GO3,48,51,75
Ashton Malone,MC,GO1 IE3,66,75,57
Ashubina Barany,PR,GO3,34,39,84
Asif Ecks,MC,IE3,64,74,46
Askel Blays,DF,GO1 GO2,50,54,75
Aslei Rune,MC,GO2 GO3,70,78,58
Aspen Blewit,DF,IE3,52,60,73
Assad Gais,DF,GO3,54,52,79
Assumpta Meakin,DF,IE3,43,49,63
Asta,MC,GO2 GO3,66,78,54
Astaroth,PR,GO1 GO2 GO3 IE3,33,32,80
Aster,DL,GO2 GO3,82,78,40
Asthon Malone,DL,GO3,71,61,35
Aston Isher,MC,IE1 IE2 IE3,73,68,53
Astra Justin,MC,GO3,74,79,60
Astro Ceres,PR,GO1 GO2,27,30,78
Atakh Ama,DL,GO3,75,72,52
Athena,MC,GO2,65,72,50
Atla Sokarb,DL,GO3,81,80,46
Atlas Carrier,DL,GO1 GO2,73,70,38
Atoma Isao,DF,GO3,51,56,77
Atou Ran,DL,GO3,71,70,37
Attila Hun,DF,GO1 GO3,46,48,80
Attley Hightable,PR,IE1 IE2 IE3,31,39,64
Auberon Ouranos,DF,GO1 GO2 GO3,47,54,80
Aubry Dient,PR,IE1 IE2 IE3,37,33,73
Audry Orange,MC,IE2 IE3,62,63,46
August Dyers,MC,IE2 IE3,76,74,64
Aum Nirvana,PR,GO1 GO2 GO3,29,34,78
Aurelia Dingle,MC,GO2 GO3 IE2 IE3,70,76,63
Aurie Garmer,MC,GO2 GO3 IE2 IE3,64,71,60
Austin Hobbes,DL,GO1 GO2 GO3 IE3,78,72,44
Austin Tayssus,MC,IE1 IE2 IE3,63,72,49
Autumn Leaf,DF,GO1 GO2 GO3,49,60,66
Av Antguard,DF,GO1 GO2 GO3,48,60,74
Avery Rarecard,DL,GO1 GO2 GO3,73,69,43
Avid Peddler,DL,IE3,68,67,42
Avinash Chowdhury,DL,IE3,71,70,39
Avorio Opale,DL,IE3,77,64,34
Axel Adulto,DL,GO3,88,84,46
Axel Adulto GO Chrono,DL,GO3,82,78,41
Axel Adulto Go Galxy,DL,GO3,82,77,42
Axel Blaze,DL,GO2 GO3 IE1 IE2 IE3,83,79,49
Axel Lottle,MC,GO1 GO2 GO3,63,78,48
Aya Shadowe,DL,GO1 GO2 GO3,73,70,47
Aya Strand,PR,IE2 IE3,36,36,74
Aye Nort,DL,GO2 GO3,72,68,37
Aymer Loozit,MC,GO1 GO2 GO3,62,79,44
Ayt Bee,DF,GO2 GO3,48,53,74
Ayuta,MC,GO2,59,71,52
Azrael Andrews,MC,GO1 GO2 GO3,65,77,54
Azubel Turchese,DF,IE3,51,54,80
Azzurro Zaffiro,DF,IE3,46,63,75
B-Black,DF,GO2,54,67,79
BA Branssen,MC,IE3,62,71,47
Badeen J-Arhan,PR,GO3,34,32,79
Bae Jeong-Ho,DF,GO3,48,55,76
Bael,DF,GO1 GO3 IE3,50,59,77
Bael Character,DF,GO2,46,55,80
Baga Guny,DF,GO3,56,58,82
Bailey Sitter,DL,IE2 IE3,70,70,44
Bailong,DL,GO1 GO2 GO3,87,81,40
Baizcat,DL,GO3,85,83,46
Bala Gasgula,DL,GO3,80,78,49
Balcke,DF,IE2,64,63,73
Balen,MC,IE2,70,79,59
Balen Straw,PR,IE3,33,34,71
Baller,DF,GO2 GO3 IE2,52,61,77
Balt Decker,DF,IE1 IE2 IE3,51,56,70
Bamber Mandrina,DF,IE1 IE2 IE3,40,55,80
Bamber Shoot,DL,IE1 IE2 IE3,63,72,36
Bambis Shakin,DL,IE1 IE2 IE3,66,74,45
Banbaros Tower,DF,GO3,62,62,82
Banda Crix,MC,GO3,71,79,53
Banda Crix Jr.,MC,GO3,67,75,52
Bandy Horsman,MC,IE3,72,79,56
Bane Marie,DF,IE1 IE2 IE3,51,64,71
Banzlay,DF,GO3,48,57,78
Barack Daniels,DF,IE3,57,62,76
"Barbara ""Bunny"" Bitt",DL,GO2 GO3,72,70,32
Barbara Bitt,DL,GO1,75,81,37
Barbara Clector,DF,IE2 IE3,46,62,66
Bard Crooner,MC,IE1 IE2 IE3,65,60,58
Bark Sepakro,MC,GO3,72,76,53
Barnabas Rossa,DL,GO1 GO2 GO3,73,62,43
Baron Blackgold,MC,GO2 IE3,68,72,53
Baron Oxford,DF,GO1 GO2,60,52,64
Barry Lugh,DL,IE1 IE2 IE3,62,71,44
Barry Potts,MC,IE1 IE2 IE3,65,66,57
Barry Sterr,MC,IE1 IE2 IE3,57,72,49
Barry Straw,DL,IE1 IE2 IE3,60,78,30
Barry Tone,MC,GO1 GO2 GO3,65,76,57
Bart Black,DF,GO1 GO2 GO3,45,58,75
Bart Grantham,PR,IE1 IE2 IE3,25,25,77
Bash Beaton,DL,IE2 IE3,72,83,54
Bash Lancer,DL,GO1 GO2 GO3 IE3,84,75,45
Bass Danish,MC,GO3,73,79,57
Batal Majid,DF,GO3,52,59,79
Bay Laurel,MC,GO1 GO2,64,74,60
Bayonet Gunne,MC,GO1 GO2,72,70,56
"Baz ""B-Boy"" Boyes",MC,GO2,61,72,51
Baz Boyes,MC,GO1 GO3,61,71,52
Bea,PR,GO3,31,29,79
Bea Jou,DL,GO1 GO3,74,64,40
Beacon Noor,MC,GO1 GO2 GO3,68,86,56
Beamer Daye,DF,GO1 GO2 GO3,53,65,76
Bear Turnbull,DL,IE1 IE2 IE3,66,69,47
Bear Zurka,PR,IE3,40,41,69
Beat Baxter,DF,GO1 GO2,52,52,75
Beat Scatton,MC,IE2 IE3,62,66,58
Beata Pummel,DL,GO2 GO3 IE2 IE3,66,68,40
"Beatrix ""Bee"" Hunny",DF,GO2 GO3,52,54,66
Beatrix Hunny,DF,GO1,61,60,74
Beau Fort,DF,IE1 IE2 IE3,46,55,69
Beau Gotcher,PR,GO1 GO2 GO3,28,34,76
Beau Hammock,MC,IE2 IE3,69,70,59
Beau Painton,MC,IE1 IE2 IE3,75,67,53
Becca Pilgreen,DF,IE2 IE3,58,70,78
Beck Hand,DL,IE2 IE3,70,76,54
Beck Heath,MC,GO1 GO2 GO3,69,75,56
Becks Binder,DL,IE3,73,75,51
Becky Shuffle,DL,IE2 IE3,74,76,54
Behemoth,DF,GO1 GO2 IE3,54,57,77
Bela Bluebells,MC,GO3 IE2 IE3,67,73,60
Beldio Smeraldo,MC,IE3,55,73,53
Belial,DF,GO1 GO2 GO3 IE3,50,61,72
Bella Baker,DL,GO2 IE3,76,66,39
Bella Shaded,PR,GO2 GO3 IE2 IE3,36,34,75
Bellatrix,MC,GO2 GO3 IE2,73,79,56
Belle Allure,MC,IE2 IE3,68,68,60
Belle Belladona,MC,GO2,71,82,61
Beluga,PR,GO3 IE2,33,36,76
Ben Blowton,MC,GO1 IE3,65,74,62
Ben Curd,DF,IE1 IE2 IE3,62,71,82
Ben Danna,DL,IE2 IE3,70,78,58
Ben Evolent,DL,IE1 IE2 IE3,74,66,47
Ben Feuer,MC,IE3,63,62,51
Ben Nevis,DF,IE1 IE2 IE3,50,59,79
Ben North,PR,GO1 GO2 IE3,30,34,79
Ben Simmons,DF,IE1 IE2 IE3,63,69,73
Ben Whistler,DF,IE2 IE3,48,52,70
Ben deLimms,PR,IE1 IE2 IE3,30,37,70
Benedict Eggers,DF,IE1 IE2 IE3,59,56,77
Beniiten,MC,GO3,57,64,54
Benji Near,PR,GO1 GO2 GO3,27,30,79
Bennett Byers,PR,IE1 IE2 IE3,33,35,75
Benny Factor,PR,IE1 IE2 IE3,34,36,68
Benny Terra,MC,IE2 IE3,55,60,40
Beorn Kodiak,PR,GO1 GO2,32,30,80
Bern Ballast,PR,IE3,32,35,71
Bern Macmahon,MC,IE2 IE3,66,68,52
Bernadette Stoker,DL,GO2 GO3 IE3,82,75,41
Bernie Ellement,DL,IE3,80,85,34
Bernie White,DL,IE3,76,77,45
Bernina Nightoil,MC,IE3,60,64,48
Bert Emmerson,DL,IE2 IE3,62,74,37
Bert Laydie,PR,GO1 GO2 GO3,28,36,76
Bert McClure,DF,IE2 IE3,44,55,66
Bert Neptune,MC,GO2 GO3 IE1 IE2 IE3,70,77,61
Bert Trapper,DF,GO1 GO2 GO3,52,60,66
Berthel Stagg,DF,IE3,46,58,67
Berthel Stagg,PR,GO2,30,31,77
Bertie Cees,PR,GO1 GO2 GO3,27,29,77
Bertram Manning,MC,IE2 IE3,67,76,62
Berty Adman,PR,IE1 IE2 IE3,30,36,70
Beta,DL,GO2 GO3,80,82,48
Beth Doodle,MC,IE2 IE3,63,72,62
Betty Backer,DL,IE2 IE3,67,74,49
Betty Evenson,MC,IE2 IE3,64,70,55
Bevan Breakfast,DF,IE2 IE3,55,68,74
Bhabass,PR,GO2 GO3,32,35,79
Bhufa,PR,GO2 GO3,32,32,81
Bianca Snough,DL,GO1 GO2 GO3,71,72,45
Bianco Perla,DL,IE3,81,67,30
Bianco Snowden,DF,GO1 GO2 GO3,47,50,75
Biff Beeston,PR,IE1 IE2 IE3,32,36,71
Big,DL,GO3,81,69,48
Biggsy,PR,GO2 GO3,32,28,79
Bigsby Pigford,DL,IE2 IE3,68,67,48
Bilal Kalil,DF,GO1 GO2 GO3 IE3,50,60,84
Bilbo Baton,MC,GO1 GO2 GO3,63,74,46
Bill Aegis,DF,IE1 IE2 IE3,55,58,70
Bill Clanger,DF,IE2 IE3,64,60,71
Bill Dozer,PR,IE1 IE2 IE3,32,34,68
Bill Fierce,MC,IE2 IE3,70,68,59
Bill Formby,DF,IE1 IE2 IE3,53,59,62
Bill Froger,MC,GO1 GO2 GO3,67,81,48
Bill Ingsgate,DL,GO1 GO2,76,69,43
Bill Looney,DF,IE1 IE2 IE3,53,65,73
Bill Mallard,DF,IE3,48,56,67
Bill Moony,DL,IE1 IE2 IE3,79,68,47
Bill Mumm,DL,IE1 IE2 IE3,69,79,56
Bill Phee,PR,IE1 IE2 IE3,40,33,71
Bill Steakspear,DF,IE1 IE2 IE3,59,73,76
Bill Sye,DF,GO1 GO2 GO3,48,61,83
Bill Tardy,PR,IE1 IE2 IE3,37,36,71
Bill Teller,DF,IE1 IE2 IE3,49,66,74
Bill Wordsworthy,MC,IE1 IE2 IE3,56,70,40
Bill Yards,PR,IE1 IE2 IE3,35,31,63
Billy Blanc,DL,IE1 IE2 IE3,69,65,35
Billy Dash,PR,IE3,42,31,84
Billy Lingsoo,DL,GO1 GO2 GO3,68,60,43
Billy Nomates,PR,IE1 IE2 IE3,43,36,80
Billy-Lee Adarma,MC,GO1 GO3,62,74,42
Bind Hermit,MC,GO3,74,81,57
Birokkou,PR,GO3,32,37,77
Biron Pendexter,MC,IE1 IE2 IE3,70,74,69
Bish Beaton,DL,IE2 IE3,74,78,50
"Bisher ""B-White"" Whitehurst",DF,GO2 GO3,48,62,78
Bisher Whitehurst,DF,GO1,47,57,75
Bishop Carver,PR,IE3,31,30,74
Bishopp Blackside,DF,GO1,55,66,75
Bjorn Thiswey,DF,GO1 GO2 GO3,46,52,78
Bjorn Villen,DL,IE3,75,76,57
Blade Healen,DF,IE2 IE3,53,64,75
Blagun White,MC,IE3,67,62,49
Blain Chills,MC,GO1 GO2 GO3,65,77,56
Blake Nailor,PR,IE2 IE3,32,38,80
Blake Obscura,DF,GO1 GO2 GO3,55,62,78
Blake Wintry,MC,GO1 GO2 GO3,62,72,45
Blakey Itchifoot,MC,GO1 GO2 GO3,62,69,54
Blazer Firefoot,PR,IE3,39,37,86
Bloomer Topp,PR,GO1 GO2 GO3,30,32,75
Blowie Armstraw,MC,IE3,60,64,57
Blown,DL,IE2,70,73,44
Bluster Tryadd,DF,GO1 GO2 GO3,48,55,76
Bo Ling,DF,IE1 IE2 IE3,50,63,66
Bo Luger,DL,IE1 IE2 IE3,78,67,43
Bob Baggum,PR,IE1 IE2 IE3,32,35,72
Bob Beelzy,PR,IE2 IE3,39,39,77
Bob Bobbins,DF,IE3,66,58,66
Bob Carlton,PR,IE1 IE2 IE3,36,35,70
Bob Daruma,MC,IE2 IE3,62,69,54
Bob Dingnagian,MC,IE1 IE2 IE3,60,70,60
Bob Jammen,PR,IE2 IE3,44,36,77
Bob Jobbe,DL,IE3,64,68,47
Bob Lioteck,PR,IE1 IE2 IE3,35,35,68
Bob Shishker,DL,IE1 IE2 IE3,62,67,41
Bob Sled,MC,GO1 GO2 GO3,60,76,55
Bob Stretcher,DL,IE1 IE2 IE3,63,61,40
Bob Whittle,DL,IE1 IE2 IE3,72,80,51
Bobbie Pompon,MC,GO1 GO2 GO3,66,68,57
Bobbie Tomey,DL,IE2 IE3,70,74,44
Bobby Bruce,DL,GO1 GO2 GO3,71,58,37
Bobby Constable,DL,IE1 IE2 IE3,72,71,49
Bobby Duo,DF,IE2 IE3,56,60,80
Bobby Peel,MC,IE1 IE2 IE3,69,72,54
Bobby Peeler,MC,IE3,55,71,54
Bobby Shearer,DF,GO1 GO2 GO3 IE1 IE2 IE3,57,62,81
Bobby Yellow,PR,IE1 IE2 IE3,29,28,66
Bobine Apples,DL,GO1 GO2 GO3,79,60,33
Boe Heemian,DL,GO1 GO2 GO3,74,73,38
Boe Tyer,PR,IE1 IE2 IE3,32,37,66
Bokaku,MC,GO3,72,81,54
Bolt Cagey,DL,GO1 GO2,69,70,48
Bombasta Flamboyanzi,DL,IE3,70,74,44
Bomber,MC,GO2 GO3 IE2,67,76,58
Bomber Pikes,PR,IE2 IE3,31,37,66
Bon Homie,MC,GO2 GO3,59,70,46
Bones Size,DF,IE1 IE2 IE3,47,63,70
Bonnie Sparks,DF,GO1 IE3,55,62,74
Bonnie Sytree,MC,GO1 GO2 GO3,66,77,48
Bonza Barnett,MC,GO1 GO2 GO3,67,75,45
Boo Fonte,DF,GO1 GO2 GO3,49,53,75
Boo Spector,DF,IE3,51,55,75
Boomer Smolen,PR,IE2 IE3,34,36,72
Borboleta Barboza,MC,IE3,82,79,69
Borel Aurora,MC,GO1 GO2 GO3,60,78,46
Bos Horne,DF,IE1 IE2 IE3,55,61,69
Bosquerow Stake,DL,GO2,83,81,48
Bosquey Prince,DL,GO2,67,72,42
Bot 1,PR,GO2 GO3,25,30,76
Bot 10,DL,GO2 GO3,74,66,44
Bot 11,DL,GO2 GO3,74,68,46
Bot 2,DF,GO2 GO3,46,55,75
Bot 3,DF,GO2 GO3,44,56,76
Bot 4,DF,GO2 GO3,42,56,76
Bot 5,MC,GO2 GO3,64,70,54
Bot 6,MC,GO2 GO3,66,72,50
Bot 7,MC,GO2 GO3,65,72,56
Bot 8,MC,GO2 GO3,63,74,53
