ID,Name(Romaji),Name(Localised),Nickname,Gender,Game,Type,Position,Alt Position,Element,Preferred Playstyle,First 3 Moves Learnt,Kick,Control,Technique,Pressure,Physical,Agility,Intelligence,Total Stats,Main Path,Alternate Paths
1,Mamoru Endo,Mark Evans,円堂,男 (Male),イナズマイレブン,選手 (Player),GK,FW,山 (Mountain),Justice,Strong Punch | God Hand | Fireball Knuckle,90.0,97.0,91.0,98.0,105.0,111.0,97.0,689,Keep > Keep,Keep > Keep | Shoot > Shoot
18,Haruna Otonashi,Celia Hills,音無,女 (Female),イナズマイレブン,マネージャー (Coordinator),MF,DF,風 (Wind),Bond,Feint Dash | Illusory Ball | Spinning Cut,104.0,112.0,109.0,91.0,92.0,85.0,100.0,693,Offense > Offense,Offense > Shoot | Defense > Defense
19,Natsumi Raimon,Nelly Raimon,夏未,女 (Female),イナズマイレブン,マネージャー (Coordinator),FW,MF,火 (Fire),Bond,Chip Shot | Bed of Roses | Matador Feint,121.0,115.0,105.0,88.0,85.0,85.0,93.0,692,Shoot > Shoot,Shoot > Shoot | Offense > Defense
20,Kojiro Genda,Joseph King,げんおう,男 (Male),イナズマイレブン,選手 (Player),GK,MF,火 (Fire),Breach,Mighty Save | Power Shield | Full Power Shield,90.0,97.0,91.0,98.0,105.0,111.0,97.0,689,Keep > Keep,Keep > Keep | Shoot > Offense
21,Densuke Ono,Peter Drent,だいでん,男 (Male),イナズマイレブン,選手 (Player),DF,FW,山 (Mountain),Rough Play,Feint Play | Earthquake | Illusory Ball,87.0,90.0,92.0,99.0,103.0,89.0,112.0,672,Defense > Defense,Defense > Shoot | Shoot > Shoot
22,Kazumichi Banjo,Ben Simmons,万丈,男 (Male),イナズマイレブン,選手 (Player),DF,MF,林 (Forest),Justice,Rolling Steal | Cyclone | Killer Slide,82.0,87.0,85.0,102.0,107.0,89.0,119.0,671,Defense > Defense,Defense > Offense | Offense > Defense
23,Kenya Narukami,Alan Master,成神,男 (Male),イナズマイレブン,選手 (Player),MF,DF,風 (Wind),Breach,Nutmeg | Killer Slide | Illusory Ball,97.0,113.0,114.0,85.0,81.0,81.0,101.0,672,Offense > Defense,Defense > Offense | Defense > Defense
24,Masaru Gojo,Gus Martin,五条,男 (Male),イナズマイレブン,選手 (Player),DF,MF,林 (Forest),Bond,Curving Cut | Killer Slide | Clone Faker,87.0,91.0,92.0,99.0,104.0,89.0,112.0,674,Defense > Defense,Defense > Defense | Offense > Defense
25,Wataru Henmi,Herman Waldon,辺見,男 (Male),イナズマイレブン,選手 (Player),MF,FW,風 (Wind),Rough Play,Nutmeg | Killer Slide | Cyclone,97.0,113.0,114.0,85.0,81.0,81.0,101.0,672,Offense > Defense,Shoot > Offense | Shoot > Shoot
26,Shuji Sakiyama,John Bloom,咲山 (Mountain),男 (Male),イナズマイレブン,選手 (Player),MF,FW,火 (Fire),Tension,Dust Kick | Killer Slide | Wrath Shot,97.0,113.0,114.0,85.0,81.0,81.0,101.0,672,Offense > Defense,Shoot > Offense | Shoot > Shoot
27,Shuichiro Domen,Derek Swing,洞面,男 (Male),イナズマイレブン,選手 (Player),MF,FW,風 (Wind),Counter,Deceptive Step | Clone Faker | Killer Slide,97.0,113.0,114.0,85.0,81.0,81.0,101.0,672,Offense > Offense,Shoot > Shoot | Shoot > Shoot
28,Daiki Jimon,Daniel Hatch,寺門,男 (Male),イナズマイレブン,選手 (Player),FW,DF,林 (Forest),Rough Play,Low Drive | Wrath Shot | Killer Slide,112.0,109.0,99.0,88.0,86.0,81.0,97.0,672,Shoot > Shoot,Shoot > Shoot | Defense > Defense
29,Yuto Kido,Jude Sharp,鬼道,男 (Male),イナズマイレブン,選手 (Player),MF,FW,風 (Wind),Justice,Deceptive Step | Illusory Ball | Twin Boost,104.0,112.0,109.0,91.0,92.0,85.0,100.0,693,Offense > Offense,Shoot > Offense | Shoot > Shoot
30,Jiro Sakuma,David Samford,佐久間,男 (Male),イナズマイレブン,選手 (Player),FW,MF,林 (Forest),Counter,Bounce Shot | Killer Slide | Emperor Penguin No. 2,121.0,115.0,105.0,88.0,85.0,85.0,93.0,692,Shoot > Defense,Shoot > Offense | Offense > Defense
31,Yuhei Hyodo,Bob Carlton,兵藤,男 (Male),イナズマイレブン,選手 (Player),GK,DF,林 (Forest),Justice,Strong Punch | Power Shield | Fireball Knuckle,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Keep,Keep > Keep | Defense > Defense
32,Kazuki Ena,Cliff Tomlinson,恵那,男 (Male),イナズマイレブン,選手 (Player),FW,MF,風 (Wind),Breach,Low Drive | Grenade Shot | Killer Slide,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Shoot,Shoot > Shoot | Offense > Defense
33,Kei Mukumoto,Jim Lawrenson,椋本,男 (Male),イナズマイレブン,選手 (Player),FW,MF,風 (Wind),Tension,Bounce Shot | Spiral Shot | Wrath Shot,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Shoot > Shoot,Offense > Defense | Offense > Defense
34,Shodai Shibuki,Barry Potts,渋木,男 (Male),イナズマイレブン,選手 (Player),MF,FW,風 (Wind),Rough Play,Dust Kick | Killer Slide | Whirlwind Twister,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Defense,Offense > Shoot | Shoot > Shoot
35,Seiji Okusu,Steve Ingham,大楠,男 (Male),イナズマイレブン,選手 (Player),FW,MF,山 (Mountain),Bond,Bounce Shot | Ghost Pull | Twin Boost,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Defense,Shoot > Offense | Shoot > Offense
36,Reiji Kageyama,Ray Dark,影山 (Mountain),男 (Male),イナズマイレブン,監督 (Manager),MF,FW,風 (Wind),Tension,Dust Kick | Killer Slide | Illusory Ball,97.0,113.0,114.0,85.0,81.0,81.0,101.0,672,Offense > Defense,Shoot > Shoot | Shoot > Shoot
37,Masaru Anzai,Stephen Black,安西,男 (Male),イナズマイレブン,コーチ (Coach),DF,MF,林 (Forest),Tension,Cunning Pull | Afterimage | Harvest,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
38,Juzo Nata,Nathan Jones,十三,男 (Male),イナズマイレブン,選手 (Player),GK,MF,風 (Wind),Rough Play,Strong Punch | Warp Space | Whirlwind,85.0,93.0,88.0,95.0,103.0,109.0,94.0,667,Keep > Keep,Defense > Keep | Shoot > Offense
39,Wataru Sanzu,Russell Walk,三途,男 (Male),イナズマイレブン,選手 (Player),DF,FW,林 (Forest),Justice,Shoulder Tackle | Ghost Pull | Phantom Shot,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Defense > Defense | Shoot > Shoot
40,Shigeru Yanagida,Jason Jones,柳田,男 (Male),イナズマイレブン,選手 (Player),DF,MF,風 (Wind),Bond,Rolling Steal | Ghost Pull | Fake Ball,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Defense > Defense | Offense > Defense
41,Ken Furan,Ken Furan,フランケン,男 (Male),イナズマイレブン,選手 (Player),DF,GK,山 (Mountain),Rough Play,Rolling Steal | Earthquake | Ghost Pull,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Defense > Defense | Keep > Keep
42,Fujimi Shikabane,Jerry Fulton,藤美,男 (Male),イナズマイレブン,選手 (Player),DF,MF,火 (Fire),Rough Play,Feint Play | Shadow Stitch | Phantom Shot,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Defense,Defense > Offense | Offense > Defense
43,Michihisa Reigen,Ray Mannings,霊幻,男 (Male),イナズマイレブン,選手 (Player),MF,DF,風 (Wind),Tension,Dust Kick | Ghost Pull | Shadow Stitch,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Shoot > Defense | Defense > Defense
44,Mami Kinoi,Robert Mayer,ミイラ,男 (Male),イナズマイレブン,選手 (Player),MF,DF,林 (Forest),Tension,Dust Kick | Ghost Pull | Spider Web,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Keep > Defense | Defense > Defense
45,Tataru Yatsuhaka,Alexander Brave,八墓,男 (Male),イナズマイレブン,選手 (Player),MF,DF,火 (Fire),Counter,Feint Dash | Shadow Stitch | Phantom Shot,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Shoot > Defense | Defense > Defense
46,Hiroyuki Yukoku,Johan Tassman,幽谷,男 (Male),イナズマイレブン,選手 (Player),FW,DF,林 (Forest),Rough Play,Bounce Shot | Phantom Shot | Astro Break,119.0,113.0,102.0,85.0,81.0,81.0,90.0,671,Shoot > Shoot,Shoot > Defense | Defense > Defense
47,Kenichi Tsukimura,Troy Moon,月村,男 (Male),イナズマイレブン,選手 (Player),MF,FW,火 (Fire),Bond,Heel Flick | Phantom Shot | Ghost Pull,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Shoot,Shoot > Offense | Shoot > Shoot
48,Kiba Burado,Burt Wolf,ブラッド,男 (Male),イナズマイレブン,選手 (Player),MF,DF,山 (Mountain),Rough Play,Dust Kick | Phantom Shot | Ghost Pull,97.0,113.0,114.0,85.0,81.0,81.0,101.0,672,Offense > Shoot,Defense > Offense | Defense > Defense
49,Matsuru Fushi,Rob Crombie,不死,男 (Male),イナズマイレブン,選手 (Player),GK,DF,山 (Mountain),Tension,Mighty Save | Warp Space | Sumo Stomp,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Keep,Defense > Keep | Defense > Defense
50,Gen Hitogata,Chuck Dollman,にんぎょう,男 (Male),イナズマイレブン,選手 (Player),FW,DF,林 (Forest),Rough Play,Curve Shot | Phantom Shot | Spider Web,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Shoot > Shoot,Defense > Offense | Defense > Defense
51,Michi Tsuburaya,Uxley Allen,円谷,男 (Male),イナズマイレブン,選手 (Player),FW,MF,風 (Wind),Breach,Bounce Shot | Ghost Pull | Astro Break,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Defense,Shoot > Shoot | Shoot > Offense
52,Noroi Kurogami,Phil Noir,黒上,男 (Male),イナズマイレブン,選手 (Player),FW,MF,林 (Forest),Bond,Power Shot | Ghost Pull | Deceptor Dribble,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Defense,Defense > Defense | Offense > Defense
53,Takao Makai,Mick Askley,魔界,男 (Male),イナズマイレブン,選手 (Player),MF,DF,林 (Forest),Bond,Crosscut Feint | Ghost Pull | Spider Web,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Defense,Defense > Defense | Defense > Defense
54,Haito Jikiru,Hekyll Jyde,地木流,男 (Male),イナズマイレブン,監督 (Manager),DF,FW,山 (Mountain),Rough Play,Curving Cut | Ghost Pull | Brutal Persona Mode,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Defense,Defense > Offense | Shoot > Shoot
56,Honori Chochin,Lanny Tern,提灯,女 (Female),イナズマイレブン,マネージャー (Coordinator),GK,MF,風 (Wind),Counter,Power Catch | Ultra Moon | Capable Hands,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Offense,Keep > Keep | Offense > Offense
57,Hyogo Inokuchi,Charlie Boardfield,イノシシ,男 (Male),イナズマイレブン,選手 (Player),GK,MF,火 (Fire),Rough Play,Power Catch | Table-Turner | Blazing Knuckle,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Keep,Offense > Keep | Offense > Defense
58,Ryota Torii,Hugo Tallgeese,ニワトリ,男 (Male),イナズマイレブン,選手 (Player),MF,FW,火 (Fire),Rough Play,Feint Dash | Dash Accelerator | Condor Dive,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Offense,Defense > Shoot | Shoot > Shoot
59,Takuto Uozumi,Wilson Fishman,サカナ,男 (Male),イナズマイレブン,選手 (Player),DF,MF,林 (Forest),Bond,Feint Play | Quick Draw | Spinning Cut,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Shoot > Offense | Offense > Defense
60,Tatsuhito Kaeruda,Peter Johnson,カエル,男 (Male),イナズマイレブン,選手 (Player),DF,MF,林 (Forest),Counter,Shoulder Tackle | Dash Accelerator | Killer Slide,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Offense,Defense > Defense | Shoot > Offense
61,Ko Shishio,Leonard O'Shea,ライオン,男 (Male),イナズマイレブン,選手 (Player),DF,MF,山 (Mountain),Rough Play,Cunning Pull | Super Armadillo | No Escape,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Shoot > Offense | Offense > Defense
62,Leon Kame,Cham Lion,カメレオン,男 (Male),イナズマイレブン,選手 (Player),MF,DF,風 (Wind),Breach,Nutmeg | Quick Draw | Afterimage,101.0,109.0,107.0,88.0,89.0,81.0,97.0,672,Offense > Defense,Shoot > Shoot | Defense > Defense
63,Seiji Owashi,Steve Eagle,ワシ,男 (Male),イナズマイレブン,選手 (Player),MF,FW,風 (Wind),Tension,Crosscut Feint | Condor Dive | Illusory Ball,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Shoot,Shoot > Shoot | Shoot > Shoot
64,Noboru Saruta,Bruce Monkey,サル,男 (Male),イナズマイレブン,選手 (Player),MF,FW,風 (Wind),Rough Play,Dust Kick | Monkey Turn | Tarzan Kick,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Offense,Defense > Offense | Shoot > Shoot
65,Shingo Gori,Gary Lancaster,ゴリラ,男 (Male),イナズマイレブン,選手 (Player),FW,MF,山 (Mountain),Bond,Curve Shot | Tarzan Kick | Super Armadillo,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Shoot,Shoot > Defense | Offense > Defense
66,Shoma Hebimaru,Harry Snake,ヘビ,男 (Male),イナズマイレブン,選手 (Player),FW,MF,林 (Forest),Breach,Low Drive | Zigzag Spark | Cross Drive,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Offense,Shoot > Offense | Offense > Defense
67,Chiita Suizenji,Adrian Speed,チーター,男 (Male),イナズマイレブン,選手 (Player),FW,MF,風 (Wind),Rough Play,Curve Shot | Flurry Dash | Tarzan Kick,119.0,113.0,102.0,85.0,81.0,81.0,90.0,671,Shoot > Offense,Shoot > Offense | Offense > Defense
68,Noboru Koara,Alan Coe,コアラ,男 (Male),イナズマイレブン,選手 (Player),MF,FW,林 (Forest),Justice,Feint Dash | Tarzan Kick | Monkey Turn,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Shoot,Shoot > Offense | Shoot > Shoot
69,Takeo Ban,Philip Anders,パンダ,男 (Male),イナズマイレブン,選手 (Player),FW,MF,火 (Fire),Breach,Chip Shot | Killer Slide | Dash Accelerator,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Shoot > Defense,Shoot > Shoot | Shoot > Offense
70,Kumami Araigawa,Rocky Rackham,アライグマ,男 (Male),イナズマイレブン,選手 (Player),DF,MF,林 (Forest),Justice,Curving Cut | Super Armadillo | Grenade Shot,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Shoot > Offense
71,Mitsuo Nezu,Matt Mouseman,ネズミ,男 (Male),イナズマイレブン,選手 (Player),MF,DF,山 (Mountain),Bond,Feint Dash | Fake Ball | Bewildered,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Shoot > Offense | Defense > Defense
72,Kuya Ushio,Chad Bullford,ウシ,男 (Male),イナズマイレブン,選手 (Player),GK,MF,火 (Fire),Tension,Power Catch | Toughness Block | Blazing Knuckle,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Keep,Keep > Keep | Offense > Defense
73,Kosuke Tazan,Harry Savage,他山 (Mountain),男 (Male),イナズマイレブン,監督 (Manager),MF,DF,風 (Wind),Justice,Nutmeg | Blade Attack | Aikido,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
74,Minko Fura,Flammie Gonzalez,富良,女 (Female),イナズマイレブン,マネージャー (Coordinator),FW,MF,火 (Fire),Justice,Chip Shot | Ultra Moon | Dough Ray Me,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Shoot > Offense,Shoot > Shoot | Offense > Offense
75,Takeshi Sugimori,Thomas Feldt,威,男 (Male),イナズマイレブン,選手 (Player),GK,MF,林 (Forest),Counter,Power Catch | Rocket Kobushi | Shot Pocket,85.0,93.0,88.0,95.0,103.0,109.0,94.0,667,Keep > Keep,Keep > Keep | Offense > Defense
77,Yu Hiroyama,Harry Leading,誘,男 (Male),イナズマイレブン,選手 (Player),DF,MF,風 (Wind),Breach,Feint Play | Patriot Shot | Thief's Eye,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Shoot,Defense > Offense | Shoot > Offense
79,Tsuyoshi Hanaoka,Terry Stronger,強,男 (Male),イナズマイレブン,選手 (Player),DF,FW,火 (Fire),Justice,Feint Play | Volcano Cut | Future Eye,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Shoot > Defense | Shoot > Shoot
81,Kyo Murobushi,Philip Marvel,恐,男 (Male),イナズマイレブン,選手 (Player),DF,MF,山 (Mountain),Breach,Curving Cut | Quick Draw | Slice and Dice,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Defense,Shoot > Defense | Offense > Defense
83,Nori Inada,Noel Good,則,男 (Male),イナズマイレブン,選手 (Player),DF,MF,林 (Forest),Rough Play,Rolling Steal | Perimeter Zone | Earthquake,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Defense,Defense > Defense | Offense > Defense
85,Iwao Terakawa,Tyron Rock,巌,男 (Male),イナズマイレブン,選手 (Player),MF,FW,火 (Fire),Counter,Deceptive Step | Patriot Shot | Hey Presto,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Shoot,Offense > Shoot | Shoot > Shoot
87,Kei Fujimaru,Francis Tell,啓,男 (Male),イナズマイレブン,選手 (Player),MF,FW,林 (Forest),Bond,Heel Flick | Shadow Stitch | Illusory Ball,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Shoot > Offense | Shoot > Shoot
89,Baku Sango,Samuel Buster,暴,男 (Male),イナズマイレブン,選手 (Player),MF,FW,火 (Fire),Bond,Deceptive Step | Grenade Shot | Scorching Tackle,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Shoot,Shoot > Shoot | Shoot > Shoot
91,Seri Yamagishi,Jonathan Seller,迫,男 (Male),イナズマイレブン,選手 (Player),FW,MF,風 (Wind),Justice,Curve Shot | Fire Tornado | Clone Faker,119.0,113.0,102.0,85.0,81.0,81.0,90.0,671,Shoot > Shoot,Offense > Offense | Offense > Defense
93,Shin Obe,Victor Kind,信,男 (Male),イナズマイレブン,選手 (Player),MF,FW,林 (Forest),Bond,Dust Kick | Twin Boost | Shadow Stitch,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Shoot,Offense > Defense | Shoot > Shoot
95,Arata Shimozuru,Neil Turner,改,男 (Male),イナズマイレブン,選手 (Player),FW,MF,火 (Fire),Tension,Bounce Shot | Patriot Shot | Fire Tornado,119.0,113.0,102.0,85.0,81.0,81.0,90.0,671,Shoot > Shoot,Shoot > Defense | Shoot > Offense
96,Arata Shimozuru,Neil Turner,改,男 (Male),イナズマイレブン,選手 (Player),FW,?,火 (Fire),#N/A,#N/A,?,?,?,?,?,?,?,0,#N/A,#N/A
97,Toboshi Mashimo,Reg Underwood,真下,男 (Male),イナズマイレブン,選手 (Player),GK,MF,林 (Forest),Tension,Power Catch | Shot Pocket | Rocket Kobushi,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Keep,Keep > Keep | Offense > Defense
99,Shizuka Tsuzuki,Patrick Stiller,都築,男 (Male),イナズマイレブン,選手 (Player),MF,FW,風 (Wind),Tension,Feint Dash | Quick Draw | Freeze Shot,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Shoot | Shoot > Shoot
101,Jin Hirao,Charles Oughtry,平生,男 (Male),イナズマイレブン,選手 (Player),MF,FW,山 (Mountain),Breach,Crosscut Feint | Flurry Dash | Patriot Shot,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Offense,Offense > Shoot | Shoot > Shoot
103,So Nagatomo,Clive Mooney,長友,男 (Male),イナズマイレブン,選手 (Player),FW,MF,火 (Fire),Rough Play,Bounce Shot | Patriot Shot | Killer Slide,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Shoot,Shoot > Offense | Shoot > Offense
104,Nashi Mizubuchi,Neil Waters,水淵,男 (Male),イナズマイレブン,選手 (Player),DF,FW,林 (Forest),Justice,Shoulder Tackle | Sumo Stomp | Patriot Shot,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Defense,Defense > Defense | Shoot > Shoot
106,Shinichiro Toyama,Newton Thomas,富山 (Mountain),男 (Male),イナズマイレブン,監督 (Manager),MF,DF,林 (Forest),Counter,Feint Dash | Asteroid Belt | Matador Feint,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
107,So Aidoru,Sam Idol,アイドル,男 (Male),イナズマイレブン,選手 (Player),GK,MF,山 (Mountain),Tension,Strong Punch | Sliding Goal | Toughness Block,85.0,93.0,88.0,95.0,103.0,109.0,94.0,667,Keep > Keep,Keep > Keep | Offense > Defense
108,Tetsuo Sujimichi,Marcus Train,てっちゃん,男 (Male),イナズマイレブン,選手 (Player),DF,MF,火 (Fire),Rough Play,Cunning Pull | Fake Ball | Zigzag Spark,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Shoot > Defense | Offense > Defense
109,Raito Noberu,Light Nobel,ノベル,男 (Male),イナズマイレブン,選手 (Player),MF,DF,林 (Forest),Justice,Crosscut Feint | Fake Ball | Utter Gutsiness Bat,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
110,Hideo Muteki,Walter Valiant,ヒーロー,男 (Male),イナズマイレブン,選手 (Player),MF,FW,火 (Fire),Counter,Dust Kick | Fake Ball | Afterimage,97.0,113.0,114.0,85.0,81.0,81.0,101.0,672,Offense > Defense,Offense > Shoot | Shoot > Shoot
111,So Karisawa,Spencer Gates,コスプレ,男 (Male),イナズマイレブン,選手 (Player),DF,MF,山 (Mountain),Rough Play,Cunning Pull | Utter Gutsiness Bat | Fake Ball,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Shoot,Defense > Defense | Shoot > Offense
112,Itsuki Onra,Josh Spear,オンライン,男 (Male),イナズマイレブン,選手 (Player),FW,MF,林 (Forest),Justice,Power Shot | Bewildered | Ghost Pull,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Offense,Defense > Offense | Shoot > Offense
