Name,Type,Element,Passive,Hissatsu Name,Hissatsu Type,Hissatsu Element,Power
Prehistoric Chieftain Jagwarrior,Keshin,風 (Wind),"When a player of the same element is nearby, Own Focus AT & DF +20%",Hunter's Spear,Defense,風 (Wind),100.0
Sovereign of the Skies Feng-Huang,Keshin,火 (Fire),"When outside the zone, Own Scramble AT & DF +20%",Firebird Flight,Shoot,火 (Fire),100.0
Goddess of Just Warfare Athene,Keshin,風 (Wind),"When making a pass, Team Bond Power +50%",Athenian Assault,Shoot,風 (Wind),100.0
Cursed Wolf Lycaon,Keshin,林 (Forest),"On the opposition's half of the pitch, Own Focus AT & DF +15%",Forked Edge,Offense,林 (Forest),100.0
Prince of the Astral Plane Zodiac,Keshin,山 (Mountain),Team Dash Foul Rate -15%,Crimson Prison,Shoot,山 (Mountain),100.0
Warrior of the North Xuan-Wu,Keshin,山 (Mountain),"For nearby players, Castle Wall DF +10%",Tortoise Shell,Defense,山 (Mountain),100.0
Man-Made Monster Plasma Shadow GK,Keshin,林 (Forest),Team Tension Breach Cost -20%,Shadow Hand,Keep,林 (Forest),85.0
Man-Made Monster Plasma Shadow SH,Keshin,火 (Fire),"When a player of a different element is nearby, Own Shot AT +20%",Shadow Kick,Shoot,火 (Fire),85.0
Barbaric Beast of the Abyss Atlanticus,Keshin,風 (Wind),Team Tension Breach Cost -20%,Gigabite Geyser,Keep,風 (Wind),100.0
Star-Crossed Souls The Lovers ♀,Keshin,風 (Wind),"On your half of the pitch, Team Focus AT & DF +10%",Heart's Desire,Shoot,風 (Wind),100.0
Star-Crossed Souls The Lovers ♂,Keshin,山 (Mountain),"On the opposition's half of the pitch, Team Focus AT & DF +10%",Heart's Desire,Shoot,山 (Mountain),100.0
Bob-Tailed Bombshell Loverette,Keshin,林 (Forest),"When making a pass, Team Bond Power +50%",Stop it Poppet,Keep,林 (Forest),100.0
Lord of Daemons Evera,Keshin,山 (Mountain),Team Tension Breach Cost -20%,Mortal Smash,Shoot,山 (Mountain),100.0
Sacred Serpent White Wyvern,Keshin,風 (Wind),"For players of the same position, Shot AT +10%",White Breath,Shoot,風 (Wind),100.0
Man-Made Monster Plasma Shadow AT,Keshin,山 (Mountain),"When a player of a different element is nearby, Own Focus AT & DF +20%",Shadow Sword,Offense,山 (Mountain),85.0
Sacred Lance Clearbunny,Keshin,火 (Fire),"For players of the same position, Shot AT +10%",Shadow Empress,Shoot,火 (Fire),100.0
Entertainer,Keshin,林 (Forest),"For players of different positions, Focus AT & DF +10%",Dazzling Carnival,Offense,林 (Forest),100.0
Wall Titan Warborg,Keshin,山 (Mountain),Team Tension Breach Cost -20%,Fortress of Despair,Defense,山 (Mountain),100.0
The Victory Genie Majin,Keshin,火 (Fire),"When a player of a different element is nearby, Own Shot AT +20%",Meteoric Fire Tornado V,Shoot,火 (Fire),100.0
Heavenly Horse Arch Pegasus,Keshin,風 (Wind),"When a player of a different element is nearby, Own Focus AT & DF +20%",Pegasus Punch,Shoot,風 (Wind),100.0
Lord of Birds and Beasts Griffin,Keshin,火 (Fire),"On the opposition's half of the pitch, Team Focus AT & DF +10%",Flamberge,Shoot,火 (Fire),100.0
Holy Sword Paladin Arthur,Keshin,無 (Void),"For players of different elements, Shot AT +10%",Caliburn,Shoot,無 (Void),100.0
Sorceress of the Dawn Amaterasu,Keshin,火 (Fire),"When a player of the same element is nearby, Own Focus AT & DF +20%",Aurora Arrow,Defense,火 (Fire),100.0
The Great Genie Majin,Keshin,山 (Mountain),Save rate +5%,Majin the Great,Keep,山 (Mountain),100.0
Bond Transform,?,,Own AT/DF +10% | Transforms into an ally player on the field (Copies a portion(?) of stats and moves),,,,
Fiery Hellhound Direwolf,Keshin,火 (Fire),"On the opposition's half of the pitch, Team Focus AT & DF +10%",Burning Claws,Offense,火 (Fire),100.0
Midnight Sun-Bringer Glenr,Keshin,山 (Mountain),"On your half of the pitch, Team Focus AT & DF +15%",Demon's Bolt,Offense,山 (Mountain),100.0
Discordian Witch Eris,Keshin,風 (Wind),"On the opposition's half of the pitch, Team Focus AT & DF +10%",Sordid Thorns,Defense,風 (Wind),100.0
Wolf Totem,Totem,火 (Fire),,Wolf Strike,Shoot,火 (Fire),100.0
Falcon Totem,Totem,風 (Wind),,Falcon Glide,Shoot,風 (Wind),100.0
Lion Totem,Totem,林 (Forest),,Lion Assault,Shoot,林 (Forest),100.0
Gooma Totem,Totem,火 (Fire),,Gooma Inferno,Shoot,火 (Fire),100.0
Doruga Totem,Totem,火 (Fire),,Doruga Assault,Shoot,火 (Fire),100.0
Belion Totem,Totem,風 (Wind),,Belion Whip,Shoot,風 (Wind),100.0
Ixaal Totem,Totem,風 (Wind),,Ixaal Canon,Shoot,風 (Wind),100.0
Begiran Totem,Totem,無 (Void),,Begiran Whip,Shoot,無 (Void),100.0
Dragnova Totem,Totem,無 (Void),,Dragnova Strike,Shoot,無 (Void),100.0
Goliger Totem,Totem,山 (Mountain),,Goliger Assault,Shoot,山 (Mountain),100.0
Silver Wolf Totem,Totem,林 (Forest),,Silver Wolf Strike,Shoot,林 (Forest),100.0
Bald Eagle Totem,Totem,山 (Mountain),,Bald Eagle Glide,Shoot,山 (Mountain),100.0
Pelion Totem,Totem,風 (Wind),,Pelion Whip,Shoot,風 (Wind),100.0
Vairaas Totem,Totem,山 (Mountain),,Vairaas Canon,Shoot,山 (Mountain),100.0
Horse Totem,Totem,風 (Wind),,Horse Sprint,Offense,風 (Wind),100.0
Dohma Totem,Totem,山 (Mountain),,Dohma Driller,Offense,山 (Mountain),100.0
Peacock Totem,Totem,林 (Forest),,Peacock Radiance,Offense,林 (Forest),100.0
Serow Totem,Totem,風 (Wind),,Serow Cabriole,Offense,風 (Wind),100.0
Grizzly Totem,Totem,山 (Mountain),,Grizzly Smash,Offense,山 (Mountain),100.0
Phoenichias Totem,Totem,風 (Wind),,Phoenichias Radiance,Offense,風 (Wind),100.0
Gusfii Totem,Totem,山 (Mountain),,Gusfii Bomb,Offense,山 (Mountain),100.0
Redio Totem,Totem,無 (Void),,Redio Cabriole,Offense,無 (Void),100.0
Gryphbang Totem,Totem,無 (Void),,Gryphbang Smash,Offense,無 (Void),100.0
Univolt Totem,Totem,火 (Fire),,Univolt Sprint,Offense,火 (Fire),100.0
Pamerio Totem,Totem,林 (Forest),,Pamerio Cabriole,Offense,林 (Forest),100.0
Brachias Totem,Totem,火 (Fire),,Brachias Radiance,Offense,火 (Fire),100.0
Moon Bear Totem,Totem,火 (Fire),,Moon Bear Smash,Offense,火 (Fire),100.0
Zooma Totem,Totem,林 (Forest),,Zooma Driller,Offense,林 (Forest),100.0
Crimson Pegasus Totem,Totem,火 (Fire),,Crimson Pegasus Charge,Offense,火 (Fire),100.0
Pegasus Totem,Totem,風 (Wind),,Pegasus Charge,Offense,風 (Wind),100.0
Fox Totem,Totem,林 (Forest),,Fox Mirage,Defense,林 (Forest),100.0
Horned Owl Totem,Totem,風 (Wind),,Horned Owl Swipe,Defense,風 (Wind),100.0
Buffalo Totem,Totem,火 (Fire),,Buffalo Crusher,Defense,火 (Fire),100.0
Ratel Totem,Totem,風 (Wind),,Ratel Claw,Defense,風 (Wind),100.0
Gandoran Totem,Totem,山 (Mountain),,Gandoran Crusher,Defense,山 (Mountain),100.0
Kulupe Totem,Totem,無 (Void),,Kulupe Claw,Defense,無 (Void),100.0
Flamey Totem,Totem,火 (Fire),,Flamey Mirage,Defense,火 (Fire),100.0
Dandrol Totem,Totem,林 (Forest),,Dandrol Crusher,Defense,林 (Forest),100.0
Owl Totem,Totem,山 (Mountain),,Owl Swipe,Defense,山 (Mountain),100.0
Gyorom Totem,Totem,火 (Fire),,Gyorom Claw,Defense,火 (Fire),100.0
Mammoth Totem,Totem,風 (Wind),,Mammoth Stomp,Keep,風 (Wind),100.0
Gorius Totem,Totem,火 (Fire),,Gorius Swing,Keep,火 (Fire),100.0
Gigiras Totem,Totem,無 (Void),,Gigiras Shield,Keep,無 (Void),100.0
Magnatas Totem,Totem,火 (Fire),,Magnatas Stomp,Keep,火 (Fire),100.0
Dolmega Totem,Totem,山 (Mountain),,Dolmega Stomp,Keep,山 (Mountain),100.0
Grimron Totem,Totem,山 (Mountain),,Grimron Shield,Keep,山 (Mountain),100.0
Gyrius Totem,Totem,林 (Forest),,Gyrius Bounce,Defense,林 (Forest),100.0
Delpinus Totem,Totem,林 (Forest),,Delphinus Sonar,Keep,林 (Forest),100.0
Garius Totem,Totem,山 (Mountain),,Garius Bounce,Defense,山 (Mountain),100.0
Mossfii Totem,Totem,林 (Forest),,Mossfii Burst,Keep,林 (Forest),100.0
Angydra Totem,Totem,風 (Wind),,Angydra Combo,Keep,風 (Wind),100.0
Saranarja Totem,Totem,林 (Forest),,Saranarja Combo,Keep,林 (Forest),100.0
Jewelled Dragon Cychr,Keshin,林 (Forest),"On your half of the pitch, Own Focus AT & DF +10%",The Tempest,Offense,林 (Forest),100.0
Bringer of Dreams Sand Man,Keshin,林 (Forest),"When outside the zone, Own Scramble AT & DF +20%",Magician's Box,Shoot,林 (Forest),100.0
Hunter of Glory Asura,Keshin,山 (Mountain),"When a player of a different element is nearby, Own Shot AT +20%",Firebird Flight,Shoot,火 (Fire),100.0
Lady of Artifice Metis,Keshin,火 (Fire),"For players of different positions, Focus AT & DF +10%",Athenian Assault,Shoot,風 (Wind),100.0
Silver-Tempered Queen Argentia,Keshin,林 (Forest),"For nearby players, Scramble AT & DF +10%",Icicle Road,Shoot,風 (Wind),100.0
Crown Prince of Chaos Ashtaroth,Keshin,火 (Fire),"When a player of the same element is nearby, Own Shot AT +20%",Crimson Prison,Shoot,山 (Mountain),100.0
Heavenly Horse Arch Pegasus Red,Keshin,風 (Wind),"When a player of a different element is nearby, Own Focus AT & DF +20%",Pegasus Punch,Shoot,風 (Wind),100.0
Feathers of Flames Firebird,Keshin,火 (Fire),"On your half of the pitch, Team Focus AT & DF +15%",Thunderclaw,Shoot,風 (Wind),100.0
Ferocious Bird of Fable Roc,Keshin,風 (Wind),"On the opposition's half of the pitch, Team Focus AT & DF +10%",Roc and Roll,Shoot,山 (Mountain),100.0
King of Beasts Leon,Keshin,山 (Mountain),"On your half of the pitch, Team Focus AT & DF +10%",Back Slash,Offense,山 (Mountain),100.0
Femme Fatale Sirena,Keshin,火 (Fire),"On the opposition's half of the pitch, Team Focus AT & DF +15%",Black Briars,Offense,林 (Forest),100.0
Faster Than Light Tachyon,Keshin,火 (Fire),"On the opposition's half of the pitch, Team Focus AT & DF +15%",Hyperdrive,Offense,風 (Wind),100.0
Warrior of the East Qinglong,Keshin,林 (Forest),"For nearby players, Focus AT & DF +10%",The Tempest,Offense,林 (Forest),100.0
Warrior of the West Baihu,Keshin,風 (Wind),"For nearby players, Scramble AT & DF +10%",Forked Edge,Offense,林 (Forest),100.0
Leonine Warlord Khmet,Keshin,山 (Mountain),"For players of the same position, Shot AT +10%",Back Slash,Offense,山 (Mountain),100.0
Frenzied Fighter Berserker,Keshin,林 (Forest),"For nearby players, Castle Wall DF +10%",Dragon Storm,Defense,風 (Wind),100.0
Winged Serpent Kukulkan,Keshin,風 (Wind),"When winning a Focus or Scramble Battle, Team Tension +10%",Feather Duster,Defense,風 (Wind),100.0
Warrior of the South Zhuque,Keshin,火 (Fire),"For players of the same position, Focus AT & DF +10%",Feather Duster,Defense,風 (Wind),100.0
Grand Inquisitor Judge,Keshin,林 (Forest),"For nearby players, Castle Wall DF +10%",Grand Finale,Defense,林 (Forest),100.0
Shadow Shooter Trigger,Keshin,火 (Fire),"For nearby players, Castle Wall DF +10%",Scattershot,Defense,火 (Fire),100.0
Duke of Doom Demongorgon,Keshin,林 (Forest),"For nearby players, Shot AT +10%",Inferno Fist,Keep,林 (Forest),100.0
Infernal Dragon Lord Koro-Koro-Gon,Keshin,火 (Fire),Team Tension Breach Cost -20%,Crimson Sphere,Keep,火 (Fire),100.0
Capricious Trickster Serendipity,Keshin,火 (Fire),"When making a pass, Team Bond Power +50%",Lucky Dice,Keep,林 (Forest),100.0
Patron Saint of Swots The Stationer,Keshin,林 (Forest),"When winning a Focus or Scramble Battle, Team Tension +10%",Superior Crayon Power,Keep,林 (Forest),100.0
The Undying Warden Arges,Keshin,風 (Wind),"When making a pass, Team Bond Power +50%",Inferno Fist,Keep,火 (Fire),100.0
Foxy Mischief-Maker Daji,Keshin,風 (Wind),"When making a pass, Team Bond Power +50%",Stop it Poppet,Keep,林 (Forest),100.0
Wise Monarch Black King,Keshin,火 (Fire),"When making a pass, Team Bond Power +50%",Crown Fire,Keep,火 (Fire),100.0
High Roller Las Vega,Keshin,風 (Wind),"When a player of the same element is nearby, Own Focus AT & DF +20%",Lucky Dice,Keep,林 (Forest),100.0
Divine Messenger Black Bishop,Keshin,林 (Forest),"For nearby players, Castle Wall DF +10%",Dark Space,Defense,林 (Forest),85.0
Watchtower Sentinel Black Rook,Keshin,山 (Mountain),"On your half of the pitch, Team Focus AT & DF +10%",Titanic Slam,Defense,山 (Mountain),100.0
"Front-Line Fighter, Black Pawn",Keshin,火 (Fire),"On the opposition's half of the pitch, Own Scramble AT & DF +15%",Rat-a-Tat Pass,Offense,火 (Fire),85.0
Armoured Cavalry Black Knight,Keshin,山 (Mountain),"For players of the same positions, Shot AT +10%",Destrier Charge,Shoot,山 (Mountain),85.0
Royal Enchantress Black Queen,Keshin,林 (Forest),Team Breach Rate +10%,Checkmate,Shoot,林 (Forest),85.0
Dolphanus Totem,Totem,風 (Wind),,Dolphanus Splash,Defense,風 (Wind),100.0
Dalphonus Totem,Totem,火 (Fire),,Dalphonus Sonar,Keep,火 (Fire),100.0
Kosfii Totem,Totem,風 (Wind),,Kosfii Burst,Keep,風 (Wind),100.0
Cerbegyra Totem,Totem,山 (Mountain),,Cerbegyra Combo,Keep,山 (Mountain),100.0
