Name,Japanese Name,Element,Power,Tension,Type,Sub-Type,Shop 1,Shop 2,Duration (s)
Solar Surprise,クレイジーサンライト,火 (Fire),60.0,60,Defense,,Chronicle Department Store,,
Great Wall,ビバ！万里の長城,山 (Mountain),60.0,60,Defense,Shoot Block,Chronicle Department Store,,6.22
Mystic Mist,ディープミスト,林 (Forest),70.0,70,Defense,Shoot Block,Chronicle Department Store,,7.2
Wall of Atlantis,アトランティスウォール,山 (Mountain),70.0,70,Defense,Shoot Block,Chronicle Department Store,,6.96
Goopy Gloopy Goo,もちもち黄粉餅,火 (Fire),60.0,60,Defense,Shoot Block,Chronicle Department Store,,5.82
God Hand,ゴッドハンド,山 (Mountain),60.0,60,Keep,,Chronicle Department Store,,6.84
Sliding Goal,ゴールずらし,山 (Mountain),60.0,60,Keep,,Chronicle Department Store,,4.09
Tsunami Wall,つなみウォール,風 (Wind),70.0,70,Keep,,Chronicle Department Store,,5.32
Majin the Hand,マジン・ザ・ハンド,山 (Mountain),85.0,80,Keep,,Chronicle Department Store,,6.01
Infinite Wall,無限の壁,山 (Mountain),85.0,80,Keep,,Chronicle Department Store,,6.81
Mugen the Hand,ムゲン・ザ・ハンド,林 (Forest),85.0,80,Keep,,Chronicle Department Store,,9.08
Wormhole,ワームホール,林 (Forest),70.0,70,Keep,,Chronicle Department Store,,5.77
Procyon Net,プロキオンネット,風 (Wind),70.0,70,Keep,,Chronicle Department Store,,6.31
Fist of Justice,正義の鉄拳,風 (Wind),70.0,70,Keep,,Chronicle Department Store,,7.51
Majin the Hand,マジン・ザ・ハンド,林 (Forest),85.0,80,Keep,,Chronicle Department Store,,6.01
God Hand,ゴッドハンド,林 (Forest),60.0,60,Keep,,Chronicle Department Store,,6.84
Dimensional Hand,イジゲン・ザ・ハンド,林 (Forest),70.0,70,Keep,,Chronicle Department Store,,5.58
Hammer of Fury,怒りの鉄槌,山 (Mountain),70.0,70,Keep,,Chronicle Department Store,,6.71
Combustion Catch,バーニングキャッチ,火 (Fire),50.0,50,Keep,,Chronicle Department Store,,5.79
God Hand V,ゴッドハンドＶ,山 (Mountain),85.0,80,Keep,,Chronicle Department Store,,6.05
Meteor Attack,,火 (Fire),50.0,50.0,Shoot,,Chronicle Department Store,,
Mermaid Smash,,風 (Wind),50.0,60.0,Shoot,,Chronicle Department Store,,
Driving Header,,山 (Mountain),50.0,50.0,Shoot,Long Shoot,Chronicle Department Store,,
Rapid Fire,,火 (Fire),50.0,50.0,Shoot,Long Shoot,Chronicle Department Store,,
Dynamite Shot,,火 (Fire),60.0,60.0,Shoot,,Chronicle Department Store,,
Gyro Head,,山 (Mountain),60.0,60.0,Shoot,,Chronicle Department Store,,
Utter Gutsiness Club,,山 (Mountain),70.0,70.0,Shoot,Long Shoot,Chronicle Department Store,,
Gigaton Head,,山 (Mountain),70.0,70.0,Shoot,,Chronicle Department Store,,
Flower Plower,,山 (Mountain),85.0,80.0,Shoot,,Chronicle Department Store,,
Parkour Power,,風 (Wind),70.0,70.0,Shoot,,Chronicle Department Store,,
Bicycle Slash,,無 (Void),70.0,70.0,Shoot,Long Shoot,Chronicle Department Store,,
Kabuki Break,,林 (Forest),70.0,80.0,Shoot,,Chronicle Department Store,,
Land Dragon,,山 (Mountain),70.0,70.0,Shoot,,Chronicle Department Store,,
Entropic Arrows,,無 (Void),85.0,90.0,Shoot,,Chronicle Department Store,,
Majestic Radiance,,風 (Wind),85.0,90.0,Shoot,,Chronicle Department Store,,
Volcanic Rock,,火 (Fire),85.0,80.0,Shoot,Long Shoot,Chronicle Department Store,,
Neo Galaxy,,火 (Fire),100.0,100.0,Shoot,,Chronicle Department Store,,
Solar Nexus,,火 (Fire),85.0,80.0,Shoot,,Chronicle Department Store,,
Bloodsucker Bite,,山 (Mountain),100.0,100.0,Shoot,,Chronicle Department Store,,
Stargazer,,風 (Wind),100.0,100.0,Shoot,,Chronicle Department Store,,
Orbital Drive,,風 (Wind),100.0,100.0,Shoot,,Chronicle Department Store,,
The Galaxy,,火 (Fire),100.0,100.0,Shoot,,Chronicle Department Store,,
Black Magic,,林 (Forest),50.0,50.0,Offense,,Chronicle Department Store,,
Attack Scan,,林 (Forest),50.0,50.0,Offense,,Chronicle Department Store,,
Ribbon Shower,,風 (Wind),50.0,60.0,Offense,,Chronicle Department Store,,
Flame Veil,,火 (Fire),50.0,60.0,Offense,,Chronicle Department Store,,
Grand Slam,,火 (Fire),50.0,60.0,Offense,,Chronicle Department Store,,
Burning Bomb,,火 (Fire),50.0,50.0,Offense,,Chronicle Department Store,,
Whirlwind Cut,,風 (Wind),60.0,60.0,Offense,,Chronicle Department Store,,
Warp Drive,,林 (Forest),60.0,60.0,Offense,,Chronicle Department Store,,
Menacing Glare,,山 (Mountain),60.0,60.0,Offense,,Chronicle Department Store,,
Gale Dash,,火 (Fire),70.0,70.0,Offense,,Chronicle Department Store,,
Low Scythe Slice,,林 (Forest),70.0,70.0,Offense,,Chronicle Department Store,,
Dual Pass,,林 (Forest),70.0,70.0,Offense,,Chronicle Department Store,,
Hydro Flow,,風 (Wind),85.0,80.0,Offense,,Chronicle Department Store,,
Look! UFO,,林 (Forest),85.0,80.0,Offense,,Chronicle Department Store,,
Boost Glider,,火 (Fire),70.0,70.0,Offense,,Chronicle Department Store,,
Jackknife,,風 (Wind),100.0,100.0,Offense,,Chronicle Department Store,,
Atlas Sword,,山 (Mountain),100.0,100.0,Offense,,Chronicle Department Store,,
Psi Arrow,,林 (Forest),100.0,100.0,Offense,,Chronicle Department Store,,
Doppelganger,,林 (Forest),50.0,50.0,Defense,,Chronicle Department Store,,
Killer Whale,,風 (Wind),50.0,60.0,Defense,,Chronicle Department Store,,
Defence Equation,,風 (Wind),50.0,50.0,Defense,,Chronicle Department Store,,
Power Charge,,山 (Mountain),60.0,60.0,Defense,,Chronicle Department Store,,
Divine Stamp,,火 (Fire),70.0,70.0,Defense,Shoot Block,Chronicle Department Store,,
Dual Storm,,林 (Forest),70.0,70.0,Defense,,Chronicle Department Store,,
Ground Quake,,山 (Mountain),85.0,85.0,Defense,Shoot Block,Chronicle Department Store,,
Trina Tumble,,林 (Forest),70.0,70.0,Defense,,Chronicle Department Store,,
Warsaw,,火 (Fire),85.0,80.0,Defense,,Chronicle Department Store,,
Jungle Jam,,林 (Forest),100.0,100.0,Defense,Shoot Block,Chronicle Department Store,,
Bindweed,,林 (Forest),100.0,100.0,Defense,,Chronicle Department Store,,
Stealth Step,,風 (Wind),100.0,100.0,Defense,,Chronicle Department Store,,
Phalanx,,山 (Mountain),100.0,100.0,Defense,,Chronicle Department Store,,
Pressure Punch,,火 (Fire),50.0,50.0,Keep,,Chronicle Department Store,,
Tornado Catch,,風 (Wind),50.0,50.0,Keep,,Chronicle Department Store,,
Killer Blade,,林 (Forest),50.0,50.0,Keep,,Chronicle Department Store,,
Ultrasonic,,林 (Forest),50.0,60.0,Keep,,Chronicle Department Store,,
Aurora Curtain,,風 (Wind),60.0,50.0,Keep,,Chronicle Department Store,,
Counter Strike,,火 (Fire),70.0,70.0,Keep,,Chronicle Department Store,,
Clone Block,,林 (Forest),85.0,80.0,Keep,,Chronicle Department Store,,
Volcano Head,,火 (Fire),85.0,80.0,Keep,,Chronicle Department Store,,
Psychlone,,林 (Forest),100.0,100.0,Keep,,Chronicle Department Store,,
Bounce Handler,,林 (Forest),100.0,100.0,Keep,,Chronicle Department Store,,
Dragon Rage Dunk,,風 (Wind),100.0,100.0,Keep,,Chronicle Department Store,,
Eiffel Tower,,山 (Mountain),50.0,50.0,Shoot,,Chronicle Department Store,,
Headbanger,,火 (Fire),50.0,50.0,Shoot,,Chronicle Department Store,,
Golden Gull,,火 (Fire),60.0,60.0,Shoot,,Chronicle Department Store,,
Rabbit Run,,林 (Forest),60.0,60.0,Shoot,,Chronicle Department Store,,
Clone Death Zone,,林 (Forest),70.0,70.0,Shoot,,Chronicle Department Store,,
Ninja Toad,,山 (Mountain),70.0,70.0,Shoot,,Chronicle Department Store,,
Fire Lemonade,,林 (Forest),70.0,70.0,Shoot,,Chronicle Department Store,,
Celestial Saw,,風 (Wind),70.0,70.0,Shoot,Long Shoot,Chronicle Department Store,,
Cold Front,,風 (Wind),70.0,70.0,Shoot,,Chronicle Department Store,,
Zigzag Zoom,,風 (Wind),70.0,70.0,Shoot,,Chronicle Department Store,,
The Detonator,,林 (Forest),85.0,80.0,Shoot,,Chronicle Department Store,,
Daruma Boomer,,火 (Fire),85.0,80.0,Shoot,,Chronicle Department Store,,
Perfect Penguin,,林 (Forest),85.0,80.0,Shoot,,Chronicle Department Store,,
Cross Fire,,風 (Wind),100.0,100.0,Shoot,,Chronicle Department Store,,
Seal Matrix,,山 (Mountain),50.0,50.0,Offense,,Chronicle Department Store,,
Divine Dummy,,林 (Forest),50.0,50.0,Offense,,Chronicle Department Store,,
Bewilder Blast,,山 (Mountain),60.0,60.0,Offense,,Chronicle Department Store,,
Invisible Fake,,山 (Mountain),60.0,60.0,Offense,,Chronicle Department Store,,
Mole Shuffle,,山 (Mountain),60.0,60.0,Offense,,Chronicle Department Store,,
Sub-Terfuge,,山 (Mountain),60.0,60.0,Offense,,Chronicle Department Store,,
Pyroclastic,,火 (Fire),60.0,60.0,Offense,,Chronicle Department Store,,
Triple Dash,,山 (Mountain),70.0,70.0,Offense,,Chronicle Department Store,,
Warp Step,,無 (Void),70.0,70.0,Offense,,Chronicle Department Store,,
Sparky Spin,,火 (Fire),85.0,80.0,Offense,,Chronicle Department Store,,
Supreme Spin,,火 (Fire),60.0,60.0,Defense,Shoot Block,Chronicle Department Store,,
Defence Scan,,林 (Forest),60.0,60.0,Defense,,Chronicle Department Store,,
Card Shark,,火 (Fire),60.0,60.0,Defense,Shoot Block,Chronicle Department Store,,
Yo-Yo Ball,,林 (Forest),60.0,60.0,Defense,,Chronicle Department Store,,
Whale Guard,,風 (Wind),60.0,60.0,Defense,,Chronicle Department Store,,
Mega Wall,,山 (Mountain),60.0,60.0,Defense,Shoot Block,Chronicle Department Store,,
Road Roller,,山 (Mountain),60.0,60.0,Defense,Shoot Block,Chronicle Department Store,,
Stone Wall,,林 (Forest),60.0,60.0,Defense,Shoot Block,Chronicle Department Store,,
Mad Express,,火 (Fire),70.0,70.0,Defense,,Chronicle Department Store,,
Logicstical Sync,,風 (Wind),70.0,70.0,Defense,,Chronicle Department Store,,
Containment Field,,林 (Forest),85.0,80.0,Defense,,Chronicle Department Store,,
Mistral,,風 (Wind),50.0,50.0,Keep,,Chronicle Department Store,,
Claw Slash,,林 (Forest),50.0,50.0,Keep,,Chronicle Department Store,,
Card Protector,,山 (Mountain),60.0,60.0,Keep,,Chronicle Department Store,,
Shot Trap,,火 (Fire),60.0,60.0,Keep,,Chronicle Department Store,,
Close Counter,,火 (Fire),60.0,60.0,Keep,,Chronicle Department Store,,
Triple God Hand,,火 (Fire),70.0,70.0,Keep,,Chronicle Department Store,,
Desecrater,,山 (Mountain),70.0,70.0,Keep,,Chronicle Department Store,,
Savage Beast Fang,,火 (Fire),70.0,70.0,Keep,,Chronicle Department Store,,
Lunar Eclipse,,林 (Forest),85.0,80.0,Keep,,Chronicle Department Store,,
Mega Majin,,風 (Wind),85.0,80.0,Keep,,Chronicle Department Store,,
Mermaid Veil,,風 (Wind),100.0,100.0,Keep,,Chronicle Department Store,,
Grabber Arm,,林 (Forest),100.0,100.0,Keep,,Chronicle Department Store,,
Freeze Shot,フリーズショット,林 (Forest),50.0,50,Shoot,,Vs Store,Magic Moves (Odaiba Branch),4.61
Kung Fu Fighting,クンフーアタック,山 (Mountain),50.0,50,Shoot,Counter Shoot,Vs Store,,5.97
Inazuma-1 Drop,イナズマ１号落とし,風 (Wind),85.0,80,Shoot,,Vs Store,,7.31
Ganymede Ray,ガニメデプロトン,林 (Forest),60.0,60,Shoot,Counter Shoot,Vs Store,,5.71
Cosmic Blast,ユニバースブラスト,林 (Forest),70.0,70,Shoot,,Vs Store,,6.96
Gaia Break,ガイアブレイク,山 (Mountain),85.0,80,Shoot,,Vs Store,,7.42
Space Penguin,スペースペンギン,風 (Wind),100.0,100,Shoot,,Vs Store,,10.98
Steeple Shot,通天閣シュート,火 (Fire),60.0,60,Shoot,,Vs Store,,5.04
Tiger Drive,タイガードライブ,山 (Mountain),60.0,60,Shoot,Long Shoot,Vs Store,,5.9
Hellfire,ヘルファイア,火 (Fire),60.0,60,Shoot,,Vs Store,Magic Moves (Odaiba Branch),5.26
Thunder Beast,サンダービースト,風 (Wind),70.0,70,Shoot,,Vs Store,,7.54
The Tube,ザ・チューブ,風 (Wind),60.0,60,Shoot,,Vs Store,,4.57
Pegasus Shot,ペガサスショット,林 (Forest),70.0,70,Shoot,,Vs Store,,6.07
Unicorn Boost,ユニコーンブースト,山 (Mountain),85.0,80,Shoot,,Vs Store,,6.15
Almighty Cannon,ゴッドキャノン,山 (Mountain),70.0,70,Shoot,,Vs Store,,5.54
Doom Rain,デスレイン,火 (Fire),60.0,60,Shoot,Long Shoot,Vs Store,,6.36
Emperor Penguin 7,皇帝ペンギン７,風 (Wind),85.0,80,Shoot,Long Shoot,Vs Store,,7.36
Ballista Barrage,バリスタショット,山 (Mountain),60.0,60,Shoot,Long Shoot,Vs Store,,4.72
Supernatural Strike,デビルバースト,火 (Fire),70.0,70,Shoot,,Vs Store,,7.52
Matchlock Bullet,火縄バレット,火 (Fire),60.0,60,Shoot,Long Shoot,Vs Store,,6.26
Holy Roller,ゴッドウィンド,風 (Wind),70.0,70,Shoot,,Vs Store,,5.68
Prima Donna,プリマドンナ,山 (Mountain),60.0,60,Offense,,Vs Store,,8.61
Wind God's Dance,風神の舞,風 (Wind),70.0,70,Offense,,Vs Store,,6.22
Log Roll,なみのりピエロ,風 (Wind),50.0,50,Offense,,Vs Store,Magic Moves (Odaiba Branch),6.79
Dance on Air,スカイウォーク,山 (Mountain),60.0,60,Offense,,Vs Store,,4.87
Heart Beat,アグレッシブビート,火 (Fire),70.0,70,Offense,,Vs Store,,6.01
Easy Breezy Kid,そよヤギステップ,風 (Wind),70.0,70,Offense,,Vs Store,,5.27
Quick Draw,クイックドロウ,林 (Forest),50.0,50,Defense,,Vs Store,Magic Moves (Odaiba Branch),3.57
Spider Web,蜘蛛の糸,林 (Forest),60.0,60,Defense,,Vs Store,Magic Moves (Odaiba Branch),4.89
Cyclone,サイクロン,風 (Wind),60.0,60,Defense,,Vs Store,,4.54
Shadow Stitch,影縫い,林 (Forest),60.0,60,Defense,,Vs Store,Magic Moves (Odaiba Branch),4.85
Flame Dance,フレイムダンス,火 (Fire),70.0,70,Defense,,Vs Store,Magic Moves (Odaiba Branch),6.47
Iron Wall,アイアンウォール,山 (Mountain),70.0,70,Defense,Shoot Block,Vs Store,,5.06
Dawnrise,ゴー・トゥ・ヘブン,風 (Wind),70.0,70,Defense,,Vs Store,,5.01
Duskfall,ゴー・トゥ・ヘル,林 (Forest),70.0,70,Defense,,Vs Store,,4.77
Hyper-Swiper,ワンダートラップ,風 (Wind),60.0,60,Defense,,Vs Store,,6.12
Overnight Fortress,一夜城,火 (Fire),85.0,80,Defense,Shoot Block,Vs Store,Magic Moves (Odaiba Branch),5.79
Okehazama Ravine,オケハザマウォール,山 (Mountain),60.0,60,Defense,Shoot Block,Vs Store,,6.07
Fireball Knuckle,熱血パンチ,火 (Fire),50.0,50,Keep,,Vs Store,,3.12
