Inagle ID,Image,Name (Romaji),Name (Localised),Gender,Position,Element,Playstyle,Moveset,Kick,Control,Technique,Pressure,Physical,Agility,Intelligence
2,,Shuya Goenji,Axel Blaze,男 (Male),FW,火 (Fire),Justice,Fireball Screw | Maximum Fire | Grand Fire | Scorching Tackle | Ignited Steal | Burning Overdrive,145.0,138.0,126.0,106.0,102.0,102.0,112.0
3512,,Beta,Beta,女 (Female),FW,風 (Wind),Tension,Fission and Fusion | Spin Out | Omega Assault | Omega Assault | Omega Assault | Athene,145.0,138.0,126.0,106.0,102.0,102.0,112.0
3512,,Beta,Beta,女 (Female),FW,風 (Wind),Breach,Fission and Fusion | Spin Out | Omega Assault | Omega Assault | Omega Assault | Athene,145.0,138.0,126.0,106.0,102.0,102.0,112.0
3518,,Gamma,Gamma,男 (Male),FW,林 (Forest),Rough Play,Atomic Spin | Acrobotics | Omega Assault | Atomic Spin | Atomic Spin | Lycaon,145.0,138.0,126.0,106.0,102.0,102.0,112.0
3518,,Gamma,Gamma,男 (Male),FW,林 (Forest),Bond,Atomic Spin | Acrobotics | Omega Assault | Atomic Spin | Atomic Spin | Lycaon,145.0,138.0,126.0,106.0,102.0,102.0,112.0
3568,,Zanark Avalonic,Zanark Avalonic,男 (Male),FW,山 (Mountain),Rough Play,Disaster Strike | Bungee Ball Burst | Fire Drill | Disaster Strike | Disaster Strike | Mix 'n' Match: Cao Cao,145.0,138.0,126.0,106.0,102.0,102.0,112.0
3568,,Zanark Avalonic,Zanark Avalonic,男 (Male),FW,山 (Mountain),Counter,Disaster Strike | Bungee Ball Burst | Fire Drill | Disaster Strike | Disaster Strike | Mix 'n' Match: Cao Cao,145.0,138.0,126.0,106.0,102.0,102.0,112.0
3645,,Saryu Evan,Simeon Ayp,男 (Male),FW,山 (Mountain),Breach,Shell Burst | Decoy Deploy | Dragon Drive | Shell Burst | Decoy Deploy | Evera,145.0,138.0,126.0,106.0,102.0,102.0,112.0
3645,,Saryu Evan,Simeon Ayp,男 (Male),FW,山 (Mountain),Rough Play,Shell Burst | Decoy Deploy | Dragon Drive | Shell Burst | Decoy Deploy | Evera,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4853,,Haru Endo,Meridia Althoff,男 (Male),FW,山 (Mountain),Breach,Meteoric Fire Tornado | Inazuma Break | Bahamut Crash | Meteoric Fire Tornado | Meteoric Fire Tornado | Victory Genie,137.0,134.0,122.0,109.0,106.0,102.0,120.0
4853,,Haru Endo,Meridia Althoff,男 (Male),FW,山 (Mountain),Tension,Meteoric Fire Tornado | Inazuma Break | Bahamut Crash | Meteoric Fire Tornado | Meteoric Fire Tornado | Victory Genie,137.0,134.0,122.0,109.0,106.0,102.0,120.0
4818,,Joji Sakurazaki,#N/A,男 (Male),FW,山 (Mountain),Counter,Force Flash | Spring Thunderclap | Cyclone | Spring Thunderclap | Spring Thunderclap | Burning Overdrive,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4818,,Joji Sakurazaki,#N/A,男 (Male),FW,山 (Mountain),Bond,Force Flash | Spring Thunderclap | Cyclone | Spring Thunderclap | Spring Thunderclap | Burning Overdrive,145.0,138.0,126.0,106.0,102.0,102.0,112.0
2432,,Tenma Matsukaze,Arion Sherwind,男 (Male),MF,風 (Wind),Bond,Tornado Tunnel | Triple Threat | Ultimate Eleven Assault | Tornado Tunnel | Ultimate Eleven Assault | Mix 'n' Match: Shuu,120.0,138.0,139.0,106.0,102.0,102.0,125.0
2432,,Tenma Matsukaze,Arion Sherwind,男 (Male),MF,風 (Wind),Counter,Tornado Tunnel | Triple Threat | Ultimate Eleven Assault | Tornado Tunnel | Ultimate Eleven Assault | Mix 'n' Match: Shuu,120.0,138.0,139.0,106.0,102.0,102.0,125.0
29,,Yuto Kido,Jude Sharp,男 (Male),MF,風 (Wind),Justice,Field of Force | Emperor Penguin No. 3 | Prime Legend | Emperor Penguin No. 3 | Emperor Penguin No. 3 | Instant Burst,125.0,134.0,131.0,109.0,110.0,102.0,120.0
29,,Yuto Kido,Jude Sharp,男 (Male),MF,風 (Wind),Rough Play,Field of Force | Emperor Penguin No. 3 | Prime Legend | Emperor Penguin No. 3 | Emperor Penguin No. 3 | Instant Burst,125.0,134.0,131.0,109.0,110.0,102.0,120.0
15,,Kazuya Ichinose,Erik Eagle,男 (Male),MF,林 (Forest),Bond,Pegasus Shot | The Ikaros | Grand Fenrir | Pegasus Shot | Pegasus Shot | Burning Overdrive,125.0,134.0,131.0,109.0,110.0,102.0,120.0
15,,Kazuya Ichinose,Erik Eagle,男 (Male),MF,林 (Forest),Counter,Pegasus Shot | The Ikaros | Grand Fenrir | Pegasus Shot | Pegasus Shot | Burning Overdrive,125.0,134.0,131.0,109.0,110.0,102.0,120.0
185,,Terumi Afuro,Byron Love,男 (Male),MF,林 (Forest),Breach,God Break | Heaven's Time | Chaos Break | Chaos Break | Heaven's Time | Instant Burst,125.0,134.0,131.0,109.0,110.0,102.0,120.0
185,,Terumi Afuro,Byron Love,男 (Male),MF,林 (Forest),Tension,God Break | Heaven's Time | Chaos Break | Chaos Break | Heaven's Time | Instant Burst,125.0,134.0,131.0,109.0,110.0,102.0,120.0
1773,,Akio Fudo,Caleb Stonewall,男 (Male),MF,火 (Fire),Rough Play,Field of Force | No Escape | Emperor Penguin No. 3 | Emperor Penguin No. 3 | Field of Force | Elemental Catalyst,125.0,134.0,131.0,109.0,110.0,102.0,120.0
1773,,Akio Fudo,Caleb Stonewall,男 (Male),MF,火 (Fire),Breach,Field of Force | No Escape | Emperor Penguin No. 3 | Emperor Penguin No. 3 | Field of Force | Elemental Catalyst,125.0,134.0,131.0,109.0,110.0,102.0,120.0
1066,,Reze,Janus,男 (Male),MF,林 (Forest),Bond,Astro Break | Lightning Bolt | Cosmic Blast | Cosmic Blast | Cosmic Blast | Elemental Catalyst,125.0,134.0,131.0,109.0,110.0,102.0,120.0
1066,,Reze,Janus,男 (Male),MF,林 (Forest),Rough Play,Astro Break | Lightning Bolt | Cosmic Blast | Cosmic Blast | Cosmic Blast | Elemental Catalyst,125.0,134.0,131.0,109.0,110.0,102.0,120.0
2434,,Takuto Shindo,Riccardo Di Rigo,男 (Male),MF,林 (Forest),Justice,Fortissimo | Brimstone Rain | Athena's Anthem | Fortissimo | Fortissimo | Maestro,125.0,134.0,131.0,109.0,110.0,102.0,120.0
2434,,Takuto Shindo,Riccardo Di Rigo,男 (Male),MF,林 (Forest),Tension,Fortissimo | Brimstone Rain | Athena's Anthem | Fortissimo | Fortissimo | Maestro,125.0,134.0,131.0,109.0,110.0,102.0,120.0
5,,Heigoro Kabeyama,Jack Wallside,男 (Male),DF,山 (Mountain),Justice,The Wall | The Mountain | Wall of Atlantis | The Wall | The Mountain | Ironclad Guardian,100.0,113.0,114.0,122.0,126.0,109.0,137.0
5,,Heigoro Kabeyama,Jack Wallside,男 (Male),DF,山 (Mountain),Breach,The Wall | The Mountain | Wall of Atlantis | The Wall | The Mountain | Ironclad Guardian,100.0,113.0,114.0,122.0,126.0,109.0,137.0
6,,Ichirota Kazemaru,Nathan Swift,男 (Male),DF,風 (Wind),Justice,Wind God's Dance | Whirlwind Drop | The Hurricane | Wind God's Dance | Whirlwind Drop | Elemental Catalyst,100.0,113.0,114.0,122.0,126.0,109.0,137.0
6,,Ichirota Kazemaru,Nathan Swift,男 (Male),DF,風 (Wind),Rough Play,Wind God's Dance | Whirlwind Drop | The Hurricane | Wind God's Dance | Whirlwind Drop | Elemental Catalyst,100.0,113.0,114.0,122.0,126.0,109.0,137.0
1770,,Seiya Tobitaka,Archer Hawkins,男 (Male),DF,風 (Wind),Breach,Vac Attack | Foul Offence 3 | Hurricane Arrows | Vac Attack | Vac Attack | Ironclad Guardian,100.0,113.0,114.0,122.0,126.0,109.0,137.0
1770,,Seiya Tobitaka,Archer Hawkins,男 (Male),DF,風 (Wind),Rough Play,Vac Attack | Foul Offence 3 | Hurricane Arrows | Vac Attack | Vac Attack | Ironclad Guardian,100.0,113.0,114.0,122.0,126.0,109.0,137.0
3482,,Kinako Nanobana,Goldie Lemmon,女 (Female),DF,火 (Fire),Tension,Goopy Gloopy Goo | Dough Ray Me | Dance on Air | Goopy Gloopy Goo | Dough Ray Me | Mix 'n' Match: Q. Dragons,100.0,113.0,114.0,122.0,126.0,109.0,137.0
3482,,Kinako Nanobana,Goldie Lemmon,女 (Female),DF,火 (Fire),Bond,Goopy Gloopy Goo | Dough Ray Me | Dance on Air | Goopy Gloopy Goo | Dough Ray Me | Mix 'n' Match: Q. Dragons,100.0,113.0,114.0,122.0,126.0,109.0,137.0
2436,,Ranmaru Kirino,Gabriel Garcia,男 (Male),DF,林 (Forest),Bond,Mystifying Mist | Mystic Mist | Southern Cross | Mystic Mist | Mystic Mist | Mix 'n' Match: Joan,100.0,113.0,114.0,122.0,126.0,109.0,137.0
2436,,Ranmaru Kirino,Gabriel Garcia,男 (Male),DF,林 (Forest),Counter,Mystifying Mist | Mystic Mist | Southern Cross | Mystic Mist | Mystic Mist | Mix 'n' Match: Joan,100.0,113.0,114.0,122.0,126.0,109.0,137.0
1,,Mamoru Endo,Mark Evans,男 (Male),GK,山 (Mountain),Justice,God Hand V | God Catch | Omega Hand | Omega Hand | God Catch | Keeper's Grit,100.0,116.0,109.0,118.0,126.0,133.0,116.0
1,,Mamoru Endo,Mark Evans,男 (Male),GK,山 (Mountain),Counter,God Hand V | God Catch | Omega Hand | Omega Hand | God Catch | Keeper's Grit,100.0,116.0,109.0,118.0,126.0,133.0,116.0
1223,,Yuki Tachimukai,Darren LaChance,男 (Male),GK,林 (Forest),Counter,Majin the Hand | Mugen the Hand | Fiend Hand | Mugen the Hand | Fiend Hand | Keeper's Grit,100.0,116.0,109.0,118.0,126.0,133.0,116.0
1223,,Yuki Tachimukai,Darren LaChance,男 (Male),GK,林 (Forest),Tension,Majin the Hand | Mugen the Hand | Fiend Hand | Mugen the Hand | Fiend Hand | Keeper's Grit,100.0,116.0,109.0,118.0,126.0,133.0,116.0
1068,,Dezarm,Dvalin,男 (Male),GK,火 (Fire),Tension,Drill Smasher | Shot Stopper | Gungnir | Drill Smasher | Gungnir | Burning Overdrive,100.0,116.0,109.0,118.0,126.0,133.0,116.0
1068,,Dezarm,Dvalin,男 (Male),GK,火 (Fire),Breach,Drill Smasher | Shot Stopper | Gungnir | Drill Smasher | Gungnir | Burning Overdrive,100.0,116.0,109.0,118.0,126.0,133.0,116.0
1954,,Rococo Ulpa,Hector Helio,男 (Male),GK,山 (Mountain),Counter,God Hand X | Soul Hand | X Blast | Soul Hand | X Blast | Burning Overdrive,100.0,116.0,109.0,118.0,126.0,133.0,116.0
1954,,Rococo Ulpa,Hector Helio,男 (Male),GK,山 (Mountain),Justice,God Hand X | Soul Hand | X Blast | Soul Hand | X Blast | Burning Overdrive,100.0,116.0,109.0,118.0,126.0,133.0,116.0
2437,,Taichi Sangoku,Samguk Han,男 (Male),GK,火 (Fire),Breach,Fingers of Gaia | Capable Hands | God Hand X | Capable Hands | Capable Hands | Keeper's Grit,100.0,116.0,109.0,118.0,126.0,133.0,116.0
2437,,Taichi Sangoku,Samguk Han,男 (Male),GK,火 (Fire),Bond,Fingers of Gaia | Capable Hands | God Hand X | Capable Hands | Capable Hands | Keeper's Grit,100.0,116.0,109.0,118.0,126.0,133.0,116.0
2674,,Yamato Senguji,Quentin Cinquedea,男 (Male),GK,火 (Fire),Counter,Shot Stopper | Gravity Point | God Hand X | Gravity Point | Shot Stopper | White King,100.0,116.0,109.0,118.0,126.0,133.0,116.0
2674,,Yamato Senguji,Quentin Cinquedea,男 (Male),GK,火 (Fire),Rough Play,Shot Stopper | Gravity Point | God Hand X | Gravity Point | Shot Stopper | White King,100.0,116.0,109.0,118.0,126.0,133.0,116.0
2435,,Shinsuke Nishizono,Jean-Pierre Lapin,男 (Male),GK,山 (Mountain),Bond,Jumping Whack | God Hand V | Mugen the Hand | Jumping Whack | Jumping Whack | Mix 'n' Match: Liu Bei,100.0,116.0,109.0,118.0,126.0,133.0,116.0
2435,,Shinsuke Nishizono,Jean-Pierre Lapin,男 (Male),GK,山 (Mountain),Rough Play,Jumping Whack | God Hand V | Mugen the Hand | Jumping Whack | Jumping Whack | Mix 'n' Match: Liu Bei,100.0,116.0,109.0,118.0,126.0,133.0,116.0
1769,,Toramaru Utsunomiya,Austin Hobbes,男 (Male),FW,林 (Forest),Counter,Tiger Drive | Tiger Storm | Gladius Arch | Gladius Arch | Gladius Arch | Burning Overdrive,145.0,138.0,126.0,106.0,102.0,102.0,112.0
1769,,Toramaru Utsunomiya,Austin Hobbes,男 (Male),FW,林 (Forest),Tension,Tiger Drive | Tiger Storm | Gladius Arch | Gladius Arch | Gladius Arch | Burning Overdrive,145.0,138.0,126.0,106.0,102.0,102.0,112.0
1245,,Josuke Tsunami,Hurley Kane,男 (Male),DF,風 (Wind),Tension,Spinning Cut | Air Ride | The Typhoon | The Typhoon | The Typhoon | Elemental Catalyst,100.0,113.0,114.0,122.0,126.0,109.0,137.0
1245,,Josuke Tsunami,Hurley Kane,男 (Male),DF,風 (Wind),Bond,Spinning Cut | Air Ride | The Typhoon | The Typhoon | The Typhoon | Elemental Catalyst,100.0,113.0,114.0,122.0,126.0,109.0,137.0
20,,Kojiro Genda,Joseph King,男 (Male),GK,火 (Fire),Breach,Full Power Shield | Drill Smasher | Beast Fang | Beast Fang | Beast Fang | Keeper's Grit,100.0,116.0,109.0,118.0,126.0,133.0,116.0
20,,Kojiro Genda,Joseph King,男 (Male),GK,火 (Fire),Rough Play,Full Power Shield | Drill Smasher | Beast Fang | Beast Fang | Beast Fang | Keeper's Grit,100.0,116.0,109.0,118.0,126.0,133.0,116.0
3945,,Hayato Matatagi,Falco Flashman,男 (Male),FW,風 (Wind),Counter,Parkour Power | Dark Tornado | Black Dawn | Parkour Power | Black Dawn | Falcon Totem,145.0,138.0,126.0,106.0,102.0,102.0,112.0
3945,,Hayato Matatagi,Falco Flashman,男 (Male),FW,風 (Wind),Rough Play,Parkour Power | Dark Tornado | Black Dawn | Parkour Power | Black Dawn | Falcon Totem,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4101,,Bitway Ozrock,Ozrock Boldar,男 (Male),FW,風 (Wind),Rough Play,Dark Energy Star | Stargazer | Judgement Ray | Stargazer | Stargazer | Ixaal Totem,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4101,,Bitway Ozrock,Ozrock Boldar,男 (Male),FW,風 (Wind),Breach,Dark Energy Star | Stargazer | Judgement Ray | Stargazer | Stargazer | Ixaal Totem,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4124,,Aclous Obies,Arculus Orbes,男 (Male),FW,風 (Wind),Bond,Orbital Drive | Psi Arrow | Supernova | Galactic GigaFall | Orbital Drive | DragnovaTotem,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4124,,Aclous Obies,Arculus Orbes,男 (Male),FW,風 (Wind),Counter,Orbital Drive | Psi Arrow | Supernova | Galactic GigaFall | Orbital Drive | Dragnova Totem,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4112,,Sarges Rougue,Circulus Corona,男 (Male),FW,火 (Fire),Tension,Loyal Heart Shot | Atlas Sword | Big Bang | Galactic GigaFall | Loyal Heart Shot | Gryphbang Totem,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4112,,Sarges Rougue,Circulus Corona,男 (Male),FW,火 (Fire),Justice,Loyal Heart Shot | Atlas Sword | Big Bang | Galactic GigaFall | Loyal Heart Shot | Gryphbang Totem,145.0,138.0,126.0,106.0,102.0,102.0,112.0
1103,,Burn,Torch,男 (Male),FW,火 (Fire),Breach,Flame Veil | Atomic Flare | Fire Blizzard | Atomic Flare | Fire Blizzard | Elemental Catalyst,145.0,138.0,126.0,106.0,102.0,102.0,112.0
1103,,Burn,Torch,男 (Male),FW,火 (Fire),Tension,Flame Veil | Atomic Flare | Fire Blizzard | Atomic Flare | Fire Blizzard | Elemental Catalyst,145.0,138.0,126.0,106.0,102.0,102.0,112.0
1120,,Gazelle,Gazelle,男 (Male),FW,風 (Wind),Breach,Water Veil | Northern Impact | Fire Blizzard | Northern Impact | Fire Blizzard | Elemental Catalyst,145.0,138.0,126.0,106.0,102.0,102.0,112.0
1120,,Gazelle,Gazelle,男 (Male),FW,風 (Wind),Bond,Water Veil | Northern Impact | Fire Blizzard | Northern Impact | Fire Blizzard | Elemental Catalyst,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4071,,Ryugel Balan,Ruger Baran,男 (Male),FW,林 (Forest),Breach,Scream of Eden | Illusory Ball | Dark Tornado | Scream of Eden | Scream of Eden | Pelion Totem,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4071,,Ryugel Balan,Ruger Baran,男 (Male),FW,林 (Forest),Rough Play,Scream of Eden | Illusory Ball | Dark Tornado | Scream of Eden | Scream of Eden | Pelion Totem,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4072,,Gandares Balan,Gandares Baran,男 (Male),FW,林 (Forest),Bond,Scream of Eden | Low Scythe Slice | Doom Spear | Scream of Eden | Scream of Eden | Belion Totem,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4072,,Gandares Balan,Gandares Baran,男 (Male),FW,林 (Forest),Tension,Scream of Eden | Low Scythe Slice | Doom Spear | Scream of Eden | Scream of Eden | Belion Totem,145.0,138.0,126.0,106.0,102.0,102.0,112.0
1132,,Ulvida,Bellatrix,女 (Female),MF,風 (Wind),Tension,Meteor Shower | Space Penguin | Super Elastico | Space Penguin | Space Penguin | Instant Burst,120.0,138.0,139.0,106.0,102.0,102.0,125.0
1132,,Ulvida,Bellatrix,女 (Female),MF,風 (Wind),Justice,Meteor Shower | Space Penguin | Super Elastico | Space Penguin | Space Penguin | Instant Burst,120.0,138.0,139.0,106.0,102.0,102.0,125.0
3946,,Munemasa Ibuki,Terry Archibald,男 (Male),GK,風 (Wind),Justice,Wild Dunk | Claw de Force | Dragon Rage Dunk | Wild Dunk | Dragon Rage Dunk | Mammoth Totem,100.0,116.0,109.0,118.0,126.0,133.0,116.0
3946,,Munemasa Ibuki,Terry Archibald,男 (Male),GK,風 (Wind),Breach,Wild Dunk | Claw de Force | Dragon Rage Dunk | Wild Dunk | Dragon Rage Dunk | Mammoth Totem,100.0,116.0,109.0,118.0,126.0,133.0,116.0
3948,,Ryuji Kusaka,Buddy Fury,男 (Male),MF,山 (Mountain),Counter,Menacing Glare | Driving Header | Burning Rage Mode | Iron Wall | Driving Header | Grizzly Totem,120.0,138.0,139.0,106.0,102.0,102.0,125.0
3948,,Ryuji Kusaka,Buddy Fury,男 (Male),MF,山 (Mountain),Rough Play,Menacing Glare | Driving Header | Burning Rage Mode | Iron Wall | Driving Header | Grizzly Totem,120.0,138.0,139.0,106.0,102.0,102.0,125.0
4038,,Powai Picholi,Plink Powai,女 (Female),MF,風 (Wind),Tension,Hydro Flow | Waterfall | Jackknife | Hydro Flow | Jackknife | Elemental Catalyst,120.0,138.0,139.0,106.0,102.0,102.0,125.0
4038,,Powai Picholi,Plink Powai,女 (Female),MF,風 (Wind),Bond,Hydro Flow | Waterfall | Jackknife | Hydro Flow | Jackknife | Elemental Catalyst,120.0,138.0,139.0,106.0,102.0,102.0,125.0
4045,,Hillary Flehl,Rondula Flehl,女 (Female),MF,風 (Wind),Rough Play,Jackknife | Holy Roller | Jackknife | Holy Roller | Jackknife | Phoenichias Totem,125.0,134.0,131.0,109.0,110.0,102.0,120.0
4045,,Hillary Flehl,Rondula Flehl,女 (Female),MF,風 (Wind),Breach,Jackknife | Holy Roller | Jackknife | Holy Roller | Jackknife | Phoenichias Totem,125.0,134.0,131.0,109.0,110.0,102.0,120.0
4375,,Asuto Inamori,Sonny Wright,男 (Male),火 (Fire),FW,Tension,Flash Dash | Golden Gull | Flying Colours | Flash Dash | Golden Gull | Burning Overdrive,137.0,134.0,122.0,109.0,106.0,102.0,120.0
4375,,Asuto Inamori,Sonny Wright,男 (Male),火 (Fire),FW,Bond,Flash Dash | Golden Gull | Flying Colours | Flash Dash | Golden Gull | Burning Overdrive,137.0,134.0,122.0,109.0,106.0,102.0,120.0
4401,,Ryohei Haizaki,Elliot Ember,男 (Male),林 (Forest),FW,Rough Play,Death Zone | Penguin Volley | Perfect Penguin | Penguin Volley | Perfect Penguin | Burning Overdrive,137.0,134.0,122.0,109.0,106.0,102.0,120.0
4401,,Ryohei Haizaki,Elliot Ember,男 (Male),林 (Forest),FW,Breach,Death Zone | Penguin Volley | Perfect Penguin | Penguin Volley | Perfect Penguin | Burning Overdrive,137.0,134.0,122.0,109.0,106.0,102.0,120.0
4419,,Yuma Nosaka,Heath Moore,男 (Male),火 (Fire),FW,Rough Play,Royal Lancer | Dance on Air | Meteor Blade | Royal Lancer | Royal Lancer | Burning Overdrive,137.0,134.0,122.0,109.0,106.0,102.0,120.0
4419,,Yuma Nosaka,Heath Moore,男 (Male),火 (Fire),FW,Counter,Royal Lancer | Dance on Air | Meteor Blade | Royal Lancer | Royal Lancer | Burning Overdrive,137.0,134.0,122.0,109.0,106.0,102.0,120.0
4541,,Hiroto Kira,Xavier Schiller,男 (Male),林 (Forest),FW,Rough Play,The Detonator | Zigzag Zoom | The Detonator | Zigzag Zoom | The Detonator | Burning Overdrive,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4541,,Hiroto Kira,Xavier Schiller,男 (Male),林 (Forest),FW,Bond,The Detonator | Zigzag Zoom | The Detonator | Zigzag Zoom | The Detonator | Burning Overdrive,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4524,,Atsuya Fubuki,Aiden Froste,男 (Male),火 (Fire),FW,Rough Play,Ursa Binder | Ursa Rager | Cold Front | Cold Front | Cold Front | Burning Overdrive,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4524,,Atsuya Fubuki,Aiden Froste,男 (Male),火 (Fire),FW,Breach,Ursa Binder | Ursa Rager | Cold Front | Cold Front | Cold Front | Burning Overdrive,145.0,138.0,126.0,106.0,102.0,102.0,112.0
4395,,Seiryu Mizukamiya,Acker Reese,男 (Male),風 (Wind),DF,Bond,Containment Field | Emperor Penguin No. 2 | Divine Dummy | Containment Field | Containment Field | Ironclad Guardian,100.0,113.0,114.0,122.0,126.0,109.0,137.0
4395,,Seiryu Mizukamiya,Acker Reese,男 (Male),風 (Wind),DF,Counter,Containment Field | Emperor Penguin No. 2 | Divine Dummy | Containment Field | Containment Field | Ironclad Guardian,100.0,113.0,114.0,122.0,126.0,109.0,137.0
4842,,Raika Shinohara,Raika Shinohara,女 (Female),火 (Fire),FW,Tension,Swirly Shot | Afterimage | Spring Thunderclap | Swirly Shot | Spring Thunderclap | Burning Overdrive,137.0,134.0,122.0,109.0,106.0,102.0,120.0
4842,,Raika Shinohara,Raika Shinohara,女 (Female),火 (Fire),FW,Counter,Swirly Shot | Afterimage | Spring Thunderclap | Swirly Shot | Spring Thunderclap | Burning Overdrive,137.0,134.0,122.0,109.0,106.0,102.0,120.0
