ID,Name(Romaji),Name(Localised),Nickname,Gender,Passive ID,Role,Game,Position,Alt Position,Element,Preferred Playstyle,First 3 Moves Learnt,Shot AT,Focus AT,Focus DF,Scramble AT,Scramble DF,Castle Wall DF,KP,Main Path,Alternate Paths
1,Mamoru Endo,Mark Evans,,男 (Male),,選手 (Player),,GK,FW,山 (Mountain),Justice,Strong Punch | God Hand | Fireball Knuckle,187,233,243.5,202,195,203,955,Keep > Keep,Keep > Keep | Shoot > Shoot
17,Aki Kino,Silvia Woods,,女 (Female),,マネージャー (Coordinator),,GK,DF,山 (Mountain),Tension,Mighty Save | God Hand | Blazing Knuckle,187,233,243.5,202,195,203,955,Keep > Keep,Keep > Keep | Defense > Defense
18,Haruna Otonashi,Celia Hills,,女 (Female),,マネージャー (Coordinator),,MF,DF,風 (Wind),Bond,Feint Dash | Illusory Ball | Spinning Cut,216,273,251.5,192,191,183,798,Offense > Offense,Offense > Shoot | Defense > Defense
19,Natsumi Raimon,Nelly Raimon,,女 (Female),,マネージャー (Coordinator),,FW,MF,火 (Fire),Bond,Chip Shot | Bed of Roses | Matador Feint,236,280.5,240.5,178,181,173,771,Shoot > Shoot,Shoot > Shoot | Offense > Defense
20,Kojiro Genda,Joseph King,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Breach,Mighty Save | Power Shield | Full Power Shield,187,233,243.5,202,195,203,955,Keep > Keep,Keep > Keep | Shoot > Offense
21,Densuke Ono,Peter Drent,,男 (Male),,選手 (Player),,DF,FW,山 (Mountain),Rough Play,Feint Play | Earthquake | Illusory Ball,177,225.5,248.5,215,211,202,863,Defense > Defense,Defense > Shoot | Shoot > Shoot
22,Kazumichi Banjo,Ben Simmons,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Justice,Rolling Steal | Cyclone | Killer Slide,169,213,248.5,226,221,209,881,Defense > Defense,Defense > Offense | Offense > Defense
23,Kenya Narukami,Alan Master,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Breach,Nutmeg | Killer Slide | Illusory Ball,210,275.5,255.5,182,186,166,737,Offense > Defense,Defense > Offense | Defense > Defense
24,Masaru Gojo,Gus Martin,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Bond,Curving Cut | Killer Slide | Clone Faker,178,226.5,248.5,216,211,203,866,Defense > Defense,Defense > Defense | Offense > Defense
25,Wataru Henmi,Herman Waldon,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Rough Play,Nutmeg | Killer Slide | Cyclone,210,275.5,255.5,182,186,166,737,Offense > Defense,Shoot > Offense | Shoot > Shoot
26,Shuji Sakiyama,John Bloom,,男 (Male),,選手 (Player),,MF,FW,火 (Fire),Tension,Dust Kick | Killer Slide | Wrath Shot,210,275.5,255.5,182,186,166,737,Offense > Defense,Shoot > Offense | Shoot > Shoot
27,Shuichiro Domen,Derek Swing,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Counter,Deceptive Step | Clone Faker | Killer Slide,210,275.5,255.5,182,186,166,737,Offense > Offense,Shoot > Shoot | Shoot > Shoot
28,Daiki Jimon,Daniel Hatch,,男 (Male),,選手 (Player),,FW,DF,林 (Forest),Rough Play,Low Drive | Wrath Shot | Killer Slide,221,264,236.5,183,185,174,758,Shoot > Shoot,Shoot > Shoot | Defense > Defense
29,Yuto Kido,Jude Sharp,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Justice,Deceptive Step | Illusory Ball | Twin Boost,216,273,251.5,192,191,183,798,Offense > Offense,Shoot > Offense | Shoot > Shoot
30,Jiro Sakuma,David Samford,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Counter,Bounce Shot | Killer Slide | Emperor Penguin No. 2,236,280.5,240.5,178,181,173,771,Shoot > Defense,Shoot > Offense | Offense > Defense
31,Yuhei Hyodo,Bob Carlton,,男 (Male),,選手 (Player),,GK,DF,林 (Forest),Justice,Strong Punch | Power Shield | Fireball Knuckle,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Defense > Defense
32,Kazuki Ena,Cliff Tomlinson,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Breach,Low Drive | Grenade Shot | Killer Slide,219,261.5,234,181,183,172,749,Shoot > Shoot,Shoot > Shoot | Offense > Defense
33,Kei Mukumoto,Jim Lawrenson,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Tension,Bounce Shot | Spiral Shot | Wrath Shot,230,273,231.5,170,172,164,733,Shoot > Shoot,Offense > Defense | Offense > Defense
34,Shodai Shibuki,Barry Potts,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Rough Play,Dust Kick | Killer Slide | Whirlwind Twister,209,273.5,253.5,181,183,164,733,Offense > Defense,Offense > Shoot | Shoot > Shoot
35,Seiji Okusu,Steve Ingham,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Bond,Bounce Shot | Ghost Pull | Twin Boost,219,261.5,234,181,183,172,749,Shoot > Defense,Shoot > Offense | Shoot > Offense
36,Reiji Kageyama,Ray Dark,,男 (Male),,監督 (Manager),,MF,FW,風 (Wind),Tension,Dust Kick | Killer Slide | Illusory Ball,210,275.5,255.5,182,186,166,737,Offense > Defense,Shoot > Shoot | Shoot > Shoot
37,Masaru Anzai,Stephen Black,,男 (Male),,コーチ (Coach),,DF,MF,林 (Forest),Tension,Cunning Pull | Afterimage | Harvest,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
38,Juzo Nata,Nathan Jones,,男 (Male),,選手 (Player),,GK,MF,風 (Wind),Rough Play,Strong Punch | Warp Space | Whirlwind,178,223.5,236.5,197,189,198,935,Keep > Keep,Defense > Keep | Shoot > Offense
39,Wataru Sanzu,Russell Walk,,男 (Male),,選手 (Player),,DF,FW,林 (Forest),Justice,Shoulder Tackle | Ghost Pull | Phantom Shot,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Defense | Shoot > Shoot
40,Shigeru Yanagida,Jason Jones,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Bond,Rolling Steal | Ghost Pull | Fake Ball,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Defense | Offense > Defense
41,Ken Furan,Ken Furan,,男 (Male),,選手 (Player),,DF,GK,山 (Mountain),Rough Play,Rolling Steal | Earthquake | Ghost Pull,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Defense | Keep > Keep
42,Fujimi Shikabane,Jerry Fulton,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Rough Play,Feint Play | Shadow Stitch | Phantom Shot,174,222,246,213,208,199,852,Defense > Defense,Defense > Offense | Offense > Defense
43,Michihisa Reigen,Ray Mannings,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Tension,Dust Kick | Ghost Pull | Shadow Stitch,209,264,242.5,185,184,175,762,Offense > Defense,Shoot > Defense | Defense > Defense
44,Mami Kinoi,Robert Mayer,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Tension,Dust Kick | Ghost Pull | Spider Web,209,264,242.5,185,184,175,762,Offense > Defense,Keep > Defense | Defense > Defense
45,Tataru Yatsuhaka,Alexander Brave,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Counter,Feint Dash | Shadow Stitch | Phantom Shot,209,264,242.5,185,184,175,762,Offense > Defense,Shoot > Defense | Defense > Defense
46,Hiroyuki Yukoku,Johan Tassman,,男 (Male),,選手 (Player),,FW,DF,林 (Forest),Rough Play,Bounce Shot | Phantom Shot | Astro Break,232,274.5,232.5,171,175,166,737,Shoot > Shoot,Shoot > Defense | Defense > Defense
47,Kenichi Tsukimura,Troy Moon,,男 (Male),,選手 (Player),,MF,FW,火 (Fire),Bond,Heel Flick | Phantom Shot | Ghost Pull,209,273.5,253.5,181,183,164,733,Offense > Shoot,Shoot > Offense | Shoot > Shoot
48,Kiba Burado,Burt Wolf,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Rough Play,Dust Kick | Phantom Shot | Ghost Pull,210,275.5,255.5,182,186,166,737,Offense > Shoot,Defense > Offense | Defense > Defense
49,Matsuru Fushi,Rob Crombie,,男 (Male),,選手 (Player),,GK,DF,山 (Mountain),Tension,Mighty Save | Warp Space | Sumo Stomp,176,220,230,193,189,198,913,Keep > Keep,Defense > Keep | Defense > Defense
50,Gen Hitogata,Chuck Dollman,,男 (Male),,選手 (Player),,FW,DF,林 (Forest),Rough Play,Curve Shot | Phantom Shot | Spider Web,230,273,231.5,170,172,164,733,Shoot > Shoot,Defense > Offense | Defense > Defense
51,Michi Tsuburaya,Uxley Allen,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Breach,Bounce Shot | Ghost Pull | Astro Break,219,261.5,234,181,183,172,749,Shoot > Defense,Shoot > Shoot | Shoot > Offense
52,Noroi Kurogami,Phil Noir,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Bond,Power Shot | Ghost Pull | Deceptor Dribble,219,261.5,234,181,183,172,749,Shoot > Defense,Defense > Defense | Offense > Defense
53,Takao Makai,Mick Askley,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Bond,Crosscut Feint | Ghost Pull | Spider Web,209,273.5,253.5,181,183,164,733,Offense > Defense,Defense > Defense | Defense > Defense
54,Haito Jikiru,Hekyll Jyde,,男 (Male),,監督 (Manager),,DF,FW,山 (Mountain),Rough Play,Curving Cut | Ghost Pull | Brutal Persona Mode,174,222,246,213,208,199,852,Defense > Defense,Defense > Offense | Shoot > Shoot
56,Honori Chochin,Lanny Tern,,女 (Female),,マネージャー (Coordinator),,GK,MF,風 (Wind),Counter,Power Catch | Ultra Moon | Capable Hands,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
57,Hyogo Inokuchi,Charlie Boardfield,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Rough Play,Power Catch | Table-Turner | Blazing Knuckle,176,220,230,193,189,198,913,Keep > Keep,Offense > Keep | Offense > Defense
58,Ryota Torii,Hugo Tallgeese,,男 (Male),,選手 (Player),,MF,FW,火 (Fire),Rough Play,Feint Dash | Dash Accelerator | Condor Dive,209,264,242.5,185,184,175,762,Offense > Offense,Defense > Shoot | Shoot > Shoot
59,Takuto Uozumi,Wilson Fishman,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Bond,Feint Play | Quick Draw | Spinning Cut,167,209,244.5,224,220,208,870,Defense > Defense,Shoot > Offense | Offense > Defense
60,Tatsuhito Kaeruda,Peter Johnson,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Counter,Shoulder Tackle | Dash Accelerator | Killer Slide,167,209,244.5,224,220,208,870,Defense > Offense,Defense > Defense | Shoot > Offense
61,Ko Shishio,Leonard O'Shea,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Rough Play,Cunning Pull | Super Armadillo | No Escape,174,222,246,213,208,199,852,Defense > Offense,Shoot > Offense | Offense > Defense
62,Leon Kame,Cham Lion,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Breach,Nutmeg | Quick Draw | Afterimage,210,266.5,244.5,186,185,177,767,Offense > Defense,Shoot > Shoot | Defense > Defense
63,Seiji Owashi,Steve Eagle,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Tension,Crosscut Feint | Condor Dive | Illusory Ball,209,273.5,253.5,181,183,164,733,Offense > Shoot,Shoot > Shoot | Shoot > Shoot
64,Noboru Saruta,Bruce Monkey,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Rough Play,Dust Kick | Monkey Turn | Tarzan Kick,209,273.5,253.5,181,183,164,733,Offense > Offense,Defense > Offense | Shoot > Shoot
65,Shingo Gori,Gary Lancaster,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Bond,Curve Shot | Tarzan Kick | Super Armadillo,219,261.5,234,181,183,172,749,Shoot > Shoot,Shoot > Defense | Offense > Defense
66,Shoma Hebimaru,Harry Snake,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Breach,Low Drive | Zigzag Spark | Cross Drive,219,261.5,234,181,183,172,749,Shoot > Offense,Shoot > Offense | Offense > Defense
67,Chiita Suizenji,Adrian Speed,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Rough Play,Curve Shot | Flurry Dash | Tarzan Kick,232,274.5,232.5,171,175,166,737,Shoot > Offense,Shoot > Offense | Offense > Defense
68,Noboru Koara,Alan Coe,,男 (Male),,選手 (Player),,MF,FW,林 (Forest),Justice,Feint Dash | Tarzan Kick | Monkey Turn,209,273.5,253.5,181,183,164,733,Offense > Shoot,Shoot > Offense | Shoot > Shoot
69,Takeo Ban,Philip Anders,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Breach,Chip Shot | Killer Slide | Dash Accelerator,230,273,231.5,170,172,164,733,Shoot > Defense,Shoot > Shoot | Shoot > Offense
70,Kumami Araigawa,Rocky Rackham,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Justice,Curving Cut | Super Armadillo | Grenade Shot,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Shoot > Offense
71,Mitsuo Nezu,Matt Mouseman,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Bond,Feint Dash | Fake Ball | Bewildered,209,264,242.5,185,184,175,762,Offense > Defense,Shoot > Offense | Defense > Defense
72,Kuya Ushio,Chad Bullford,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Tension,Power Catch | Toughness Block | Blazing Knuckle,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Offense > Defense
73,Kosuke Tazan,Harry Savage,,男 (Male),,監督 (Manager),,MF,DF,風 (Wind),Justice,Nutmeg | Blade Attack | Aikido,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
74,Minko Fura,Flammie Gonzalez,,女 (Female),,マネージャー (Coordinator),,FW,MF,火 (Fire),Justice,Chip Shot | Ultra Moon | Dough Ray Me,230,273,231.5,170,172,164,733,Shoot > Offense,Shoot > Shoot | Offense > Offense
75,Takeshi Sugimori,Thomas Feldt,,男 (Male),,選手 (Player),,GK,MF,林 (Forest),Counter,Power Catch | Rocket Kobushi | Shot Pocket,178,223.5,236.5,197,189,198,935,Keep > Keep,Keep > Keep | Offense > Defense
77,Yu Hiroyama,Harry Leading,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Breach,Feint Play | Patriot Shot | Thief's Eye,167,209,244.5,224,220,208,870,Defense > Shoot,Defense > Offense | Shoot > Offense
79,Tsuyoshi Hanaoka,Terry Stronger,,男 (Male),,選手 (Player),,DF,FW,火 (Fire),Justice,Feint Play | Volcano Cut | Future Eye,167,209,244.5,224,220,208,870,Defense > Defense,Shoot > Defense | Shoot > Shoot
81,Kyo Murobushi,Philip Marvel,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Breach,Curving Cut | Quick Draw | Slice and Dice,174,222,246,213,208,199,852,Defense > Defense,Shoot > Defense | Offense > Defense
83,Nori Inada,Noel Good,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Rough Play,Rolling Steal | Perimeter Zone | Earthquake,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Offense > Defense
85,Iwao Terakawa,Tyron Rock,,男 (Male),,選手 (Player),,MF,FW,火 (Fire),Counter,Deceptive Step | Patriot Shot | Hey Presto,209,273.5,253.5,181,183,164,733,Offense > Shoot,Offense > Shoot | Shoot > Shoot
87,Kei Fujimaru,Francis Tell,,男 (Male),,選手 (Player),,MF,FW,林 (Forest),Bond,Heel Flick | Shadow Stitch | Illusory Ball,209,264,242.5,185,184,175,762,Offense > Defense,Shoot > Offense | Shoot > Shoot
89,Baku Sango,Samuel Buster,,男 (Male),,選手 (Player),,MF,FW,火 (Fire),Bond,Deceptive Step | Grenade Shot | Scorching Tackle,209,273.5,253.5,181,183,164,733,Offense > Shoot,Shoot > Shoot | Shoot > Shoot
91,Seri Yamagishi,Jonathan Seller,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Justice,Curve Shot | Fire Tornado | Clone Faker,232,274.5,232.5,171,175,166,737,Shoot > Shoot,Offense > Offense | Offense > Defense
93,Shin Obe,Victor Kind,,男 (Male),,選手 (Player),,MF,FW,林 (Forest),Bond,Dust Kick | Twin Boost | Shadow Stitch,209,264,242.5,185,184,175,762,Offense > Shoot,Offense > Defense | Shoot > Shoot
95,Arata Shimozuru,Neil Turner,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Tension,Bounce Shot | Patriot Shot | Fire Tornado,232,274.5,232.5,171,175,166,737,Shoot > Shoot,Shoot > Defense | Shoot > Offense
96,Arata Shimozuru,Neil Turner,,男 (Male),,選手 (Player),,FW,?,火 (Fire),#N/A,#N/A,0,0,0,0,0,0,0,#N/A,#N/A
97,Toboshi Mashimo,Reg Underwood,,男 (Male),,選手 (Player),,GK,MF,林 (Forest),Tension,Power Catch | Shot Pocket | Rocket Kobushi,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Offense > Defense
99,Shizuka Tsuzuki,Patrick Stiller,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Tension,Feint Dash | Quick Draw | Freeze Shot,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Shoot | Shoot > Shoot
101,Jin Hirao,Charles Oughtry,,男 (Male),,選手 (Player),,MF,FW,山 (Mountain),Breach,Crosscut Feint | Flurry Dash | Patriot Shot,209,273.5,253.5,181,183,164,733,Offense > Offense,Offense > Shoot | Shoot > Shoot
103,So Nagatomo,Clive Mooney,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Rough Play,Bounce Shot | Patriot Shot | Killer Slide,219,261.5,234,181,183,172,749,Shoot > Shoot,Shoot > Offense | Shoot > Offense
104,Nashi Mizubuchi,Neil Waters,,男 (Male),,選手 (Player),,DF,FW,林 (Forest),Justice,Shoulder Tackle | Sumo Stomp | Patriot Shot,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Shoot > Shoot
106,Shinichiro Toyama,Newton Thomas,,男 (Male),,監督 (Manager),,MF,DF,林 (Forest),Counter,Feint Dash | Asteroid Belt | Matador Feint,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
107,So Aidoru,Sam Idol,,男 (Male),,選手 (Player),,GK,MF,山 (Mountain),Tension,Strong Punch | Sliding Goal | Toughness Block,178,223.5,236.5,197,189,198,935,Keep > Keep,Keep > Keep | Offense > Defense
108,Tetsuo Sujimichi,Marcus Train,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Rough Play,Cunning Pull | Fake Ball | Zigzag Spark,167,209,244.5,224,220,208,870,Defense > Defense,Shoot > Defense | Offense > Defense
109,Raito Noberu,Light Nobel,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Justice,Crosscut Feint | Fake Ball | Utter Gutsiness Bat,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
110,Hideo Muteki,Walter Valiant,,男 (Male),,選手 (Player),,MF,FW,火 (Fire),Counter,Dust Kick | Fake Ball | Afterimage,210,275.5,255.5,182,186,166,737,Offense > Defense,Offense > Shoot | Shoot > Shoot
111,So Karisawa,Spencer Gates,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Rough Play,Cunning Pull | Utter Gutsiness Bat | Fake Ball,167,209,244.5,224,220,208,870,Defense > Shoot,Defense > Defense | Shoot > Offense
112,Itsuki Onra,Josh Spear,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Justice,Power Shot | Bewildered | Ghost Pull,219,261.5,234,181,183,172,749,Shoot > Offense,Defense > Offense | Shoot > Offense
113,Haru Onotomo,Gaby Farmer,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Bond,Low Drive | Bewildered | Cyclone,219,261.5,234,181,183,172,749,Shoot > Offense,Shoot > Shoot | Offense > Defense
114,Goki Robo,A. Woodbridge,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Counter,Nutmeg | Bewildered | Utter Gutsiness Bat,209,273.5,253.5,181,183,164,733,Offense > Offense,Defense > Shoot | Shoot > Shoot
115,Konomu Geimu,Gus Gamer,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Tension,Low Drive | Utter Gutsiness Bat | Bewildered,219,261.5,234,181,183,172,749,Shoot > Shoot,Defense > Shoot | Offense > Defense
116,Moe Manga,Mark Gambling,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Bond,Curve Shot | Bewildered | Utter Gutsiness Bat,232,274.5,232.5,171,175,166,737,Shoot > Offense,Defense > Shoot | Shoot > Offense
117,Tatsuhito Akeito,Theodore Master,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Rough Play,Power Shot | Bewildered | Cross Drive,230,273,231.5,170,172,164,733,Shoot > Offense,Shoot > Shoot | Shoot > Offense
118,Tsutomu Kiuchi,Ham Signalman,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Breach,Deceptive Step | Bewildered | Coil Turn,209,273.5,253.5,181,183,164,733,Offense > Offense,Defense > Shoot | Defense > Defense
119,Sakuo Zokei,Bill Formby,,男 (Male),,選手 (Player),,DF,FW,山 (Mountain),Breach,Rolling Steal | Spider Web | Bewildered,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Shoot | Shoot > Shoot
120,Sota Toma,Grant Eldorado,,男 (Male),,選手 (Player),,GK,FW,火 (Fire),Tension,Mighty Save | Power Shield | Flash Upper,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Shoot > Shoot
121,Sakuta Seimo,Mike Vox,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Counter,Cunning Pull | Fake Ball | Flurry Dash,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Shoot | Offense > Defense
122,Saguri Netto,Ollie Webb,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Counter,Cunning Pull | Scorching Tackle | Cross Drive,167,209,244.5,224,220,208,870,Defense > Offense,Defense > Defense | Shoot > Offense
123,Saito Maniya,Manny Artic,,男 (Male),,監督 (Manager),,MF,DF,山 (Mountain),Justice,Shoulder Tackle | Dash Accelerator | Gravestone,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
124,Meina Meido,Meina Maiden,,女 (Female),,マネージャー (Coordinator),,DF,FW,林 (Forest),Breach,Curving Cut | Dual Strike | Wall of Atlantis,167,209,244.5,224,220,208,870,Defense > Shoot,Defense > Defense | Shoot > Shoot
125,Santa Momochi,Morgan Sanders,,男 (Male),,選手 (Player),,GK,MF,林 (Forest),Bond,Mighty Save | Whirlwind | Warp Space,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Offense > Defense
126,Nagato Fujibayashi,Newton Flust,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Tension,Shoulder Tackle | Shadow Stitch | Clone Faker,167,209,244.5,224,220,208,870,Defense > Defense,Offense > Shoot | Shoot > Offense
127,Jin Kosaka,Jim Hillfort,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Justice,Shoulder Tackle | Afterimage | Spider Web,167,209,244.5,224,220,208,870,Defense > Offense,Defense > Offense | Offense > Defense
128,Gamasuke Jiraiya,Galen Thunderbird,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Bond,Feint Play | Sumo Stomp | Shadow Stitch,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Offense | Shoot > Offense
129,Goeta Ishikawa,Finn Stoned,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Tension,Curving Cut | Sumo Stomp | Shadow Stitch,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Offense | Shoot > Offense
130,Koheita Fuma,Phil Wingate,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Justice,Crosscut Feint | Spider Web | Afterimage,210,266.5,244.5,186,185,177,767,Offense > Defense,Defense > Shoot | Defense > Defense
131,Gen Koga,Jez Shell,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Bond,Heel Flick | Clone Faker | Phantom Shot,209,273.5,253.5,181,183,164,733,Offense > Offense,Offense > Offense | Defense > Defense
132,Sanosuke Sarutobi,Jupiter Jumper,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Rough Play,Nutmeg | Monkey Turn | Dirt Ball,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Offense | Defense > Defense
