juego,nombre,posicion,elemento,ATT,CTL,DEF
IE1,Harry Redcastle,MC,aire,76,73,72
IE1,Sonny Welkin,MC,fuego,79,70,67
IE1,Teddy Kodiak,MC,tierra,75,73,62
IE1,Lloyd Tabb,DF,aire,46,61,67
IE1,Francis Paine,MC,bosque,65,74,62
IE1,Griff Strummer,PR,aire,38,34,76
IE1,Gus Martin,DF,bosque,70,71,75
IE1,Bryce Bergman,MC,fuego,65,77,67
IE1,Fingus Inky,MC,bosque,73,77,69
IE1,Walter Geyser,MC,tierra,75,75,65
IE1,Les Knightley,PR,fuego,37,38,78
IE1,Conor Abley,PR,fuego,40,33,79
IE1,Ainsley Burns,DL,tierra,68,74,41
IE1,Pete Grimes,PR,fuego,31,33,69
IE1,Manny Steele,MC,fuego,71,72,67
IE1,Trey Hugger,PR,fuego,26,38,81
IE1,Jack Mate,DF,aire,62,67,75
IE1,Mike Chequer,PR,fuego,39,33,73
IE1,Berty Adman,PR,tierra,33,36,76
IE1,Troy Carr,DL,aire,73,70,49
IE1,Hollis Ticure,DL,fuego,73,69,46
IE1,Guy Dance,MC,tierra,63,76,69
IE1,Jack Trumper,DL,aire,65,73,35
IE1,Herman Waldon,MC,aire,86,82,80
IE1,John Corder,DL,fuego,73,75,47
IE1,Nigel Bramel,DF,aire,52,64,65
IE1,Hank O'Chief,PR,fuego,36,34,71
IE1,Jess Uplement,MC,tierra,71,69,45
IE1,Alec Smart,PR,fuego,30,30,69
IE1,Rob Anchor,DF,aire,63,66,67
IE1,Brent Cross,MC,fuego,75,65,53
IE1,Albert Wister,PR,tierra,35,39,73
IE1,Nev Erin,DL,aire,77,84,49
IE1,Caz Yewell,PR,fuego,42,35,77
IE1,Conor Trail,PR,aire,37,35,80
IE1,Manuel Gere,DF,aire,49,66,65
IE1,Per Hockside,DL,fuego,65,72,43
IE1,Lee Gleagle,DF,bosque,50,51,61
IE1,Paul Pitcher,DF,tierra,51,64,61
IE1,Turner Fortune,DF,bosque,40,45,78
IE1,John Bloom,MC,fuego,77,84,74
IE1,Walter Walken,DF,aire,46,50,61
IE1,Sal Curie,DF,fuego,53,61,64
IE1,Silver Platt,DF,fuego,58,61,65
IE1,Nick Yergrub,DL,aire,75,73,58
IE1,Mal Inger,DF,tierra,55,63,62
IE1,Jim Cook,DF,aire,53,57,58
IE1,Gus Potter,DF,tierra,50,63,69
IE1,Handel Turnon,PR,fuego,35,31,70
IE1,Peter Malus,MC,tierra,77,77,60
IE1,Colin Lection,DF,fuego,57,59,69
IE1,Brock Twigg,MC,bosque,65,64,78
IE1,Paddy Rise,DF,fuego,58,68,73
IE1,Dustin Westend,DL,aire,68,72,41
IE1,Alfonse Way,MC,tierra,63,62,57
IE1,Pippin Flowers,DL,fuego,76,76,46
IE1,Euan Stamper,DF,bosque,67,48,62
IE1,Derek Swing,MC,aire,83,79,67
IE1,Paddy Prunus,PR,aire,34,33,73
IE1,Brian Presser,DL,tierra,74,75,49
IE1,Pete LeGume,DF,fuego,62,70,72
IE1,Shylock Watson,DF,bosque,43,45,58
IE1,Ed Ripp,DF,tierra,45,60,70
IE1,Hike Basher,DL,bosque,74,72,43
IE1,Anthony Phinder,DL,fuego,71,68,47
IE1,Duncan Jump,DF,fuego,42,51,58
IE1,Lucky Winn,MC,aire,68,76,66
IE1,Gene Bates,DF,fuego,60,60,70
IE1,Randolf Finn,PR,tierra,41,40,74
IE1,Ron Away,DL,fuego,65,55,41
IE1,Rick Hatter,DL,fuego,76,75,51
IE1,Grant Mardy,DF,aire,57,52,58
IE1,Shawn Broker,PR,tierra,28,36,73
IE1,Anthony Coyne,DF,fuego,56,63,68
IE1,Daniel Hatch,DL,bosque,83,83,53
IE1,Healey Proctor,MC,tierra,66,74,48
IE1,Ade Posting,DL,aire,62,61,49
IE1,Doug Outon,MC,aire,58,65,45
IE1,Ebenezer Marner,DF,fuego,40,47,65
IE1,Davy Johns,DL,aire,77,66,45
IE1,Bos Horne,DF,tierra,59,63,67
IE1,Nick Orner,PR,aire,26,28,70
IE1,Nathin Gaunt,MC,tierra,59,76,65
IE1,Quentin Quartz,DL,tierra,75,61,51
IE1,Andrew Meikle,PR,fuego,33,37,72
IE1,Gary Salmon,PR,tierra,36,35,76
IE1,Fontaine Tapper,DL,fuego,67,73,43
IE1,Leon Lawn,DF,tierra,59,54,61
IE1,Jim Sweatman,PR,aire,30,36,72
IE1,Cole Coaker,PR,bosque,33,35,73
IE1,Stu Born,PR,fuego,36,30,72
IE1,Romeo Montague,PR,fuego,37,37,76
IE1,Drew Straitedge,PR,tierra,32,28,70
IE1,Dash Dotter,MC,aire,70,73,60
IE1,Gill O'Mend,MC,fuego,73,74,61
IE1,Pay Chance,PR,fuego,37,35,76
IE1,Bill Aegis,DF,tierra,59,60,69
IE1,Tosh Coach,DF,tierra,40,59,76
IE1,Carl Gnu,DL,bosque,64,71,49
IE1,Paul Sapp,MC,tierra,75,72,69
IE1,Macky Valley,DL,aire,69,65,32
IE1,Troy Trucker,DL,aire,78,70,47
IE1,Haden Seek,DL,fuego,64,75,43
IE1,Kevin Doors,PR,aire,43,42,80
IE1,Skip Rooter,MC,fuego,76,73,68
IE1,Rip Airman,DF,tierra,51,60,65
IE1,Stu Shiner,PR,aire,38,38,73
IE1,David Samford,DL,bosque,82,78,53
IE1,Matt Matickal,PR,bosque,25,27,76
IE1,Philip Flagg,DF,tierra,40,45,61
IE1,Alf Groundsman,DF,tierra,60,62,74
IE1,Ernie Riddell,DL,bosque,68,73,35
IE1,Len Stint,PR,aire,35,37,76
IE1,Holly Cricket,MC,fuego,75,78,68
IE1,Dave Altair,DL,aire,75,72,46
IE1,Jim Reed,DF,bosque,45,51,63
IE1,Gwyn Penn,PR,aire,35,38,70
IE1,Spike Needle,PR,aire,27,26,76
IE1,Ifan Tassy,MC,tierra,75,70,63
IE1,Eggbert Heading,DL,bosque,79,63,55
IE1,Pascal Blaise,DF,bosque,54,64,69
IE1,Will Whist,PR,fuego,36,25,73
IE1,Ewan Liner,PR,aire,34,45,73
IE1,Buster Locke,DF,fuego,56,58,59
IE1,Bob Carlton,PR,bosque,38,33,74
IE1,Rex Plorer,DL,bosque,68,70,49
IE1,Webber Poster,MC,fuego,71,66,49
IE1,Sid Parting,DF,aire,65,62,75
IE1,Eaton Rampage,DL,tierra,68,65,37
IE1,Parker Leaper,PR,aire,36,35,76
IE1,Hank Halberd,PR,bosque,39,34,76
IE1,Robin Catching,PR,fuego,32,35,72
IE1,Trey Spotter,MC,aire,67,71,56
IE1,Onslow Ball,DF,bosque,57,66,75
IE1,Tex Tingle,PR,bosque,28,33,71
IE1,Sam Gale,PR,fuego,34,35,70
IE1,Ryder Waverly,MC,fuego,62,62,66
IE1,Leaf Scarlett,DL,aire,73,71,43
IE1,Horace Coop,DF,bosque,54,58,61
IE1,Ness Lockley,DF,bosque,49,64,70
IE1,Olef Tennant,DF,aire,63,61,67
IE1,Cliff Tomlinson,DL,aire,70,70,46
IE1,Len Scapp,PR,tierra,25,27,74
IE1,Monty Hillary,DL,tierra,65,72,49
IE1,Penfold Pulper,DL,aire,64,71,46
IE1,Thomas Cott,PR,aire,35,37,74
IE1,Spike Thorne,DF,bosque,54,62,69
IE1,Lincoln Hawking,DL,tierra,74,68,56
IE1,Ted Larkin,MC,bosque,76,76,70
IE1,Madison Cabinet,PR,fuego,29,35,70
IE1,Odo Cologne,MC,aire,59,73,60
IE1,Nester Damus,PR,aire,40,37,76
IE1,Herb Ivore,DL,tierra,73,73,47
IE1,Homer Pidgeon,DF,fuego,60,63,66
IE1,Rob Ottley,MC,bosque,62,73,59
IE1,Scott Springer,DL,aire,83,71,42
IE1,Viv Grey,DF,fuego,55,56,59
IE1,Don Snow,PR,fuego,38,32,77
IE1,Jim Lawrenson,DL,aire,71,69,48
IE1,Hal Mullet,MC,aire,62,83,67
IE1,Isaiah Shutt,DL,tierra,77,74,46
IE1,Ace Irvin,MC,fuego,64,72,59
IE1,Spike Pitt,DL,tierra,75,68,44
IE1,Innes Caving,PR,fuego,29,31,75
IE1,Keanu Dell,DL,fuego,68,72,40
IE1,Casey Novak,DF,bosque,59,64,74
IE1,Ed Halley,MC,aire,58,63,53
IE1,Burt Mocking,DF,bosque,60,59,63
IE1,Oscar Petty,PR,fuego,45,40,80
IE1,Waite Forrit,MC,tierra,76,73,65
IE1,Bennett Byers,PR,aire,36,35,79
IE1,Mo Eisner,PR,fuego,33,37,74
IE1,Miles Seaford,DF,aire,40,46,67
IE1,Sayer Lemon,DF,fuego,55,64,64
IE1,Carey Ginu,DL,bosque,64,73,48
IE1,Barry Potts,MC,aire,71,69,63
IE1,Cass Crocker,DL,fuego,79,65,28
IE1,Paul Downs,MC,aire,70,73,48
IE1,Darrel Jeeling,PR,bosque,34,39,71
IE1,Nobby Shinn,DL,bosque,72,65,31
IE1,Theo Broma,DF,fuego,54,54,62
IE1,Ramsey Faroe,PR,fuego,25,34,80
IE1,Buster Chopps,PR,fuego,37,35,76
IE1,Vince Bull,MC,aire,72,73,66
IE1,Pat Maclean,DL,aire,77,75,53
IE1,Walter Card,DL,tierra,62,56,28
IE1,Derek Terr,DL,fuego,65,55,45
IE1,Alton Oldhat,MC,tierra,74,71,45
IE1,Cal Cooler,DL,bosque,79,70,48
IE1,Tom Felix,MC,aire,74,80,70
IE1,Terry Orr,DF,fuego,50,54,60
IE1,Rudolph Rainder,DF,fuego,47,47,65
IE1,Steve Ingham,DL,tierra,75,65,40
IE1,Nick Swagg,PR,fuego,42,44,77
IE1,Hal Leeward,MC,bosque,75,83,65
IE1,Arthur Dox,DL,tierra,72,72,50
IE1,Reese Ickle,DL,bosque,72,71,46
IE1,Finn Attick,DF,aire,62,66,76
IE1,Col Lector,DL,tierra,72,77,49
IE1,Crispin Shooter,PR,fuego,26,33,69
IE1,Stu Perstitious,DF,fuego,47,65,58
IE1,Ashley Fay,DL,aire,74,61,38
IE1,Luke Raffles,MC,bosque,76,75,60
IE1,Stu Helmsley,PR,fuego,37,36,74
IE1,Terrence Anthem,DF,fuego,61,62,69
IE1,Gene Bottle,DL,aire,74,66,51
IE1,Sam O'Reilly,MC,fuego,75,65,48
IE1,Ches Nutcracker,PR,fuego,43,45,80
IE1,Victor Grand,DF,bosque,64,61,65
IE1,Ant Hophila,DF,tierra,52,65,64
IE1,Hunter Glory,MC,bosque,77,79,74
IE1,Joe Rassock,PR,aire,32,36,72
IE1,Patch Borgnine,MC,fuego,58,65,48
IE1,Ted Fast,PR,bosque,33,35,80
IE1,Clay Modlin,DL,tierra,77,68,49
IE1,Alan Mode,DF,aire,56,58,58
IE1,Harry Harper,PR,aire,30,34,76
IE1,Pascal Richter,MC,tierra,71,75,52
IE1,Beau Fort,DF,aire,49,57,68
IE1,Reid Scarlet,DF,fuego,59,62,74
IE1,Joe Lamkin,MC,bosque,70,76,60
IE1,Dylan Magpie,PR,aire,33,37,76
IE1,Gil Rivers,DL,aire,71,72,48
IE1,Des Tiny,DF,bosque,54,58,68
IE1,Saul Dowd,DF,tierra,55,62,65
IE1,Kit Chapman,DL,fuego,79,70,43
IE1,Fry Vollity,DF,bosque,63,59,66
IE1,Clark Roach,MC,tierra,79,67,66
IE1,Samuel Peeps,DF,fuego,54,64,72
IE1,Dai Hart,DF,fuego,40,45,58
IE1,Horty Courture,DL,bosque,62,62,35
IE1,Bob Baggum,PR,tierra,34,35,77
IE1,Ollie Twister,DL,aire,75,67,40
IE1,Fred Makepeace,DF,bosque,40,54,76
IE1,Walker Sleep,PR,tierra,40,37,74
IE1,Sean Trawler,MC,aire,74,75,62
IE1,Ken Sewer,PR,bosque,29,28,81
IE1,Bamber Shoot,DL,tierra,66,74,35
IE1,Sly Winker,DF,aire,45,46,68
IE1,Teller Scoap,PR,tierra,33,39,77
IE1,Sam Firman,PR,fuego,38,34,75
IE1,Bear Turnbull,DL,bosque,70,70,46
IE1,Tabor Drummond,PR,tierra,25,25,74
IE1,Brook Atwater,DF,aire,58,61,67
IE1,Ike Doerflinger,DL,bosque,71,70,47
IE1,Aessop Fabel,DF,fuego,62,60,65
IE1,Grant Slammer,DL,aire,69,71,33
IE1,Robin Cruise,PR,tierra,39,31,79
IE1,Mark Perfect,PR,fuego,31,39,76
IE1,Rolly Kerr,MC,aire,65,81,51
IE1,Moses Pumper,DL,fuego,75,73,53
IE1,Knight Reader,DF,tierra,45,53,75
IE1,Cash Barganier,DL,fuego,62,58,36
IE1,Brendan Branch,PR,tierra,31,38,76
IE1,Clark Rain,MC,tierra,66,78,49
IE1,Luther Rio,PR,aire,31,36,73
IE1,Florian Hutter,MC,fuego,72,71,63
IE1,Scamp Shrimplin,PR,bosque,34,37,71
IE1,Adam Nesiac,DF,tierra,64,66,79
IE1,Rab Acus,DL,aire,67,74,40
IE1,Chris Miles,MC,bosque,75,78,66
IE1,Shemmy Ramis,MC,tierra,76,76,67
IE1,Lon Grainger,PR,fuego,38,34,73
IE1,Manny Atom,DL,fuego,78,72,52
IE1,Bill Tardy,PR,tierra,39,37,76
IE1,Fox Copier,DL,bosque,75,66,42
IE1,Cletus Badden,MC,aire,74,72,60
IE1,Skip Sofrenic,MC,tierra,74,75,68
IE1,Mat Char,DL,bosque,63,72,42
IE1,Trey Cultivator,DF,bosque,50,65,65
IE1,Vinny Trioquist,DL,tierra,73,60,33
IE1,Ton Nino,MC,aire,79,76,65
IE1,Oscar Esher,PR,aire,25,25,69
IE1,Nathan Jones,PR,aire,38,37,79
IE1,Saul Searcher,DF,aire,50,65,70
IE1,Gerry Attrick,DF,tierra,58,64,74
IE1,Adam Icklock,PR,fuego,29,26,72
IE1,Sol Stiss,DL,tierra,68,75,32
IE1,Des Ainer,MC,fuego,82,70,69
IE1,Homer Sockshell,DL,fuego,75,72,52
IE1,Harley Trotter,DL,fuego,79,70,47
IE1,Mark Skidfree,MC,fuego,76,75,69
IE1,Del Iverryboy,PR,aire,36,35,71
IE1,Scean Spector,DF,aire,44,45,65
IE1,Nick Knack,MC,fuego,72,73,56
IE1,Dusty Rellicks,MC,tierra,67,78,63
IE1,Sandy Insolls,MC,fuego,61,64,59
IE1,Gregory Bones,MC,bosque,67,76,66
IE1,Loughrey Mose,DL,aire,83,76,43
IE1,Willow Withers,MC,bosque,62,74,63
IE1,Russell Walk,DF,bosque,60,62,65
IE1,Winn deBreeze,DF,aire,60,57,68
IE1,Buster Clout,DF,fuego,61,66,74
IE1,Errol Lorre,DL,bosque,74,71,44
IE1,Fred Ferrell,MC,tierra,76,65,71
IE1,Rod Headstock,PR,fuego,36,31,70
IE1,Tim Piece,DL,aire,67,73,46
IE1,Patrick Edie,DF,bosque,57,66,58
IE1,Art Teest,MC,aire,70,75,74
IE1,Bill Mumm,DL,bosque,74,80,55
IE1,Luke O'Cyte,DL,fuego,75,61,50
IE1,Ernest Byer,DL,fuego,72,70,46
IE1,Isaac Goss,MC,tierra,77,70,60
IE1,Walter Poseur,DF,aire,49,67,70
IE1,Andy Roff,DF,tierra,53,66,69
IE1,Ashley Dale,DL,bosque,74,79,48
IE1,Rich Cave,PR,fuego,31,39,74
IE1,Jason Jones,DF,aire,55,61,67
IE1,Taka Tanaka,MC,aire,76,67,69
IE1,Manny Carbs,DF,tierra,55,62,59
IE1,Al Reddie,MC,bosque,68,73,58
IE1,Rush Tooset,MC,bosque,81,71,69
IE1,Rod Opsin,DL,tierra,76,67,42
IE1,Peyton Pope,PR,fuego,37,36,75
IE1,Drew Straws,DL,bosque,75,68,43
IE1,Trey Dalbum,DL,bosque,68,61,37
IE1,Harly Profett,MC,bosque,76,70,70
IE1,Hank O'Buff,PR,aire,32,39,77
IE1,Ash Cloud,DL,tierra,64,73,49
IE1,Stan Dupp,DL,bosque,72,71,51
IE1,Max Bright,MC,aire,65,65,59
IE1,Bill Phee,PR,bosque,41,33,76
IE1,Lee Figreene,DL,bosque,66,70,34
IE1,Den Taligene,MC,fuego,81,66,51
IE1,Ken Furan,DF,tierra,55,59,74
IE1,Adam Hesive,DF,fuego,55,69,69
IE1,Mel Lowe,DF,tierra,64,72,79
IE1,Rip Winkle,MC,bosque,79,72,70
IE1,Ben deLimms,PR,bosque,31,38,75
IE1,Pauly Ontology,DL,tierra,62,55,41
IE1,Walter Mendip,DL,aire,73,65,38
IE1,Bud Hunter,PR,bosque,33,36,73
IE1,Sonny Rentman,DL,tierra,73,79,53
IE1,Cam Vass,PR,fuego,31,36,71
IE1,Shay Chez,MC,tierra,73,79,66
IE1,Cory Andish,DL,bosque,73,75,52
IE1,Glen Adeer,DL,aire,76,72,51
IE1,Norry Sheets,PR,fuego,35,37,80
IE1,Lou Paster,DL,aire,75,74,45
IE1,Aran Cheeks,PR,aire,34,39,70
IE1,Abe Seiler,MC,tierra,81,75,62
IE1,Jerry Fulton,DF,fuego,55,62,71
IE1,Al Urgy,DF,tierra,59,64,69
IE1,Conn Pass,MC,aire,68,78,49
IE1,Heath Cover,DF,aire,55,51,61
IE1,Mack Ramey,DF,tierra,58,55,59
IE1,Miles Ryan,DF,aire,58,59,74
IE1,Ike Banner,PR,bosque,37,38,72
IE1,Frank Meyer,MC,fuego,71,76,67
IE1,Phil Fog,PR,fuego,40,36,74
IE1,Bob Lioteck,PR,fuego,37,35,74
IE1,Rory Polisher,PR,fuego,33,37,70
IE1,Tex Curvator,DL,tierra,70,77,50
IE1,Perry Pincher,DL,tierra,73,69,41
IE1,Al Plates,DL,tierra,67,74,40
IE1,Bane Marie,DF,tierra,55,66,69
IE1,Cam Broadsheet,MC,bosque,64,76,64
IE1,Mo Hawkes,DL,fuego,73,74,48
IE1,Ray Mannings,MC,aire,73,76,60
IE1,Chris Pecracker,PR,tierra,35,36,70
IE1,Andy Crafter,DL,aire,72,69,47
IE1,Boe Tyer,PR,fuego,34,37,73
IE1,Dave O'Resis,MC,bosque,65,67,48
IE1,Victor Mancey,DL,fuego,72,73,50
IE1,Ray Dioset,DL,bosque,77,65,51
IE1,Preston Gumbs,DL,aire,75,70,35
IE1,Tiny Forester,DF,tierra,59,67,63
IE1,Cardin Hands,DL,bosque,75,65,49
IE1,Callan Trens,DL,fuego,76,71,49
IE1,Tim Mittus,DF,tierra,65,61,68
IE1,Keenan Brainard,MC,bosque,67,77,66
IE1,Orson Douvre,PR,tierra,42,32,77
IE1,Sandy Hope,DF,tierra,64,55,75
IE1,Ort Omaton,PR,fuego,39,38,76
IE1,Clerk Welcome,DF,tierra,65,66,60
IE1,Robert Mayer,MC,bosque,72,73,62
IE1,Rob Ottman,PR,aire,37,33,72
IE1,Cam O'Miles,PR,bosque,42,29,77
IE1,Jack Pott,PR,tierra,35,36,74
IE1,Florian Selles,DL,bosque,71,72,48
IE1,Finn Sawyer,PR,fuego,35,41,71
IE1,Bobby Constable,DL,fuego,76,72,48
IE1,Ray Menn,DL,aire,66,75,47
IE1,Odo Toilette,PR,fuego,31,39,75
IE1,Tel Egram,MC,tierra,68,77,50
IE1,Char Shumaker,DL,tierra,75,72,45
IE1,Sim Pathy,DF,bosque,70,64,59
IE1,Jon Driedon,DL,fuego,62,70,49
IE1,Monty Burrows,PR,tierra,25,29,69
IE1,Gaston Berry,DL,fuego,62,59,28
IE1,Cruz Ligner,MC,tierra,74,71,65
IE1,Irv Washinton,DF,aire,47,48,58
IE1,Alexander Brave,MC,fuego,74,80,59
IE1,Shem Bassey,DF,bosque,56,58,69
IE1,Pres Cripton,DL,tierra,72,71,46
IE1,Winston Windfall,MC,bosque,65,67,66
IE1,Rich Eden,PR,bosque,37,40,77
IE1,Teagen Brewer,DF,bosque,47,52,68
IE1,Ry Sling,DF,aire,53,65,61
IE1,Bard Crooner,MC,aire,72,63,65
IE1,Armstrong Peck,PR,fuego,35,29,75
IE1,Carey Vanpark,MC,fuego,67,64,61
IE1,Garland Gathers,MC,tierra,72,64,50
IE1,David Burnum,DF,fuego,47,55,60
IE1,Tad Trinket,MC,fuego,62,66,47
IE1,Harvey Lifter,DF,tierra,54,57,63
IE1,Kurt Price,MC,bosque,62,63,54
IE1,Cameron Hameha,MC,bosque,63,67,50
IE1,Will Stonehead,DF,fuego,66,60,73
IE1,Johan Tassman,DL,bosque,76,74,38
IE1,Hugh Marble,DF,tierra,59,57,60
IE1,Urson Brown,PR,bosque,35,32,72
IE1,Bo Luger,DL,bosque,82,68,43
IE1,Kim Ono,DL,tierra,73,76,48
IE1,Bully Thrower,DL,aire,67,72,32
IE1,Bill Wordsworthy,MC,tierra,60,74,45
IE1,Mo Lusk,DL,tierra,73,71,54
IE1,Ben Curd,DF,fuego,66,74,81
IE1,Powers Squatts,PR,fuego,37,30,80
IE1,Paisley Onepiece,DF,aire,60,61,69
IE1,Gauge Diven,DF,fuego,57,64,69
IE1,Zane Laughead,MC,aire,71,73,73
IE1,Daz Tighthead,PR,bosque,42,45,80
IE1,Sandy Beecher,DL,aire,75,70,46
IE1,Ty Priter,DL,fuego,80,70,41
IE1,Nick Savers,PR,aire,43,39,81
IE1,Troy Moon,MC,fuego,79,87,63
IE1,Percy Wrench,MC,fuego,76,69,54
IE1,Max Scara,PR,aire,37,31,69
IE1,Jonny Strutt,DL,bosque,63,64,42
IE1,Larry Oldman,DL,tierra,62,61,29
IE1,Dom Anding,MC,tierra,67,72,67
IE1,Pip Goodweather,PR,tierra,35,37,76
IE1,Bamber Mandrina,DF,bosque,40,58,80
IE1,Scrap Salvadge,PR,tierra,37,35,70
IE1,Michael Angeloni,PR,aire,31,40,71
IE1,Ryder Wheeling,DF,tierra,59,56,59
IE1,Stu Venier,DF,fuego,45,64,65
