nombre,posicion,juegos,ATT,CTL,DEF
Aimé Quintet,DF,GO1 GO2 GO3,56,61,75
Ainsley Burns,DL,IE1 IE2 IE3,67,72,40
Aitor Cazador,DF,GO1 GO2 GO3,52,62,74
Akra,DF,GO3,60,61,66
Al Askan,DL,IE1 IE2 IE3,70,74,52
Al Chemmy,DF,IE1 IE2 IE3,64,67,71
Al Istatin,MC,IE1 IE2 IE3,75,72,65
Al Itchen,MC,IE2 IE3,70,72,60
Al Kazam,DF,GO1 GO2 GO3,49,53,68
Al Mannack,DF,IE1 IE2 IE3,45,62,70
Al Opino,PR,IE3,35,34,75
Al Overa,MC,GO1 GO2 GO3,69,74,66
Al Plates,DL,IE1 IE2 IE3,66,72,39
Al Reddie,MC,IE1 IE2 IE3,67,72,57
Al Stringer,DF,IE2 IE3,52,56,66
Al Urgy,DF,IE1 IE2 IE3,58,62,68
Al Woo,MC,GO2 GO3,74,82,66
Alain Favreau,DL,IE3,79,78,39
Alan Carte,MC,IE1 IE2 IE3,80,65,46
Alan Coe,MC,IE1 IE2 IE3,69,64,55
Alan Downhill,DF,GO1 IE3,52,62,72
Alan Master,MC,IE1 IE2 IE3,78,80,75
Alan McCallum,DL,GO1 GO2 GO3,75,68,44
Alan Mode,DF,IE1 IE2 IE3,55,56,58
Alan Most,DF,IE1 IE2 IE3,56,58,68
Alan Sumner,DF,GO2 GO3 IE2 IE3,53,67,82
Alben Moretti,MC,GO1 GO2 GO3,61,72,46
Albert Denver,DF,GO1 IE3,52,59,74
Albert Green,PR,IE1 IE2 IE3,34,34,82
Albert Wister,PR,IE1 IE2 IE3,34,37,73
Albion Lumina,PR,GO1 GO2 GO3,34,32,82
Alec Dote,PR,IE1 IE2 IE3,29,35,69
Alec Smart,PR,IE1 IE2 IE3,30,29,69
Alessandro Rossa,MC,IE3,78,80,66
Alessandro il Grande,PR,GO1 GO2 GO3,33,33,81
"Alex ""Prof"" Gottlieb",MC,GO2,64,74,63
Alex Copple,PR,IE2 IE3,42,42,78
Alex Dauger,DF,IE2 IE3,64,70,75
Alex Gottlieb,MC,GO1 GO3,64,75,64
Alex Hawke,PR,IE3,45,36,71
Alex Lovely,DF,IE2 IE3,52,52,63
Alex Zabel,DL,GO1 GO2 GO3,86,77,41
Alexander Brave,MC,IE1 IE2 IE3,74,80,59
Alexander Hausen,DF,IE3,63,67,75
Alexei Karnov,PR,GO3,36,36,80
Alexia Sand,DF,IE2 IE3,61,62,72
Alexis Watchorn,DL,GO2 GO3 IE2 IE3,70,66,40
Alf Groundsman,DF,IE1 IE2 IE3,58,61,72
Alf Holmes,PR,IE1 IE2 IE3,25,26,79
Alfa,DL,GO3,81,74,44
Alfie Fine,PR,GO2 GO3 IE1 IE2 IE3,35,31,80
Alfonse Way,MC,IE1 IE2 IE3,62,62,56
Alfred Meenan,DF,IE1 IE2 IE3,60,59,68
Alfred Veteran,PR,GO3,34,26,81
Algo Rithm,DL,GO1 GO2 GO3,75,71,44
Algy Kelp,MC,IE2 IE3,73,74,67
Ali Caiman,DL,IE3,81,73,45
Alice Nutty,DF,IE2 IE3,60,56,64
Alicia Odde,DF,GO1 GO2 GO3,53,55,75
Alien 1,PR,GO3,35,34,80
Alien 10,DL,GO3,79,69,48
Alien 11.,DL,GO3,78,72,41
Alien 2,DF,GO3,57,59,75
Alien 3,DF,GO3,57,63,74
Alien 4,DF,GO3,59,57,73
Alien 5,DF,GO3,55,60,75
Alien 6,MC,GO3,74,79,62
Alien 7,MC,GO3,74,78,59
Alien 8,MC,GO3,69,80,61
Alien 9,DL,GO3,80,68,49
Alistair Horizon,MC,IE1 IE2 IE3,65,79,49
Alma Verchu,MC,GO1 GO2 GO3,72,80,72
Alpha,DL,GO2,82,75,45
Alton Cotts,MC,IE2 IE3,73,76,76
Alton Oldhat,MC,IE1 IE2 IE3,73,70,46
Altum,PR,GO3,32,33,80
Amahisa,DF,GO3,58,62,84
Amanda Jurr,MC,GO1 GO2 GO3,62,74,47
Amanda Turner,MC,GO3,74,78,62
Amano,MC,GO3,71,71,61
Amaranto Rubino,MC,IE3,71,69,65
Amaru,DL,GO3,77,70,38
Amase Reia,MC,GO3,70,80,64
"Ambrose ""Amber"" Ericson",PR,GO2 GO3,30,30,80
Ambrose Ericson,PR,GO1,28,30,84
Ameen Abel,DF,IE3,51,53,65
Amelio Thyst,DF,GO1 GO2,50,60,82
Amen,DF,GO3,57,64,76
Ames Shivers,PR,IE1 IE2 IE3,37,34,74
"Amir ""Dreams"" Rika",DL,GO2,78,67,31
Amir Rika,DL,GO3 IE3,70,64,30
Amy Peach,MC,IE2 IE3,76,76,59
Amy Sargent,MC,GO1 GO2 GO3,69,73,71
Amy Spires,DF,IE2 IE3,56,59,66
Amy Stinger,DF,IE2 IE3,48,64,62
An Tafuri,DF,GO2 GO3,42,46,71
Ananshi,MC,GO3,73,85,66
Anas Eidah,DF,GO2 GO3,54,56,80
Anazawa,DF,GO3,59,63,80
Anders Thettock,DL,IE3,72,66,39
Andrea Bruzel,DF,GO3,58,52,61
Andrew Hooper,DL,IE2 IE3,74,72,48
Andrew Meikle,PR,IE1 IE2 IE3,32,36,71
Andrｺ Pinson,DF,IE3,57,72,70
Andy,DF,GO2 GO3 IE3,50,54,69
Andy Chronic,DF,IE1 IE2 IE3,52,68,78
Andy Craft,DL,IE1 IE2 IE3,62,56,31
Andy Crafter,DL,IE1 IE2 IE3,71,67,46
Andy Fudge,DL,IE2 IE3,78,78,50
Andy Kareem,DF,GO1 GO2,56,62,72
Andy Roff,DF,IE1 IE2 IE3,52,64,68
Andy Sided,DF,IE1 IE2 IE3,60,65,72
Andy Wallpole,MC,IE1 IE2 IE3,75,74,61
Anfaira D’vantage,MC,IE3,67,81,77
Angelo Gabrini,MC,GO1 GO2 GO3 IE3,74,81,64
Angus Hogg,DL,IE2 IE3,62,56,30
Aniki,PR,GO3,31,28,79
Anil Latikal,DF,IE3,45,47,58
Anin,PR,GO3,31,30,79
Ankie,MC,GO3,74,77,62
Ann Taisie,DL,IE2 IE3,78,74,50
Anna Bugeisha,DF,GO3,52,61,79
Anna Bugeisha,DL,GO2 IE2 IE3,73,64,41
Anna Mite,DF,IE3,57,62,66
Anna Mole,DF,IE3,59,68,66
Anne Sestral,DL,GO1 GO2 GO3,78,66,40
Anne Somnia,DF,GO2 IE2 IE3,45,54,69
Anne Tenney,MC,GO1 GO2 GO3,74,73,71
Anorel,PR,GO1 GO2 GO3 IE3,31,32,81
Ant Anomy,MC,IE2 IE3,78,77,68
Ant Hophila,DF,IE1 IE2 IE3,51,64,64
Anthea Tussore,MC,GO1 GO2 GO3,75,77,63
Anthony Coyne,DF,IE1 IE2 IE3,55,61,67
Anthony Phinder,DL,IE1 IE2 IE3,70,67,45
Anthony Phinder,PR,GO2,34,37,84
Anton Donce,MC,IE2 IE3,66,64,70
Anton Graziuso,DF,IE3,60,59,81
Anton Nortje,MC,IE3,74,79,59
Antonio Bagre,DF,IE3,50,61,75
Antonio Gallego,DF,IE3,54,61,71
Antwa Arry,MC,GO3,65,79,56
Aoba Gyr,PR,GO3,36,37,81
Aock,MC,GO3,59,74,60
Apas Muran,DF,GO3,58,63,76
Apex Paradiso,PR,GO1 GO2 GO3,32,30,78
Aphrodite,MC,GO2 GO3,82,84,66
Apnus Braithwaite,PR,GO1 GO2 GO3,28,26,79
Apollo Light,DF,GO1 GO2 IE1 IE2 IE3,63,65,74
Apollo.,DF,GO3,50,61,75
Apra Chabel,DL,GO1 GO2 GO3,77,66,45
Aquilina Schiller,DL,GO3,79,73,47
Ar Ecks,MC,GO2 GO3,78,80,63
Arachne,MC,GO1 GO2 IE3,75,79,53
Arakuné,MC,GO3,71,79,62
Aran Cheeks,PR,IE1 IE2 IE3,34,38,70
Arata,DL,GO3,82,77,40
Archer Hawkins,DF,GO1 GO2 GO3 IE3,61,59,71
Archie Meades,PR,IE1 IE2 IE3,34,30,79
Archie Medes,DF,GO1 GO2 GO3,49,61,65
Archie Rider,DL,IE3,79,70,42
Archie Tate,PR,IE1 IE2 IE3,25,25,73
Archie Valry,MC,GO1 GO2 GO3,73,80,62
Archy Medez,PR,IE1 IE2 IE3,35,37,73
Archy Seago,DL,IE2 IE3,78,75,44
Arculus Orbes,DL,GO3,86,79,48
Ardel Kernel,DF,IE2 IE3,44,60,65
Ares,DF,GO2 GO3,51,54,75
Argento Salvage,DF,IE2 IE3,58,66,72
Argie Bargie,DF,IE2 IE3,64,68,73
Argo Burgess,PR,GO3,32,35,81
Argyr,DF,GO2 GO3,56,62,80
Arion Matlock,MC,GO1 GO2 IE1 IE2 IE3,72,78,68
Arion SherAire,MC,GO2,76,81,66
Arion Sherwind,MC,GO1 GO3,74,84,66
Aris Tottle,DF,GO1 GO3,51,58,70
Ark,MC,GO2 GO3 IE2,68,78,60
Arkew,DF,GO2 GO3 IE2,54,61,72
Armand Sedate,MC,GO1 GO2 GO3,64,73,46
Armstrong Peck,PR,IE1 IE2 IE3,34,29,74
Arnan Wheelie,MC,IE2 IE3,70,70,66
Arno,DL,GO3,80,71,47
Art Izan,DF,GO1 GO2 GO3,56,58,80
Art Pendragon,PR,IE1 IE2 IE3,36,37,76
Art Teest,DF,GO2,52,61,81
Art Teest,MC,IE1 IE2 IE3,68,73,72
Art Tundra,MC,GO1 GO2 GO3,70,76,62
Art Turner,PR,GO1 GO2 GO3,31,30,78
Artemis,MC,GO2 GO3,66,78,54
Arthur Ascot,DF,GO1 GO2,48,66,68
Arthur Crabbe,DF,IE3,58,65,73
Arthur Dox,DL,IE1 IE2 IE3,71,70,48
Arthur Easley,DF,IE2 IE3,59,62,65
Arthur Easley,MC,GO2,70,80,63
Arthur Myrddin,DF,IE1 IE2 IE3,59,62,69
Arthur Sweet,DF,IE1 IE2 IE3,64,73,75
Artie Mishman,MC,GO1 IE1 IE2 IE3,75,75,64
Artie Xan,MC,IE3,65,68,58
Arturo,DL,GO3,83,73,52
Arty Xerxes,DF,GO1 GO2 GO3,53,64,68
Arvin Inkwell,DF,IE2 IE3,54,58,68
Asbe Stostumi,DF,GO2 GO3,42,45,72
Ash Cagger,DF,GO1 GO2 GO3,55,57,83
Ash Cloud,DL,IE1 IE2 IE3,64,71,48
Ashleigh Salpara,MC,GO3,77,83,57
Ashley Dale,DL,IE1 IE2 IE3,73,77,47
Ashley Fay,DL,IE1 IE2 IE3,72,60,37
Ashley Silverwood,DF,GO1 GO3,51,52,72
Ashton Malone,MC,GO1 IE3,70,77,60
Ashubina Barany,PR,GO3,36,39,85
Asif Ecks,MC,IE3,69,76,52
Askel Blays,DF,GO1 GO2,54,54,72
Aslei Rune,MC,GO2 GO3,74,80,63
Aspen Blewit,DF,IE3,55,61,70
Assad Gais,DF,GO3,57,53,76
Assumpta Meakin,DF,IE3,44,49,61
Asta,MC,GO2 GO3,72,80,60
Astaroth,PR,GO1 GO2 GO3 IE3,34,31,82
Aster,DL,GO2 GO3,82,78,40
Asthon Malone,DL,GO3,74,61,34
Aston Isher,MC,IE1 IE2 IE3,76,70,59
Astra Justin,MC,GO3,77,80,65
Astro Ceres,PR,GO1 GO2,28,30,80
Atakh Ama,DL,GO3,78,71,50
Athena,MC,GO2,70,75,56
Atla Sokarb,DL,GO3,83,79,45
Atlas Carrier,DL,GO1 GO2,76,70,36
Atoma Isao,DF,GO3,55,57,74
Atou Ran,DL,GO3,74,69,35
Attila Hun,DF,GO1 GO3,48,49,77
Attley Hightable,PR,IE1 IE2 IE3,32,38,71
Auberon Ouranos,DF,GO1 GO2 GO3,49,55,77
Aubry Dient,PR,IE1 IE2 IE3,38,32,77
Audry Orange,MC,IE2 IE3,66,65,52
August Dyers,MC,IE2 IE3,78,76,68
Aum Nirvana,PR,GO1 GO2 GO3,30,33,80
Aurelia Dingle,MC,GO2 GO3 IE2 IE3,73,79,67
Aurie Garmer,MC,GO2 GO3 IE2 IE3,70,73,65
Austin Hobbes,DL,GO1 GO2 GO3 IE3,80,72,43
Austin Tayssus,MC,IE1 IE2 IE3,68,74,55
Autumn Leaf,DF,GO1 GO2 GO3,52,61,63
Av Antguard,DF,GO1 GO2 GO3,51,61,71
Avery Rarecard,DL,GO1 GO2 GO3,76,69,42
Avid Peddler,DL,IE3,70,67,41
Avinash Chowdhury,DL,IE3,74,69,38
Avorio Opale,DL,IE3,80,64,32
Axel Adulto,DL,GO3,88,83,45
Axel Adulto GO Chrono,DL,GO3,83,77,40
Axel Adulto Go Galxy,DL,GO3,83,76,41
Axel Blaze,DL,GO2 GO3 IE1 IE2 IE3,84,78,47
Axel Lottle,MC,GO1 GO2 GO3,68,80,54
Aya Shadowe,DL,GO1 GO2 GO3,75,70,45
Aya Strand,PR,IE2 IE3,36,36,76
Aye Nort,DL,GO2 GO3,76,68,36
Aymer Loozit,MC,GO1 GO2 GO3,67,80,50
Ayt Bee,DF,GO2 GO3,51,54,71
Ayuta,MC,GO2,63,73,58
Azrael Andrews,MC,GO1 GO2 GO3,70,79,60
Azubel Turchese,DF,IE3,54,54,78
Azzurro Zaffiro,DF,IE3,48,64,72
B-Black,DF,GO2,57,67,76
BA Branssen,MC,IE3,67,73,53
Badeen J-Arhan,PR,GO3,35,31,81
Bae Jeong-Ho,DF,GO3,50,56,73
Bael,DF,GO1 GO3 IE3,52,59,74
Bael Character,DF,GO2,48,56,77
Baga Guny,DF,GO3,59,59,79
Bailey Sitter,DL,IE2 IE3,74,70,42
Bailong,DL,GO1 GO2 GO3,87,80,39
Baizcat,DL,GO3,86,82,45
Bala Gasgula,DL,GO3,82,77,47
Balcke,DF,IE2,65,64,70
Balen,MC,IE2,74,81,64
Balen Straw,PR,IE3,34,33,75
Baller,DF,GO2 GO3 IE2,54,61,75
Balt Decker,DF,IE1 IE2 IE3,55,57,68
Bamber Mandrina,DF,IE1 IE2 IE3,40,56,78
Bamber Shoot,DL,IE1 IE2 IE3,65,72,34
Bambis Shakin,DL,IE1 IE2 IE3,68,73,43
Banbaros Tower,DF,GO3,64,62,80
Banda Crix,MC,GO3,75,81,59
Banda Crix Jr.,MC,GO3,72,78,58
Bandy Horsman,MC,IE3,76,80,62
Bane Marie,DF,IE1 IE2 IE3,54,64,68
Banzlay,DF,GO3,51,58,75
Barack Daniels,DF,IE3,59,63,73
"Barbara ""Bunny"" Bitt",DL,GO2 GO3,76,70,30
Barbara Bitt,DL,GO1,78,79,35
Barbara Clector,DF,IE2 IE3,46,63,64
Bard Crooner,MC,IE1 IE2 IE3,70,62,63
Bark Sepakro,MC,GO3,76,79,59
Barnabas Rossa,DL,GO1 GO2 GO3,75,62,42
Baron Blackgold,MC,GO2 IE3,72,74,59
Baron Oxford,DF,GO1 GO2,62,54,62
Barry Lugh,DL,IE1 IE2 IE3,65,71,42
Barry Potts,MC,IE1 IE2 IE3,70,68,63
Barry Sterr,MC,IE1 IE2 IE3,61,74,55
Barry Straw,DL,IE1 IE2 IE3,62,77,28
Barry Tone,MC,GO1 GO2 GO3,69,79,62
Bart Black,DF,GO1 GO2 GO3,47,58,72
Bart Grantham,PR,IE1 IE2 IE3,25,25,80
Bash Beaton,DL,IE2 IE3,74,82,51
Bash Lancer,DL,GO1 GO2 GO3 IE3,85,74,44
Bass Danish,MC,GO3,76,81,63
Batal Majid,DF,GO3,55,60,76
Bay Laurel,MC,GO1 GO2,68,76,66
Bayonet Gunne,MC,GO1 GO2,76,72,62
"Baz ""B-Boy"" Boyes",MC,GO2,66,74,57
Baz Boyes,MC,GO1 GO3,66,74,58
Bea,PR,GO3,33,29,81
Bea Jou,DL,GO1 GO3,77,64,40
Beacon Noor,MC,GO1 GO2 GO3,73,86,62
Beamer Daye,DF,GO1 GO2 GO3,56,66,73
Bear Turnbull,DL,IE1 IE2 IE3,69,69,45
Bear Zurka,PR,IE3,41,40,74
Beat Baxter,DF,GO1 GO2,54,53,72
Beat Scatton,MC,IE2 IE3,66,68,64
Beata Pummel,DL,GO2 GO3 IE2 IE3,69,67,38
"Beatrix ""Bee"" Hunny",DF,GO2 GO3,54,54,64
Beatrix Hunny,DF,GO1,62,61,71
Beau Fort,DF,IE1 IE2 IE3,48,56,67
Beau Gotcher,PR,GO1 GO2 GO3,29,33,79
Beau Hammock,MC,IE2 IE3,74,73,64
Beau Painton,MC,IE1 IE2 IE3,78,70,59
Becca Pilgreen,DF,IE2 IE3,60,70,75
Beck Hand,DL,IE2 IE3,72,75,51
Beck Heath,MC,GO1 GO2 GO3,74,78,62
Becks Binder,DL,IE3,76,74,49
Becky Shuffle,DL,IE2 IE3,78,75,51
Behemoth,DF,GO1 GO2 IE3,57,57,75
Bela Bluebells,MC,GO3 IE2 IE3,71,75,64
Beldio Smeraldo,MC,IE3,58,76,59
Belial,DF,GO1 GO2 GO3 IE3,52,62,70
Bella Baker,DL,GO2 IE3,78,66,38
Bella Shaded,PR,GO2 GO3 IE2 IE3,37,34,78
Bellatrix,MC,GO2 GO3 IE2,77,81,62
Belle Allure,MC,IE2 IE3,72,70,65
Belle Belladona,MC,GO2,75,83,66
Beluga,PR,GO3 IE2,33,34,79
Ben Blowton,MC,GO1 IE3,70,76,67
Ben Curd,DF,IE1 IE2 IE3,64,71,79
Ben Danna,DL,IE2 IE3,73,77,54
Ben Evolent,DL,IE1 IE2 IE3,77,66,46
Ben Feuer,MC,IE3,67,64,57
Ben Nevis,DF,IE1 IE2 IE3,53,60,76
Ben North,PR,GO1 GO2 IE3,30,33,81
Ben Simmons,DF,IE1 IE2 IE3,64,69,71
Ben Whistler,DF,IE2 IE3,50,52,66
Ben deLimms,PR,IE1 IE2 IE3,31,37,75
Benedict Eggers,DF,IE1 IE2 IE3,60,57,74
Beniiten,MC,GO3,61,66,60
Benji Near,PR,GO1 GO2 GO3,27,29,81
Bennett Byers,PR,IE1 IE2 IE3,35,34,78
Benny Factor,PR,IE1 IE2 IE3,35,35,74
Benny Terra,MC,IE2 IE3,58,62,46
Beorn Kodiak,PR,GO1 GO2,34,30,82
Bern Ballast,PR,IE3,34,34,76
Bern Macmahon,MC,IE2 IE3,70,70,58
Bernadette Stoker,DL,GO2 GO3 IE3,84,74,39
Bernie Ellement,DL,IE3,82,84,32
Bernie White,DL,IE3,79,76,44
Bernina Nightoil,MC,IE3,64,66,54
Bert Emmerson,DL,IE2 IE3,64,73,36
Bert Laydie,PR,GO1 GO2 GO3,29,35,78
Bert McClure,DF,IE2 IE3,45,56,63
Bert Neptune,MC,GO2 GO3 IE1 IE2 IE3,74,79,66
Bert Trapper,DF,GO1 GO2 GO3,55,60,64
Berthel Stagg,DF,IE3,48,59,65
Berthel Stagg,PR,GO2,31,31,79
Bertie Cees,PR,GO1 GO2 GO3,28,29,79
Bertram Manning,MC,IE2 IE3,72,78,66
Berty Adman,PR,IE1 IE2 IE3,32,35,75
Beta,DL,GO2 GO3,82,80,46
Beth Doodle,MC,IE2 IE3,68,74,67
Betty Backer,DL,IE2 IE3,70,74,46
Betty Evenson,MC,IE2 IE3,68,73,61
Bevan Breakfast,DF,IE2 IE3,58,68,71
Bhabass,PR,GO2 GO3,34,34,81
Bhufa,PR,GO2 GO3,34,32,83
Bianca Snough,DL,GO1 GO2 GO3,74,71,44
Bianco Perla,DL,IE3,83,67,29
Bianco Snowden,DF,GO1 GO2 GO3,49,50,72
Biff Beeston,PR,IE1 IE2 IE3,34,35,75
Big,DL,GO3,83,68,46
Biggsy,PR,GO2 GO3,34,28,81
Bigsby Pigford,DL,IE2 IE3,70,67,47
Bilal Kalil,DF,GO1 GO2 GO3 IE3,54,61,81
Bilbo Baton,MC,GO1 GO2 GO3,67,77,52
Bill Aegis,DF,IE1 IE2 IE3,58,58,68
Bill Clanger,DF,IE2 IE3,64,61,68
Bill Dozer,PR,IE1 IE2 IE3,34,33,74
Bill Fierce,MC,IE2 IE3,75,70,64
Bill Formby,DF,IE1 IE2 IE3,56,60,59
Bill Froger,MC,GO1 GO2 GO3,72,83,54
Bill Ingsgate,DL,GO1 GO2,79,68,42
Bill Looney,DF,IE1 IE2 IE3,56,66,70
Bill Mallard,DF,IE3,51,57,64
Bill Moony,DL,IE1 IE2 IE3,81,68,45
Bill Mumm,DL,IE1 IE2 IE3,72,77,53
Bill Phee,PR,IE1 IE2 IE3,40,32,75
Bill Steakspear,DF,IE1 IE2 IE3,61,73,73
Bill Sye,DF,GO1 GO2 GO3,52,61,80
Bill Tardy,PR,IE1 IE2 IE3,38,36,76
Bill Teller,DF,IE1 IE2 IE3,52,66,71
Bill Wordsworthy,MC,IE1 IE2 IE3,59,72,45
Bill Yards,PR,IE1 IE2 IE3,36,30,71
Billy Blanc,DL,IE1 IE2 IE3,72,65,33
Billy Dash,PR,IE3,43,30,85
Billy Lingsoo,DL,GO1 GO2 GO3,71,60,42
Billy Nomates,PR,IE1 IE2 IE3,43,35,82
Billy-Lee Adarma,MC,GO1 GO3,66,76,46
Bind Hermit,MC,GO3,77,83,63
Birokkou,PR,GO3,34,36,80
Biron Pendexter,MC,IE1 IE2 IE3,75,77,72
Bish Beaton,DL,IE2 IE3,78,77,48
"Bisher ""B-White"" Whitehurst",DF,GO2 GO3,50,62,74
Bisher Whitehurst,DF,GO1,49,58,72
Bishop Carver,PR,IE3,33,29,77
Bishopp Blackside,DF,GO1,58,67,72
Bjorn Thiswey,DF,GO1 GO2 GO3,48,53,75
Bjorn Villen,DL,IE3,78,75,54
Blade Healen,DF,IE2 IE3,56,64,72
Blagun White,MC,IE3,72,65,54
Blain Chills,MC,GO1 GO2 GO3,69,79,62
Blake Nailor,PR,IE2 IE3,34,37,82
Blake Obscura,DF,GO1 GO2 GO3,57,63,75
Blake Wintry,MC,GO1 GO2 GO3,66,75,50
Blakey Itchifoot,MC,GO1 GO2 GO3,66,71,60
Blazer Firefoot,PR,IE3,40,36,87
Bloomer Topp,PR,GO1 GO2 GO3,31,31,78
Blowie Armstraw,MC,IE3,63,66,63
Blown,DL,IE2,73,72,42
Bluster Tryadd,DF,GO1 GO2 GO3,50,56,73
Bo Ling,DF,IE1 IE2 IE3,53,64,64
Bo Luger,DL,IE1 IE2 IE3,80,66,42
Bob Baggum,PR,IE1 IE2 IE3,33,34,76
Bob Beelzy,PR,IE2 IE3,40,38,80
Bob Bobbins,DF,IE3,67,59,63
Bob Carlton,PR,IE1 IE2 IE3,38,35,75
Bob Daruma,MC,IE2 IE3,68,71,60
Bob Dingnagian,MC,IE1 IE2 IE3,64,72,65
Bob Jammen,PR,IE2 IE3,44,35,80
Bob Jobbe,DL,IE3,66,67,45
Bob Lioteck,PR,IE1 IE2 IE3,36,34,74
Bob Shishker,DL,IE1 IE2 IE3,65,67,40
Bob Sled,MC,GO1 GO2 GO3,65,78,61
Bob Stretcher,DL,IE1 IE2 IE3,65,61,39
Bob Whittle,DL,IE1 IE2 IE3,75,79,49
Bobbie Pompon,MC,GO1 GO2 GO3,70,70,62
Bobbie Tomey,DL,IE2 IE3,72,74,42
Bobby Bruce,DL,GO1 GO2 GO3,74,58,36
Bobby Constable,DL,IE1 IE2 IE3,75,70,47
Bobby Duo,DF,IE2 IE3,58,61,76
Bobby Peel,MC,IE1 IE2 IE3,74,74,60
Bobby Peeler,MC,IE3,58,73,60
Bobby Shearer,DF,GO1 GO2 GO3 IE1 IE2 IE3,60,63,78
Bobby Yellow,PR,IE1 IE2 IE3,30,28,73
Bobine Apples,DL,GO1 GO2 GO3,81,60,31
Boe Heemian,DL,GO1 GO2 GO3,77,72,36
Boe Tyer,PR,IE1 IE2 IE3,33,36,72
Bokaku,MC,GO3,76,82,60
Bolt Cagey,DL,GO1 GO2,72,70,46
Bombasta Flamboyanzi,DL,IE3,73,73,43
Bomber,MC,GO2 GO3 IE2,72,78,63
Bomber Pikes,PR,IE2 IE3,33,36,73
Bon Homie,MC,GO2 GO3,62,72,52
Bones Size,DF,IE1 IE2 IE3,49,64,68
Bonnie Sparks,DF,GO1 IE3,58,62,71
Bonnie Sytree,MC,GO1 GO2 GO3,70,79,54
Bonza Barnett,MC,GO1 GO2 GO3,72,78,50
Boo Fonte,DF,GO1 GO2 GO3,51,54,72
Boo Spector,DF,IE3,54,55,72
Boomer Smolen,PR,IE2 IE3,36,34,76
Borboleta Barboza,MC,IE3,83,81,72
Borel Aurora,MC,GO1 GO2 GO3,64,80,51
Bos Horne,DF,IE1 IE2 IE3,58,62,66
Bosquerow Stake,DL,GO2,84,79,46
Bosquey Prince,DL,GO2,69,71,41
Bot 1,PR,GO2 GO3,25,29,79
Bot 10,DL,GO2 GO3,76,66,42
Bot 11,DL,GO2 GO3,76,68,45
Bot 2,DF,GO2 GO3,48,56,72
Bot 3,DF,GO2 GO3,45,58,73
Bot 4,DF,GO2 GO3,43,58,73
Bot 5,MC,GO2 GO3,68,72,60
Bot 6,MC,GO2 GO3,71,74,56
Bot 7,MC,GO2 GO3,70,76,62
Bot 8,MC,GO2 GO3,68,76,59
